variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
epi_confirmed_new,ABW,,,5.5556,1.6667,0.0323,0.0667,0.5484,60.5484,74.0000
epi_confirmed_new,AFG,0.0000,0.0345,6.6667,60.2667,405.6774,557.1000,171.0968,52.2581,42.0000
epi_confirmed_new,AGO,,,0.7000,0.6667,1.8387,6.4000,25.8710,49.8710,65.0952
epi_confirmed_new,AIA,,,0.4000,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000
epi_confirmed_new,ALB,,,9.6957,18.1000,11.4839,44.8000,88.0968,134.9355,143.0952
epi_confirmed_new,ALD,,,,,,,,,
epi_confirmed_new,AND,,,20.5556,12.4333,0.6774,3.0333,2.1613,6.5161,20.9524
epi_confirmed_new,ARE,0.4000,0.5862,23.6000,377.2667,708.6129,478.3333,395.4839,296.2581,725.0476
epi_confirmed_new,ARG,,,38.6400,110.2000,384.8065,1535.1333,3765.4194,7169.1290,10556.9048
epi_confirmed_new,ARM,0.0000,0.0000,24.1818,51.1333,232.7742,542.0000,419.6129,167.7419,175.2857
epi_confirmed_new,ASM,,,,,,,,,
epi_confirmed_new,ATA,,,,,,,,,
epi_confirmed_new,ATC,,,,,,,,,
epi_confirmed_new,ATF,,,,,,,,,
epi_confirmed_new,ATG,,,0.5833,0.5667,0.0323,1.3667,0.8065,0.0968,0.0952
epi_confirmed_new,AUS,0.7000,0.6207,146.1935,72.9667,14.1613,19.4000,275.3548,302.1613,58.4762
epi_confirmed_new,AUT,0.0000,0.2414,310.0323,191.5333,41.0968,34.2667,107.8387,200.2903,539.9524
epi_confirmed_new,AZE,0.0000,0.0345,11.3333,49.7667,112.2581,390.7333,470.7097,153.1935,137.0952
epi_confirmed_new,BDI,,,,0.5000,0.8710,4.2667,7.0000,1.8710,1.3333
epi_confirmed_new,BEL,0.0000,0.0345,493.4516,1154.8000,289.5484,98.9667,248.6129,509.9032,691.4762
epi_confirmed_new,BEN,,,0.4000,2.1000,5.2581,31.8333,18.8065,12.0968,6.4286
epi_confirmed_new,BFA,,,11.6842,13.9667,6.8387,3.5333,5.0968,8.0968,22.7619
epi_confirmed_new,BGD,,,2.8824,235.1333,1209.8387,3239.7667,3002.8387,2449.4516,1814.0000
epi_confirmed_new,BGR,,,16.3182,36.2667,34.3871,77.2667,212.5484,153.8710,127.2857
epi_confirmed_new,BHR,0.0000,1.3103,15.9000,80.2000,253.9355,514.8667,468.2581,349.0000,615.4762
epi_confirmed_new,BHS,,,1.0000,2.2000,0.7097,0.0667,13.0323,53.5161,55.5238
epi_confirmed_new,BIH,,,18.5789,44.5333,25.9355,61.6667,229.0645,269.1935,268.3333
epi_confirmed_new,BJN,,,,,,,,,
epi_confirmed_new,BLM,,,,,,,,,
epi_confirmed_new,BLR,0.0000,0.0345,4.5217,435.8667,918.6129,671.0667,189.5161,129.7419,189.8571
epi_confirmed_new,BLZ,,,0.3750,0.5000,0.0000,0.2000,0.7742,30.5161,30.1429
epi_confirmed_new,BMU,,,2.2500,2.8000,0.9355,0.2000,0.3226,0.4194,0.5238
epi_confirmed_new,BOL,,,5.6316,33.4333,273.6129,751.1000,1390.6129,1314.0000,700.3810
epi_confirmed_new,BRA,0.0000,0.0345,147.6774,2452.7667,13557.3548,28991.8333,40061.5161,40393.8387,32491.3333
epi_confirmed_new,BRB,,,2.4286,1.5333,0.3871,0.1667,0.4194,2.0323,0.7619
epi_confirmed_new,BRN,,,6.0476,0.3667,0.0968,0.0000,0.0000,0.0968,0.0476
epi_confirmed_new,BTN,,,0.2222,0.1000,1.1613,1.1333,0.7742,3.9677,1.7619
epi_confirmed_new,BWA,,,,0.7667,0.3871,4.6667,20.2903,26.7419,44.4762
epi_confirmed_new,CAF,,,0.3750,1.4667,29.4194,88.3667,32.0000,3.0645,4.4286
epi_confirmed_new,CAN,0.3000,0.4483,238.9677,1472.1000,1244.9032,457.6000,383.1613,392.0968,748.0476
epi_confirmed_new,CHE,0.0000,0.4138,496.7742,463.7333,46.3871,26.9000,108.5161,224.9355,345.9524
epi_confirmed_new,CHL,,,90.7037,414.5333,2579.7742,6038.0333,2501.1935,1820.5806,1728.5714
epi_confirmed_new,CHN,932.8000,2401.4138,93.0968,56.7667,5.9355,21.7333,87.3871,77.6129,22.5714
epi_confirmed_new,CIV,,,9.3333,35.6667,50.3548,213.8333,218.1935,63.5484,65.3333
epi_confirmed_new,CLP,,,,,,,,,
epi_confirmed_new,CMR,,,7.4737,56.3333,131.3548,222.9333,150.4194,60.8710,61.3810
epi_confirmed_new,CNM,,,,,,,,,
epi_confirmed_new,COD,,,5.1579,13.4000,79.5484,132.4333,66.8065,33.3548,22.3810
epi_confirmed_new,COG,,,1.1875,6.7000,11.8387,21.9333,68.7419,19.4516,47.9524
epi_confirmed_new,COK,,,,,,,,,
epi_confirmed_new,COL,,,38.0000,180.4333,710.4839,2226.9000,6160.5484,10384.4516,7482.7619
epi_confirmed_new,COM,,,,,3.5333,5.5333,3.4194,1.4516,2.2381
epi_confirmed_new,CPV,,,0.4545,3.6000,9.9355,24.8000,38.9677,47.7097,66.9048
epi_confirmed_new,CRI,,,13.7500,12.7667,10.7742,74.0667,452.2903,722.8710,1143.4762
epi_confirmed_new,CSI,,,,,,,,,
epi_confirmed_new,CUB,,,10.0000,43.2333,18.0000,10.5000,8.2903,44.3871,53.2381
epi_confirmed_new,CUW,,,1.1250,0.2333,0.0968,0.1667,0.1613,0.9032,10.0476
epi_confirmed_new,CYM,,,1.0000,2.0333,2.1935,1.9333,0.1290,0.0645,0.1905
epi_confirmed_new,CYN,,,,,,,,,
epi_confirmed_new,CYP,,,11.5000,20.4333,3.2258,1.7667,2.8387,13.0000,5.3810
epi_confirmed_new,CZE,0.0000,0.0000,96.8387,152.5667,53.2581,85.8333,146.3548,258.8710,1184.4286
epi_confirmed_new,DEU,0.5000,1.7931,1995.3548,3240.2000,721.3871,425.9000,465.7742,1086.5484,1426.4762
epi_confirmed_new,DJI,,,2.0000,35.0333,68.2903,48.7333,13.7097,9.8065,0.8571
epi_confirmed_new,DMA,,,1.2222,0.1667,0.0000,0.0667,0.0000,0.0645,0.1905
epi_confirmed_new,DNK,0.0000,0.0690,83.0645,214.3667,84.6774,37.2667,31.4194,95.9677,245.0952
epi_confirmed_new,DOM,0.0000,0.0000,40.9545,191.7000,330.8387,496.9333,1164.4839,849.2258,668.9524
epi_confirmed_new,DZA,0.0000,0.0345,22.4231,108.8000,174.8065,143.4667,524.5161,461.7742,270.4762
epi_confirmed_new,ECU,0.0000,0.0000,75.6154,756.9667,448.2581,569.8000,925.9677,944.4516,608.1429
epi_confirmed_new,EGY,0.0000,0.0345,22.5185,155.3000,586.4839,1443.5000,871.0645,160.3226,156.5714
epi_confirmed_new,ERI,,,1.2000,0.9000,0.0000,5.0667,2.8387,1.2581,2.1905
epi_confirmed_new,ESB,,,,,,,,,
epi_confirmed_new,ESP,0.0000,1.8621,3361.7097,3697.2000,782.1290,328.0667,1266.1613,5623.7419,9933.8095
epi_confirmed_new,EST,0.0000,0.0345,27.4615,31.7000,6.4194,4.0667,2.0645,10.3871,26.2381
