variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10
epi_deaths,ABW,,,,2,3,3,3,10,26,34
epi_deaths,AFG,,,4,60,249,733,1271,1402,1458,1499
epi_deaths,AGO,,,2,2,4,11,48,107,179,248
epi_deaths,AIA,,,,,,,,,,
epi_deaths,ALA,,,,,,,,,,
epi_deaths,ALB,,,12,31,33,58,154,280,384,458
epi_deaths,AND,,,8,42,51,52,52,53,53,62
epi_deaths,ARE,,,5,98,262,314,351,382,416,470
epi_deaths,ARG,,,24,214,528,1280,3311,8401,16519,27100
epi_deaths,ARM,,,3,32,131,443,738,877,958,1101
epi_deaths,ASM,,,,,,,,,,
epi_deaths,ATA,,,,,,,,,,
epi_deaths,ATF,,,,,,,,,,
epi_deaths,ATG,,,,3,3,3,3,3,3,3
epi_deaths,AUS,,,19,90,102,104,189,611,882,905
epi_deaths,AUT,,,108,580,668,703,718,733,796,927
epi_deaths,AZE,,,4,23,61,206,441,531,590,635
epi_deaths,BDI,,,,1,1,1,1,1,1,1
epi_deaths,BEL,,,1168,7773,9349,9627,9706,9891,10015,10540
epi_deaths,BEN,,,,2,3,19,35,40,40,41
epi_deaths,BFA,,,12,43,53,53,53,55,58,65
epi_deaths,BGD,,,5,163,610,1783,3083,4248,5219,5699
epi_deaths,BGR,,,8,64,140,223,374,613,814,1019
epi_deaths,BHR,,,4,8,17,84,146,189,246,305
epi_deaths,BHS,,,,11,11,11,14,43,91,124
epi_deaths,BIH,,,8,64,152,183,328,592,836,1017
epi_deaths,BLM,,,,,,,,,,
epi_deaths,BLR,,,,84,229,387,553,676,828,937
epi_deaths,BLZ,,,,2,2,2,2,13,26,45
epi_deaths,BMU,,,,6,9,9,9,9,9,9
epi_deaths,BOL,,,6,59,310,1071,2894,4966,7931,8526
epi_deaths,BRA,,,159,5466,28834,58314,91263,120828,142921,154837
epi_deaths,BRB,,,,7,7,7,7,7,7,7
epi_deaths,BRN,,,1,1,2,3,3,3,3,3
epi_deaths,BTN,,,,,,,,,,
epi_deaths,BWA,,,,1,1,1,2,6,16,21
epi_deaths,CAF,,,,,1,47,59,61,62,62
epi_deaths,CAN,,,89,2996,7073,8566,8929,9117,9291,9794
epi_deaths,CHE,,,295,1407,1656,1681,1703,1724,1781,1844
epi_deaths,CHL,,,8,216,997,5575,9377,11244,12725,13702
epi_deaths,CHN,213,2837,3309,4637,4638,4641,4659,4722,4739,4739
