variable,iso,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
info_tweets,AFG,10286,17086,49028,43233,43027,45859,33896,28019,25572,27068,23989,6437
info_tweets,AGO,12740,22089,62389,48831,55325,54339,54332,48855,42179,39374,32497,9744
info_tweets,ALB,7935,14881,38547,38165,34380,28535,30914,26592,30814,47523,56729,25652
info_tweets,AND,564,1860,5495,5225,5236,3858,3875,3570,3528,3924,3160,768
info_tweets,ARE,12108,20880,68293,72908,71649,63153,58942,48214,47942,49129,41257,10965
info_tweets,ARG,271967,681005,2100681,1395570,1507043,1847624,1429048,1952847,1641255,1147110,911306,228158
info_tweets,ARM,1260,3198,7471,6250,6419,7102,6717,5666,6153,11951,6838,1499
info_tweets,ASM,851,2336,6653,6158,5783,5379,7094,6547,5901,6514,4919,1327
info_tweets,ATG,991,1616,5986,5028,4546,4609,4824,4473,4159,4356,4257,1045
info_tweets,AUS,205158,417969,1190390,1131350,1167010,965513,1310231,1316013,1112228,1160116,904013,200183
info_tweets,AUT,22510,55862,128434,103666,97798,82847,84071,79185,80970,99592,100791,26099
info_tweets,AZE,4351,9584,28835,25413,24228,29654,37117,24534,22404,29141,26054,7838
info_tweets,BDI,1590,1897,7856,7553,7264,6368,5868,5880,8818,6708,6025,1825
info_tweets,BEL,57724,128297,371300,342673,323887,261657,237829,222893,236986,327592,247057,57715
info_tweets,BEN,5019,9126,24939,22966,21472,20235,20279,18122,19281,20166,18426,4870
info_tweets,BFA,5996,11118,31932,27528,26160,22371,23495,24355,23936,23895,22485,5965
info_tweets,BGD,11788,24245,61194,72421,70496,66130,56814,48282,49422,45996,42541,11563
info_tweets,BGR,6296,13474,32372,25566,23944,22500,22767,20067,19636,23193,21762,5517
info_tweets,BHR,2941,8682,17398,15494,16321,16621,14171,11419,11222,7821,8563,2701
info_tweets,BHS,2585,5157,20955,17722,17126,17272,26295,26432,16153,20646,16003,4052
info_tweets,BIH,5089,8510,21690,17645,18014,16847,18087,16400,14426,17247,16503,4581
info_tweets,BLM,654,721,3216,1766,4859,27338,20533,14111,13790,16092,14129,3474
info_tweets,BLR,2007,4018,10576,8798,9276,7788,7169,6437,6788,8171,7429,2116
info_tweets,BLZ,936,2015,4864,4472,5109,3796,4286,4448,3462,4013,3389,1026
info_tweets,BMU,870,1949,4695,4067,4027,3737,3583,3183,3337,3557,3060,1385
info_tweets,BOL,18397,41841,105578,108356,116708,111635,107837,99478,65659,50453,43735,11392
info_tweets,BRA,365242,587205,1882713,2414063,3549796,3367051,2899852,2301260,1821786,1424048,1525656,606075
info_tweets,BRB,3220,4460,15495,34827,12628,11624,11603,10657,8109,9416,7517,1878
info_tweets,BRN,4079,3920,14684,6476,7983,7157,6504,4618,4352,3547,2670,1044
info_tweets,BWA,5887,9452,31557,39419,35942,27501,26660,27722,23814,22575,19676,5292
info_tweets,CAF,5109,6219,19070,13387,14211,14037,14773,13441,12091,14609,10780,2774
info_tweets,CAN,266837,520639,1766630,1844066,1773402,1515424,1562590,1514746,1714137,1833805,1990657,532917
info_tweets,CHE,44860,114955,241875,216019,203204,170768,161642,161648,159184,215155,193047,49737
info_tweets,CHL,106443,229973,843181,819321,1061368,1176245,603019,507958,445241,345447,290168,93148
info_tweets,CHN,74738,153032,180921,131293,124699,110569,104211,94885,87729,92625,81478,23522
info_tweets,CIV,7370,13855,40024,32375,29155,24882,23918,21565,23357,23359,17644,4543
info_tweets,CMR,9703,19946,65463,62915,55679,42178,36252,32481,31088,33744,27487,6663
info_tweets,COD,12905,25564,75501,68406,61234,52790,44850,38667,32513,34163,30303,9269
info_tweets,COG,2821,5035,12469,11155,11229,10257,9456,7434,6906,6468,6327,1769
info_tweets,COL,160506,333580,1218811,1174873,1035014,1117107,1058118,942130,608263,565585,493000,135565
info_tweets,CRI,13457,29125,102801,80376,72824,86800,100233,71124,58828,48100,37174,12025
info_tweets,CUB,16022,51616,155330,217046,214540,230689,186108,201230,175319,127931,107454,25425
info_tweets,CYM,753,2098,6944,5560,5265,5456,7773,6382,5741,8175,6771,1700
info_tweets,CYP,5570,13145,39628,39797,36972,29023,31169,30437,31250,35822,29553,7692
info_tweets,CZE,7591,14178,40335,32184,30300,26330,28930,28346,40526,54156,37231,9279
info_tweets,DEU,161409,411536,987014,836075,799112,673529,637734,660982,590128,825391,743153,199189
info_tweets,DJI,1297,2370,4702,4298,4462,3944,3656,2377,2513,1962,1483,548
info_tweets,DNK,9147,20428,57109,44480,43728,49987,49100,44818,44782,52923,49575,13596
info_tweets,DOM,20573,49594,149431,179795,145695,135671,132609,106092,77379,60809,63262,16631
info_tweets,DZA,7002,11957,38443,21904,20896,19339,18562,17056,15186,17707,18622,3639
info_tweets,ECU,136797,229701,583887,602086,479924,427904,379833,385600,275550,225217,206983,54524
info_tweets,EGY,16248,29659,95853,65940,66857,76940,58146,44935,43205,49861,44526,11657
info_tweets,ESP,344808,1203487,3499636,3209481,3195111,2378356,2218944,2466735,2354202,2172178,1797208,376512
info_tweets,EST,4996,9897,25750,19388,19167,17677,17911,16237,14675,16190,15994,5030
info_tweets,ETH,8920,17268,41501,41176,39059,34804,26089,28090,26544,26975,22637,6169
info_tweets,FIN,19087,41087,107533,87344,85478,78005,75581,73237,68228,78800,72657,18464
info_tweets,FJI,2460,5705,14773,14477,12156,10964,12235,9858,8640,9918,7664,2347
info_tweets,FRA,627074,1082670,3148671,2523267,2053180,1320961,1224317,1436838,1889137,2292850,1958505,335737
info_tweets,FRO,795,1098,4868,2859,2955,3927,3717,2876,2195,2580,2518,668
