country,iso3,date,EPI_confirmed_cum,EPI_dead_cum,EPI_recovered_cum
United Arab Emirates,ARE,2020-01-22,0,0,0
United Arab Emirates,ARE,2020-01-23,0,0,0
United Arab Emirates,ARE,2020-01-24,0,0,0
United Arab Emirates,ARE,2020-01-25,0,0,0
United Arab Emirates,ARE,2020-01-26,0,0,0
United Arab Emirates,ARE,2020-01-27,0,0,0
United Arab Emirates,ARE,2020-01-28,0,0,0
United Arab Emirates,ARE,2020-01-29,4,0,0
United Arab Emirates,ARE,2020-01-30,4,0,0
United Arab Emirates,ARE,2020-01-31,4,0,0
United Arab Emirates,ARE,2020-02-01,4,0,0
United Arab Emirates,ARE,2020-02-02,5,0,0
United Arab Emirates,ARE,2020-02-03,5,0,0
United Arab Emirates,ARE,2020-02-04,5,0,0
United Arab Emirates,ARE,2020-02-05,5,0,0
United Arab Emirates,ARE,2020-02-06,5,0,0
United Arab Emirates,ARE,2020-02-07,5,0,0
United Arab Emirates,ARE,2020-02-08,7,0,0
United Arab Emirates,ARE,2020-02-09,7,0,0
United Arab Emirates,ARE,2020-02-10,8,0,0
United Arab Emirates,ARE,2020-02-11,8,0,0
United Arab Emirates,ARE,2020-02-12,8,0,1
United Arab Emirates,ARE,2020-02-13,8,0,1
United Arab Emirates,ARE,2020-02-14,8,0,1
United Arab Emirates,ARE,2020-02-15,8,0,3
United Arab Emirates,ARE,2020-02-16,9,0,4
United Arab Emirates,ARE,2020-02-17,9,0,4
United Arab Emirates,ARE,2020-02-18,9,0,4
United Arab Emirates,ARE,2020-02-19,9,0,4
United Arab Emirates,ARE,2020-02-20,9,0,4
United Arab Emirates,ARE,2020-02-21,9,0,4
United Arab Emirates,ARE,2020-02-22,13,0,4
United Arab Emirates,ARE,2020-02-23,13,0,4
United Arab Emirates,ARE,2020-02-24,13,0,4
United Arab Emirates,ARE,2020-02-25,13,0,4
United Arab Emirates,ARE,2020-02-26,13,0,4
United Arab Emirates,ARE,2020-02-27,13,0,4
