country,iso3,date,EPI_confirmed_cum,EPI_dead_cum,EPI_recovered_cum
Japan,JPN,2020-01-22,2,0,0
Japan,JPN,2020-01-23,1,0,0
Japan,JPN,2020-01-24,2,0,0
Japan,JPN,2020-01-25,2,0,0
Japan,JPN,2020-01-26,4,0,1
Japan,JPN,2020-01-27,4,0,1
Japan,JPN,2020-01-28,7,0,1
Japan,JPN,2020-01-29,7,0,1
Japan,JPN,2020-01-30,11,0,1
Japan,JPN,2020-01-31,15,0,1
Japan,JPN,2020-02-01,20,0,1
Japan,JPN,2020-02-02,20,0,1
Japan,JPN,2020-02-03,20,0,1
Japan,JPN,2020-02-04,22,0,1
Japan,JPN,2020-02-05,22,0,1
Japan,JPN,2020-02-06,45,0,1
Japan,JPN,2020-02-07,25,0,1
Japan,JPN,2020-02-08,25,0,1
Japan,JPN,2020-02-09,26,0,1
Japan,JPN,2020-02-10,26,0,4
Japan,JPN,2020-02-11,26,0,9
Japan,JPN,2020-02-12,28,0,9
Japan,JPN,2020-02-13,28,1,9
Japan,JPN,2020-02-14,29,1,9
Japan,JPN,2020-02-15,43,1,12
Japan,JPN,2020-02-16,59,1,12
Japan,JPN,2020-02-17,66,1,12
Japan,JPN,2020-02-18,74,1,13
Japan,JPN,2020-02-19,84,1,18
Japan,JPN,2020-02-20,94,1,18
Japan,JPN,2020-02-21,105,1,22
Japan,JPN,2020-02-22,122,1,22
Japan,JPN,2020-02-23,147,1,22
Japan,JPN,2020-02-24,159,1,22
Japan,JPN,2020-02-25,170,1,22
Japan,JPN,2020-02-26,189,2,22
Japan,JPN,2020-02-27,214,4,22
