rank,fact_type,count,domain,title,url
1,CONSPIRACY/JUNKSCI,2,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
2,FAKE/HOAX,1,rt.com,McDonald's shuts down restaurants in five Chinese cities as coronavirus spreads,https://on.rt.com/a9nw
3,FAKE/HOAX,1,dailymail.co.uk,US health experts hosted fictional coronavirus simulation 3 months ago,https://www.dailymail.co.uk/health/article-7925475/us-health-experts-predicted-coronavirus-kill-65million-people-year-three-months-ago.html
4,FAKE/HOAX,1,gnews.org,,https://gnews.org/89737/
5,FAKE/HOAX,1,rt.com,"1st ‘presumed case’ of coronavirus confirmed in Austria, number of infected in France rises to 3",https://on.rt.com/a9ry
6,CONSPIRACY/JUNKSCI,1,zerohedge.com,Is This The Man Behind The Global Coronavirus Pandemic?,https://www.zerohedge.com/health/man-behind-global-coronavirus-pandemic
7,FAKE/HOAX,1,breitbart.com,China Has Not Accepted U.S. Offers to Send CDC Experts to Aid in Coronavirus Fight,https://www.breitbart.com/asia/2020/01/28/china-has-not-accepted-u-s-offers-to-send-cdc-experts-to-aid-in-coronavirus-fight/
8,FAKE/HOAX,1,rt.com,Clucking hell! New outbreak of BIRD FLU sees thousands of chickens culled in coronavirus-stricken China,https://on.rt.com/aa9r
9,FAKE/HOAX,1,unz.com,"Bats, Gene Editing and Bioweapons: Recent Darpa Experiments Raise Concerns Amid Coronavirus Outbreak",https://www.unz.com/wwebb/bats-gene-editing-and-bioweapons-recent-darpa-experiments-raise-concerns-amid-coronavirus-outbreak/
10,FAKE/HOAX,1,rt.com,"Coronavirus death toll surpasses 1,000 in China with over 43,000 infected worldwide",https://on.rt.com/aasa
11,FAKE/HOAX,1,unz.com,Still 90% Chance Coronavirus Not CatastrophicâBut Chinese (And Western) Censors Arenât Helping,https://www.unz.com/jderbyshire/still-90-chance-coronavirus-not-catastrophic-but-chinese-and-western-censors-arent-helping/
12,FAKE/HOAX,1,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/china-deploys-40-incinerators-wuhan-21529067
13,FAKE/HOAX,1,rt.com,‘Inappropriate’: Tokyo mayor rejects idea of moving 2020 Olympics to London amid coronavirus scare,https://on.rt.com/abfr
14,FAKE/HOAX,1,rt.com,Italy becomes Europe’s largest coronavirus hot spot with 3 deaths & 79 cases across 5 regions,https://on.rt.com/abio
15,FAKE/HOAX,1,express.co.uk,Eurozone crisis: Merkel faces turmoil as Germany forecast to plunge into deep recession,https://www.express.co.uk/news/world/1248555/eurozone-crisis-angela-merkel-news-germany-economy-latest-recession-coronavirus-bbc-update
16,FAKE/HOAX,1,rt.com,"Chinese hotel used as Covid-19 quarantine site COLLAPSES, trapping dozens under rubble (VIDEOS)",https://on.rt.com/accq
17,FAKE/HOAX,1,rt.com,"Goodbye, globalism? Coronavirus sobers up Serbia to EU hypocrisy",https://on.rt.com/acxz
