rank,fact_type,count,domain,title,url
1,CONSPIRACY/JUNKSCI,2,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
2,CONSPIRACY/JUNKSCI,2,naturalnews.com,"Irrefutable: The coronavirus was engineered by scientists in a lab using well documented genetic engineering vectors that leave behind a ""fingerprint""",https://www.naturalnews.com/2020-02-03-the-coronavirus-was-engineered-by-scientists-in-a-lab.html
3,CONSPIRACY/JUNKSCI,1,zerohedge.com,China Quarantines City Of 11 Million As Hong Kong Confirms Second Case Of Coronavirus,https://www.zerohedge.com/geopolitical/coronavirus-infections-climb-473-china-hong-kong-confirms-first-case
4,FAKE/HOAX,1,breitbart.com,Nolte: Bette Midler Attacks Trump for Not Wanting 'America's Coronavirus Numbers' to 'Go Up',https://www.breitbart.com/entertainment/2020/03/09/nolte-bette-midler-attacks-trump-for-not-wanting-americas-coronavirus-numbers-to-go-up/
5,FAKE/HOAX,1,quillette.com,"How Trump Missed His, and America's, Best Chance on Coronavirus - Quillette",https://quillette.com/2020/03/10/how-trump-missed-his-and-americas-best-chance-on-coronavirus/
6,FAKE/HOAX,1,breitbart.com,Pollak: Democrats Pushed Impeachment While Coronavirus Spread,https://www.breitbart.com/politics/2020/03/13/pollak-democrats-pushed-impeachment-while-coronavirus-spread/
7,FAKE/HOAX,1,thenationalpulse.com,,https://thenationalpulse.com/editor/chinese-bots-flood-twitter-virus-theories/
8,FAKE/HOAX,1,breitbart.com,Nolte: Media Blackout of Trump Coronavirus Briefings Begins,https://www.breitbart.com/the-media/2020/03/24/nolte-media-blackout-of-trump-coronavirus-briefings-begins/
9,FAKE/HOAX,1,breitbart.com,Patrick Courrielche: Media Helped Democrats Ignore Coronavirus by Hyping Impeachment,https://www.breitbart.com/health/2020/04/02/patrick-courrielche-media-helped-democrats-ignore-coronavirus-by-hyping-impeachment/
10,FAKE/HOAX,1,thegatewaypundit.com,Pro-Chinese Democrat Wants To Investigate Trump Over Coronavirus,https://www.thegatewaypundit.com/2020/04/pro-chinese-democrat-wants-investigate-trump-coronavirus/?utm_source=twitter&utm_medium=posttopsharingbuttons&utm_campaign=websitesharingbuttons
11,FAKE/HOAX,1,breitbart.com,"Kimberly Guilfoyle: Trump Unites Private, Public Sectors Against Virus",https://www.breitbart.com/politics/2020/04/08/kimberly-guilfoyle-commander-in-chief-unites-private-and-public-sectors-to-fight-covid-19/
12,FAKE/HOAX,1,breitbart.com,Nolte: Biden Cronies Accused of Withholding Coronavirus Aid for Political Purposes,https://www.breitbart.com/politics/2020/04/08/nolte-biden-cronies-accused-of-withholding-coronavirus-resources-for-political-purposes/
13,CONSPIRACY/JUNKSCI,1,cbn.com,Police Serve Summons to VA Church for Violating Governor's COVID Order,https://www1.cbn.com/cbnnews/2020/april/police-serve-summons-to-va-church-for-violating-governors-covid-order
14,FAKE/HOAX,1,breitbart.com,MSNBC's Nicolle Wallace: Coronavirus 'Silver Lining' Is Damage to Donald Trump,https://www.breitbart.com/clips/2020/04/23/msnbcs-nicolle-wallace-coronavirus-silver-lining-is-damage-to-donald-trump/
15,FAKE/HOAX,1,breitbart.com,Andrew Cuomo Blames Nursing Homes as Questions Mount over Coronavirus Directive,https://www.breitbart.com/health/2020/04/26/andrew-cuomo-blames-nursing-homes-as-questions-mount-over-coronavirus-directive/
16,FAKE/HOAX,1,dailymail.co.uk,Joe Biden rambles during interview on coronavirus response ,https://www.dailymail.co.uk/news/article-8234597/joe-biden-rambles-struggles-words-interview-coronavirus-response.html?ito=applenews
17,FAKE/HOAX,1,breitbart.com,California Relaxed Directive Requiring Nursing Homes to Take Coronavirus Patients,https://www.breitbart.com/health/2020/04/28/california-relaxed-directive-requiring-nursing-homes-to-take-coronavirus-patients/
18,FAKE/HOAX,1,breitbart.com,Hillary Clinton: Coronavirus 'Would Be a Terrible Crisis to Waste'; Need 'Universal Health Care',https://www.breitbart.com/health/2020/04/28/hillary-clinton-coronavirus-would-be-a-terrible-crisis-to-waste-need-universal-health-care/
19,FAKE/HOAX,1,breitbart.com,Biden's Coronavirus Plan: Catch and Release Border Crossers into U.S.,https://www.breitbart.com/politics/2020/05/01/bidens-coronavirus-plan-catch-and-release-border-crossers-into-u-s/
