rank,fact_type,count,domain,title,url
1,FAKE/HOAX,3,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
2,FAKE/HOAX,3,breitbart.com,Chloroquine Known as Effective Against Coronavirus Since 2005,https://www.breitbart.com/politics/2020/03/19/chloroquine-known-as-effective-against-coronavirus-since-2005/
3,CONSPIRACY/JUNKSCI,2,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
4,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/wuhan-coronavirus-crematoriums-working-247-21434630
5,FAKE/HOAX,2,breaking911.com,"Coronavirus Can Be Spread By People Who Aren’t Showing Symptoms, CDC Confirms - Breaking911",https://breaking911.com/breaking-coronavirus-can-be-spread-by-people-who-arent-showing-symptoms-cdc-confirms/
6,CONSPIRACY/JUNKSCI,2,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
7,FAKE/HOAX,2,ibtimes.sg,,https://www.ibtimes.sg/a000apq?utm_source=social&utm_medium=twitter&utm_campaign=/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
8,FAKE/HOAX,2,westernjournal.com,LeBron James Refuses To Play Basketball if NBA Implements Coronavirus Contingency,https://www.westernjournal.com/lebron-james-refuses-play-basketball-nba-implements-coronavirus-contingency/?utm_source=facebook&utm_medium=westernjournalism&utm_content=2020-03-06&utm_campaign=manualpost
9,FAKE/HOAX,2,breitbart.com,Pollak: Democrats Pushed Impeachment While Coronavirus Spread,https://www.breitbart.com/politics/2020/03/13/pollak-democrats-pushed-impeachment-while-coronavirus-spread/
10,FAKE/HOAX,1,summit.news,Professor Warns New Coronavirus Has Same Kill Rate as the Spanish Flu,https://summit.news/2020/01/22/professor-warns-new-coronavirus-has-same-kill-rate-as-the-spanish-flu/
11,FAKE/HOAX,1,summit.news,Japanese Shopkeeper Hangs Sign in Response to Coronavirus Panic: “No Chinese Allowed”,https://summit.news/2020/01/22/japan-shopkeeper-hangs-sign-in-response-to-coronavirus-panic-no-chinese-allowed/
12,FAKE/HOAX,1,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/robot-doctor-treating-first-coronavirus-21342199?utm_source=twitter.com&utm_medium=social&utm_campaign=sharebar
13,FAKE/HOAX,1,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/scientists-blame-coronavirus-bats-pics-21337997
14,CONSPIRACY/JUNKSCI,1,usahitman.com,CORONAVIRUS is a Patented Virus - USAHITMAN Conspiracy News,https://usahitman.com/coronavirus-patented-virus/?fbclid=iwar3kqnpp-lifxvgvacdnimfupwst7zgq8kulsfyuv7h6oipf2_cn4u8qwc0
15,CONSPIRACY/JUNKSCI,1,infowars.com,Bill and Melinda Gates Foundation & Others Predicted Up To 65 Million Deaths Via Coronavirus – In Simulation Ran 3 Months Ago!,https://www.infowars.com/bill-and-melinda-gates-foundation-others-predicted-up-to-65-million-deaths-via-coronavirus-in-simulation-ran-3-months-ago/
16,FAKE/HOAX,1,summit.news,Chinese Lab That Studies “World’s Most Dangerous Pathogens” is Based in Wuhan,https://summit.news/2020/01/23/chinese-lab-that-studies-worlds-most-dangerous-pathogens-is-based-in-wuhan/
17,FAKE/HOAX,1,summit.news,Video Purports to Show Coronavirus Victim Collapsed on the Street in Wuhan,https://summit.news/2020/01/23/video-purports-to-show-coronavirus-victim-collapsed-on-the-street-in-wuhan/
18,FAKE/HOAX,1,summit.news,PANIC: Searches For ‘Virus Mask’ Explode Online,https://summit.news/2020/01/24/panic-searches-for-virus-mask-explode-online/
19,FAKE/HOAX,1,thegatewaypundit.com,China Update: Some Predictions Indicate Wuhan Coronavirus Could Turn Into Major Pandemic,https://www.thegatewaypundit.com/2020/01/china-update-some-predictions-indicate-wuhan-coronavirus-could-turn-into-major-pandemic/
20,FAKE/HOAX,1,thegatewaypundit.com,"This May Help Explain Things... SNAKE SHOW near Wuhan, China in Hubei Province - Epicenter of Coronavirus -- SHOCKING VIDEOS",https://www.thegatewaypundit.com/2020/01/check-out-this-snake-show-near-wuhan-china-in-hubei-province-epicenter-of-coronavirus-videos-you-wont-likely-forget/
