rank,fact_type,count,domain,title,url
1,FAKE/HOAX,10,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
2,FAKE/HOAX,6,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
3,FAKE/HOAX,4,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
4,FAKE/HOAX,3,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
5,FAKE/HOAX,2,rt.com,Chinese authorities announce first CURED coronavirus patient discharged from hospital in Shanghai,https://on.rt.com/a9ok
6,FAKE/HOAX,2,thegatewaypundit.com,China Update: Some Predictions Indicate Wuhan Coronavirus Could Turn Into Major Pandemic,https://www.thegatewaypundit.com/2020/01/china-update-some-predictions-indicate-wuhan-coronavirus-could-turn-into-major-pandemic/
7,CONSPIRACY/JUNKSCI,2,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
8,FAKE/HOAX,2,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/amp/chinas-coronavirus-hospital-opens-today.html?ito=social-facebook&fbclid=iwar0acjsmu8dywwdye3hl9c1gdkd7kc4i8vaypcjsnvvyxb2u-zjo3is557a&__twitter_impression=true
9,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/china-deploys-40-incinerators-wuhan-21529067
10,CONSPIRACY/JUNKSCI,2,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
11,FAKE/HOAX,2,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
12,FAKE/HOAX,2,breitbart.com,Dr. Marc Siegel on Coronavirus: I've Never Seen an Emerging Contagion Handled Better,https://www.breitbart.com/radio/2020/03/01/dr-marc-siegel-on-coronavirus-ive-never-seen-an-emerging-contagion-handled-better/
13,FAKE/HOAX,2,politicalflare.com,Trump Supporter Says She Doesn't Think Coronavirus Exists Because She 'Doesn't Believe Anything the Democrats Say',https://www.politicalflare.com/2020/03/trump-supporter-says-she-doesnt-think-coronavirus-exists-because-she-doesnt-believe-anything-the-democrats-say/
14,CONSPIRACY/JUNKSCI,2,off-guardian.org,,https://off-guardian.org/2020/03/05/coronavirus-the-only-thing-spreading-exponentially-is-fear/?__cf_chl_jschl_tk__=84a8ead9faaa43855be1ee6b2ff7928ec7e1797d-1583515873-0-aa6u9myinnsicqg3eiprnt1lwvtqosm8rqm4e3n2lamvmpqpfkcpep5yopdsr5mjydg11w1so1fkx12niqywkpx_nf9y6dueguu1jy-3mjgzr_qbru3qbcxk-ytbke0zrkqsebsnsosanf8day1zhlovgczbkscipvheqhlt-lrwiibiwm_sjlh75gzfgjpu4kdtgp5fck7lu4mfpxnp8kmsayirqv5eeb6ythzrufrui5lnsetidc1erflzlnvxcrnajv0uyqc7-ymoz1g8nfbbad4zykfm4cigryn2zz_stooauf6fbsf8ehrjvmlmvcggmd1arxnkhb-f0imzpp9ef-o2trpgaug62p3b-cr0xxqgzk-q1nyzqeykmrogkw
15,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/spain-deploys-coronavirus-robots-test-21733020?utm_source=twitter.com&utm_medium=social&utm_campaign=sharebar
16,FAKE/HOAX,2,breitbart.com,"Nancy Pelosi Proposes 1,400-Page Coronavirus Bill Stuffed with Pork",https://www.breitbart.com/politics/2020/03/23/nancy-pelosi-proposes-1120-page-coronavirus-bill-stuffed-with-pork/
17,FAKE/HOAX,2,strategic-culture.org,A Curious Analogy – Coronavirus Misrepresentations Follow Srebrenica Script,https://www.strategic-culture.org/news/2020/04/11/a-curious-analogy-coronavirus-misrepresentations-follow-srebrenica-script/
18,CONSPIRACY/JUNKSCI,2,infowars.com,Full Transcript of “Smoking Gun” Bombshell Interview: Prof. Frances Boyle Exposes the Bioweapons Origins of the CoVid-19 Coronavirus,https://www.infowars.com/full-transcript-of-smoking-gun-bombshell-interview-prof-frances-boyle-exposes-the-bioweapons-origins-of-the-covid-19-coronavirus/?fbclid=iwar397muwoctsguxpdq0uatd-yz0zqz9na1e8oyjrodhgco8qibh5lccpdow
19,FAKE/HOAX,2,thegatewaypundit.com,"Coronavirus Death Counts Reported by Media Outpace Actual Deaths Reported Per CDC By Nearly 29,000",https://www.thegatewaypundit.com/2020/05/coronavirus-death-counts-reported-media-outpace-actual-deaths-reported-per-cdc-nearly-29000/
20,FAKE/HOAX,2,dailymail.co.uk,Third Russian doctor plunges from coronavirus hospital window,https://www.dailymail.co.uk/news/article-8282033/third-russian-doctor-plunges-coronavirus-hospital-window.html
