rank,fact_type,count,domain,url
1,CLICKBAIT,58,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
2,POLITICAL,39,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
3,POLITICAL,21,cnn.it,https://cnn.it/37zvbvy
4,POLITICAL,20,cnn.it,https://cnn.it/39enong
5,POLITICAL,18,eldiario.es,https://www.eldiario.es/sociedad/madrid-confirma-primer-positivo-coronavirus_0_999501133.html
6,POLITICAL,18,cnn.it,https://cnn.it/3942kes
7,POLITICAL,17,cnn.it,https://cnn.it/2qmv5pf
8,POLITICAL,14,eldiario.es,https://www.eldiario.es/internacional/ultima-hora-coronavirus_13_999280065_39110.html
9,POLITICAL,14,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus-novidade-no-brasil-implante-de-chips-aposta-da-medicina-24312618?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
10,POLITICAL,14,rollingstone.com,https://rol.st/396qdge
11,POLITICAL,13,cnn.it,https://cnn.it/39f0c6q
12,POLITICAL,13,eldiario.es,https://www.eldiario.es/canariasahora/sociedad/medico-italiano-positivo-coronavirus-tenerife_0_999151062.html
13,POLITICAL,12,mol.im,https://mol.im/a/8073245
14,POLITICAL,10,es.rt.com,https://es.rt.com/7fd4
15,POLITICAL,9,es.rt.com,https://es.rt.com/7b7v
16,POLITICAL,9,news.chosun.com,https://news.chosun.com/site/data/html_dir/2020/02/28/2020022802911.html
17,POLITICAL,9,cnn.it,https://cnn.it/2uz6cbr
18,POLITICAL,9,bfmtv.com,https://www.bfmtv.com/sante/direct-coronavirus-covid-19-france-symptome-cas-mort-confinement-quarantaine-ecole-fermee-report-municipales-second-tour-italie-espagne/#content/contribution/edit
19,POLITICAL,9,eldiario.es,https://www.eldiario.es/sociedad/ultima-hora-coronavirus-mundo-espana_13_1000679924_40987.html
20,POLITICAL,8,cnn.it,https://cnn.it/3ad0pyy
