rank,fact_type,count,domain,url
1,POLITICAL,15682,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
2,POLITICAL,2821,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus-novidade-no-brasil-implante-de-chips-aposta-da-medicina-24312618?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
3,POLITICAL,1907,oglobo.globo.com,https://oglobo.globo.com/fato-ou-fake/e-fake-que-tigela-de-agua-com-alho-recem-fervida-cura-coronavirus-1-24308518?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
4,POLITICAL,1303,oglobo.globo.com,https://oglobo.globo.com/economia/conferencia-sobre-coronavirus-cancelada-por-causa-do-coronavirus-24299063?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
5,POLITICAL,1239,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/camara-dos-eua-aprova-teste-gratis-para-coronavirus-licenca-medica-remunerada-24305435?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
6,POLITICAL,1073,oglobo.globo.com,https://oglobo.globo.com/sociedade/teste-de-bolsonaro-para-novo-coronavirus-da-negativo-24302029?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
7,CLICKBAIT,916,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
8,POLITICAL,846,oglobo.globo.com,https://oglobo.globo.com/brasil/herdeiro-da-familia-imperial-dom-antonio-esta-hospitalizado-com-coronavirus-24314291?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
9,POLITICAL,582,oglobo.globo.com,https://oglobo.globo.com/sociedade/saude/o-coronavirus-deve-chegar-ao-brasil-mas-nao-ha-motivo-para-panico-diz-cientista-da-fiocruz-24211190
10,POLITICAL,440,oglobo.globo.com,https://oglobo.globo.com/cultura/coronavirus-ator-de-gomorra-esta-isolado-com-corpo-infectado-da-irma-morta-24298515?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
11,POLITICAL,375,oglobo.globo.com,https://oglobo.globo.com/cultura/coronavirus-especial-que-reuniria-elenco-de-friends-adiado-24313541?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
12,POLITICAL,371,oglobo.globo.com,https://oglobo.globo.com/cultura/schwarzenegger-sobre-coronavirus-escutem-os-especialistas-ignorem-os-idiotas-1-24307509?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
13,FAKE/HOAX,324,mcmnt.com,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
14,FAKE/HOAX,270,amp.ibtimes.sg,https://amp.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042?utm_source=social&utm_medium=twitter&utm_campaign=%2fnorth-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042&__twitter_impression=true
15,POLITICAL,264,oglobo.globo.com,https://oglobo.globo.com/mundo/declaracao-de-eduardo-bolsonaro-sobre-coronavirus-provoca-crise-diplomatica-com-china-24313933?utm_source=facebook&utm_medium=social&utm_campaign=o%20globo
16,POLITICAL,261,oglobo.globo.com,https://oglobo.globo.com/economia/com-coronavirus-reajuste-de-planos-de-saude-pode-ser-maior-dizem-especialistas-24308858?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
17,POLITICAL,244,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/secretaria-de-saude-do-rio-confirma-primeiro-caso-de-coronavirus-no-estado-24288202?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
18,POLITICAL,244,oglobo.globo.com,https://oglobo.globo.com/sociedade/saude/prefeito-de-wuhan-admite-ter-omitido-informacoes-sobre-coronavirus-oferece-renuncia-24213420
19,POLITICAL,235,oglobo.globo.com,https://oglobo.globo.com/sociedade/saude/prefeito-de-wuhan-admite-ter-omitido-informacoes-sobre-coronavirus-oferece-renuncia-24213420?fbclid=iwar0mxsxmhh9tycdnx0jcapdhmg5rai0uo-h9a9r-ml0alp8jotuoc0iomq8
20,POLITICAL,222,oglobo.globo.com,https://oglobo.globo.com/mundo/declaracao-de-eduardo-bolsonaro-sobre-coronavirus-provoca-crise-diplomatica-com-china-24313933?utm_source=twitter&utm_medium=social&utm_campaign=compartilhar
