rank,fact_type,count,domain,url
1,POLITICAL,44,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
2,CLICKBAIT,11,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
3,POLITICAL,11,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus-novidade-no-brasil-implante-de-chips-aposta-da-medicina-24312618?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
4,POLITICAL,6,oglobo.globo.com,https://oglobo.globo.com/fato-ou-fake/e-fake-que-tigela-de-agua-com-alho-recem-fervida-cura-coronavirus-1-24308518?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
5,CLICKBAIT,4,soompi.com,https://www.soompi.com/article/1380327wpp/more-events-postponed-or-cancelled-in-korea-and-around-asia-due-to-coronavirus-concerns
6,POLITICAL,4,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/camara-dos-eua-aprova-teste-gratis-para-coronavirus-licenca-medica-remunerada-24305435?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
7,FAKE/HOAX,3,n.news.naver.com,https://n.news.naver.com/entertain/now/article/117/0003328924
8,CLICKBAIT,3,entertain.v.daum.net,http://entertain.v.daum.net/v/20200219144008670sbs
9,CLICKBAIT,3,soompi.com,https://www.soompi.com/article/1385652wpp/btss-fans-army-donate-refunds-from-concert-cancelation-to-help-coronavirus-prevention
10,CLICKBAIT,3,allkpop.com,https://www.allkpop.com/article/2020/03/pledis-confirms-minhyun-tested-negative-for-coronavirus
11,CLICKBAIT,3,soompi.com,https://www.soompi.com/article/1385869wpp/pledis-entertainment-denies-rumors-that-nuests-minhyun-was-infected-with-coronavirus
12,POLITICAL,3,oglobo.globo.com,https://oglobo.globo.com/cultura/coronavirus-ator-de-gomorra-esta-isolado-com-corpo-infectado-da-irma-morta-24298515?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
13,POLITICAL,3,oglobo.globo.com,https://oglobo.globo.com/economia/conferencia-sobre-coronavirus-cancelada-por-causa-do-coronavirus-24299063?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
14,FAKE/HOAX,2,dailymail.co.uk,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
15,POLITICAL,2,cnn.it,https://cnn.it/2rndsu7
16,CLICKBAIT,2,mirror.co.uk,https://www.mirror.co.uk/sport/football/news/odion-ighalo-involved-man-utd-21488840
17,CLICKBAIT,2,allkpop.com,https://www.allkpop.com/article/2020/02/got7-cancels-kuala-lumpur-show-of-keep-spinning-due-to-the-coronavirus
18,CLICKBAIT,2,allkpop.com,https://www.allkpop.com/article/2020/02/south-korea-becomes-most-infected-country-outside-china-for-coronavirus
19,CONSPIRACY/JUNKSCI,2,zerohedge.com,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
20,CLICKBAIT,2,allkpop.com,https://www.allkpop.com/article/2020/03/2pms-junho-donates-30-million-krw-for-coronavirus-relief-efforts
