rank,fact_type,count,domain,title,url
1,CLICKBAIT,292,mirror.co.uk,Coronavirus experts warn people to stop kissing as UK crisis continues to grow,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
2,POLITICAL,217,cnn.it,"CNN International - Breaking News, US News, World News and Video",https://cnn.it/3baewv4
3,CONSPIRACY/JUNKSCI,147,nationalfile.com,,https://nationalfile.com/philippines-to-deport-500-chinese-tourists-from-wuhan-to-prevent-coronavirus/
4,POLITICAL,146,news.chosun.com,"[단독] ""방탄소년단 팬들, 콘서트 환불금→기부..무려 453건 2천만원"" (인터뷰)",https://news.chosun.com/site/data/html_dir/2020/02/28/2020022802911.html
5,POLITICAL,130,es.rt.com,China aprueba una vacuna contra el coronavirus para ensayos clínicos,https://es.rt.com/7fd4
6,POLITICAL,70,es.rt.com,El coronavirus puede infectar desde una distancia de 2 metros y a través de los ojos,https://es.rt.com/7bby
7,POLITICAL,68,es.rt.com,Perú informa de cuatro pacientes bajo sospecha de contagio por coronavirus,https://es.rt.com/7ba5
8,POLITICAL,67,es.rt.com,Cuba confirma la primera muerte por coronavirus: un ciudadano italiano de 61 años,https://es.rt.com/7fg5
9,POLITICAL,64,cnn.it,"CNN International - Breaking News, US News, World News and Video",https://cnn.it/37zvbvy
10,FAKE/HOAX,63,albertonews.com,Médicos del Hospital Militar de Maracay evalúan a paciente para descartar contagio de coronavirus - AlbertoNews - Periodismo sin censura,https://albertonews.com/nacionales/ultima-hora-reportan-presunto-posible-caso-de-coronavirus-en-maracay-estado-aragua/
11,POLITICAL,63,oglobo.globo.com,"Nem um beijo? Contra coronavírus, autoridades pedem às pessoas que evitem contatos afetuosos",https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
12,POLITICAL,62,es.rt.com,Una persona muere cada 10 minutos por coronavirus en Irán,https://es.rt.com/7fjk
13,POLITICAL,62,es.rt.com,Aumenta a 263 el número de contagios por coronavirus en Perú y destituyen a la ministra de Salud,https://es.rt.com/7fq3
14,CLICKBAIT,58,entertain.v.daum.net,,http://entertain.v.daum.net/v/20200219144008670sbs
15,CONSPIRACY/JUNKSCI,55,nationalfile.com,,https://nationalfile.com/china-parents-abandoned-sick-children-at-airport-before-boarding-flight/
16,CLICKBAIT,49,soompi.com,BTS’s Fans ARMY Donate Refunds From Concert Cancelation To Help Coronavirus Prevention,https://www.soompi.com/article/1385652wpp/btss-fans-army-donate-refunds-from-concert-cancelation-to-help-coronavirus-prevention
17,FAKE/HOAX,45,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-china-llama-a-dialogo-para-solventar-la-crisis-en-venezuela/
18,POLITICAL,44,es.rt.com,Primeros casos de infección de coronavirus en personas que no visitaron China se registran en Japón y Alemania,https://es.rt.com/7bbe
19,POLITICAL,42,es.rt.com,"China prohíbe a 11 millones de ciudadanos salir de Wuhan, donde se originó el nuevo coronavirus",https://es.rt.com/7awm
20,POLITICAL,42,es.rt.com,Ecuador investiga un posible caso de coronavirus de China,https://es.rt.com/7b7v
