rank,fact_type,count,domain,title,url
1,FAKE/HOAX,14,albertonews.com,Médicos del Hospital Militar de Maracay evalúan a paciente para descartar contagio de coronavirus - AlbertoNews - Periodismo sin censura,https://albertonews.com/nacionales/ultima-hora-reportan-presunto-posible-caso-de-coronavirus-en-maracay-estado-aragua/
2,FAKE/HOAX,14,breitbart.com,John Legend Falsely Claims U.S. Has Highest Coronavirus Death Rate in the World,https://www.breitbart.com/entertainment/2020/05/04/john-legend-falsely-claims-u-s-has-highest-coronavirus-death-rate-in-the-world/
3,FAKE/HOAX,12,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-china-llama-a-dialogo-para-solventar-la-crisis-en-venezuela/
4,FAKE/HOAX,9,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
5,FAKE/HOAX,8,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest?fbclid=iwar3piqce96nhzoohwwnppwu7j8y_zc_wqgtwlt2pyglgh3lcbd00cftzo-8
6,FAKE/HOAX,6,breitbart.com,Italy: 96% of Coronavirus Fatalities Had Other Chronic Illnesses,https://www.breitbart.com/health/2020/05/27/italy-96-of-coronavirus-fatalities-had-other-chronic-illnesses/
7,FAKE/HOAX,5,ibtimes.sg,,https://www.ibtimes.sg/a000apq?utm_source=social&utm_medium=twitter&utm_campaign=/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
8,FAKE/HOAX,5,dailymail.co.uk,Passengers from cruise ship hit by coronavirus board flights to UK,https://www.dailymail.co.uk/news/article-8130201/passengers-cruise-ship-hit-coronavirus-rejoice-cuba-board-flights-britain.html
9,FAKE/HOAX,5,sputniknews.com,India Wants to Buy Russian Kalibr Cruise Missiles,https://sptnkne.ws/ccjg
10,FAKE/HOAX,4,albertonews.com,Médicos chinos hallan anticuerpos capaces de combatir el coronavirus - AlbertoNews - Periodismo sin censura,https://albertonews.com/internacionales/lo-ultimo-medicos-chinos-hallan-anticuerpos-capaces-de-combatir-el-coronavirus/
11,FAKE/HOAX,4,albertonews.com,Hospitales en Venezuela no están aptos para enfrentar el coronavirus (Video) - AlbertoNews - Periodismo sin censura,https://albertonews.com/nacionales/urgente-hospitales-en-venezuela-no-estan-aptos-para-enfrentar-el-coronavirus-video/
12,FAKE/HOAX,4,dailymail.co.uk,Beaches in Florida will start reopening THIS EVENING,https://www.dailymail.co.uk/news/article-8229933/beaches-florida-start-reopening-evening.html
13,FAKE/HOAX,4,breitbart.com,Pompeo: 'Enormous Evidence' Coronavirus Originated in Wuhan Lab,https://www.breitbart.com/clips/2020/05/03/pompeo-enormous-evidence-coronavirus-originated-in-wuhan-lab/?utm_source=newsletter&utm_medium=email&utm_term=todays_hottest_stories&utm_campaign=20200503
14,FAKE/HOAX,3,albertonews.com,Científico de Harvard predice que el coronavirus infectará hasta el 70% de la humanidad - AlbertoNews - Periodismo sin censura,https://albertonews.com/internacionales/ultima-hora-cientifico-de-harvard-predice-que-el-coronavirus-infectara-hasta-el-70-de-la-humanidad/
15,FAKE/HOAX,3,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-el-comite-olimpico-internacional-abre-la-puerta-a-la-cancelacion-de-los-juegos-por-el-coronavirus/
16,FAKE/HOAX,3,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
17,CONSPIRACY/JUNKSCI,3,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
18,FAKE/HOAX,3,albertonews.com,,https://albertonews.com/coronavirus/ultima-hora-faes-detuvo-a-reportera-de-caraota-digital-por-cubrir-cuarentena-en-catia/
19,CONSPIRACY/JUNKSCI,3,zerohedge.com,India Drags China To International Court For COVID-19 War,https://www.zerohedge.com/geopolitical/india-drags-china-international-court-covid-19-war
20,CONSPIRACY/JUNKSCI,3,zerohedge.com,"COVID-19 Is A Man-Made Virus: HIV-Discoverer Says ""Could Only Have Been Created In A Lab""",https://www.zerohedge.com/health/covid-19-man-made-virus-hiv-discoverer-says-could-only-have-been-created-lab
