rank,fact_type,count,domain,title,url
1,FAKE/HOAX,13,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-china-llama-a-dialogo-para-solventar-la-crisis-en-venezuela/
2,FAKE/HOAX,9,albertonews.com,Médicos del Hospital Militar de Maracay evalúan a paciente para descartar contagio de coronavirus - AlbertoNews - Periodismo sin censura,https://albertonews.com/nacionales/ultima-hora-reportan-presunto-posible-caso-de-coronavirus-en-maracay-estado-aragua/
3,CONSPIRACY/JUNKSCI,8,offgridsurvival.com,Theoretical Coronavirus Simulation Showed 65 million deaths in Uncontrolled Outbreak,https://offgridsurvival.com/bill-gates-coronavirus-in-a-simulation-ran-just-three-months-ago/
4,FAKE/HOAX,6,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
5,FAKE/HOAX,4,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-se-confirma-primer-caso-de-colombiano-con-coronavirus/
6,CONSPIRACY/JUNKSCI,3,zerohedge.com,Is This The Man Behind The Global Coronavirus Pandemic?,https://www.zerohedge.com/health/man-behind-global-coronavirus-pandemic
7,FAKE/HOAX,3,n.news.naver.com,"슈퍼주니어, 신종 코로나바이러스 예방 위해 마스크 1만개 기부(공식)",https://n.news.naver.com/entertain/article/609/0000239850
8,FAKE/HOAX,3,n.news.naver.com,"[단독] 트와이스, 2월 예정 일본 팬사인회 취소 '신종 코로나 바이러스 여파'",https://n.news.naver.com/entertain/now/article/117/0003328924
9,FAKE/HOAX,3,albertonews.com,Médicos chinos hallan anticuerpos capaces de combatir el coronavirus - AlbertoNews - Periodismo sin censura,https://albertonews.com/internacionales/lo-ultimo-medicos-chinos-hallan-anticuerpos-capaces-de-combatir-el-coronavirus/
10,CONSPIRACY/JUNKSCI,2,globalresearch.ca,"Body Organs of Over 15,000 Syrians Sold in Six Years: Coroner's Office - Global Research",https://shar.es/a3emew
11,FAKE/HOAX,2,summit.news,Chinese Lab That Studies “World’s Most Dangerous Pathogens” is Based in Wuhan,https://summit.news/2020/01/23/chinese-lab-that-studies-worlds-most-dangerous-pathogens-is-based-in-wuhan/
12,FAKE/HOAX,2,albertonews.com,,https://albertonews.com/internacionales/confirman-dos-casos-de-coronavirus-en-francia/
13,CONSPIRACY/JUNKSCI,2,zerohedge.com,"WHO Blames ""Human Error"" After Downplaying Coronavirus Risk, Will Reconvene Emergency Committee Thursday",https://www.zerohedge.com/geopolitical/who-blames-human-error-after-downplaying-coronavirus-risk-will-reconvene-emergency
14,FAKE/HOAX,2,albertonews.com,,https://albertonews.com/nacionales/urgente-40-privados-de-libertad-del-reten-de-cabimas-fueron-diagnosticados-con-tuberculosis/
15,CONSPIRACY/JUNKSCI,2,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
16,FAKE/HOAX,2,albertonews.com,,https://albertonews.com/internacionales/lo-ultimo-china-registra-un-brote-de-gripe-aviar-en-zona-cercana-al-foco-del-coronavirus/
17,FAKE/HOAX,2,rt.com,Clucking hell! New outbreak of BIRD FLU sees thousands of chickens culled in coronavirus-stricken China,https://on.rt.com/aa9r
18,FAKE/HOAX,2,summit.news,Coronavirus Model Predicts 183 Million Infections Before the End of February,https://summit.news/2020/01/30/coronavirus-model-predicts-183-million-infections-before-the-end-of-february/
19,FAKE/HOAX,2,rt.com,,https://www.rt.com/russia/481133-russia-bans-china-visitors-coronavirus/
20,FAKE/HOAX,2,albertonews.com,Científico de Harvard predice que el coronavirus infectará hasta el 70% de la humanidad - AlbertoNews - Periodismo sin censura,https://albertonews.com/internacionales/ultima-hora-cientifico-de-harvard-predice-que-el-coronavirus-infectara-hasta-el-70-de-la-humanidad/
