rank,fact_type,count,domain,title,url
1,FAKE/HOAX,199,ikerjimenez.com,Milenio Live – Covid-19: Las verdaderas cifras del desastre,https://www.ikerjimenez.com/milenio-live-2x32-covid-19-las-verdaderas-cifras-del-desastre/
2,FAKE/HOAX,198,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
3,FAKE/HOAX,103,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
4,FAKE/HOAX,94,ikerjimenez.com,Milenio Live – Covid-19: La noche de los doctores Mayol y Candel,https://www.ikerjimenez.com/milenio-live-2x28-covid-19-la-noche-de-los-doctores-mayol-y-candel/
5,FAKE/HOAX,88,ikerjimenez.com,Milenio Live – Covid-19: Crisis sin precedentes,https://www.ikerjimenez.com/milenio-live-2x29-covid-19-crisis-sin-precedentes/
6,CONSPIRACY/JUNKSCI,86,peta.org,"New Coronavirus Linked to Animal Flesh, Sources Warn | PETA",http://peta.vg/2ran
7,FAKE/HOAX,82,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest?fbclid=iwar3piqce96nhzoohwwnppwu7j8y_zc_wqgtwlt2pyglgh3lcbd00cftzo-8
8,FAKE/HOAX,81,ikerjimenez.com,Milenio Live – Coronavirus: El enigma de su origen,https://www.ikerjimenez.com/milenio-live-2x34-coronavirus-el-enigma-de-su-origen/
9,CONSPIRACY/JUNKSCI,73,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
10,FAKE/HOAX,70,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-china-llama-a-dialogo-para-solventar-la-crisis-en-venezuela/
11,FAKE/HOAX,57,ikerjimenez.com,Milenio Live – Coronavirus: Dossier especial,https://www.ikerjimenez.com/milenio-live-2x24-coronavirus-dossier-especial/
12,FAKE/HOAX,55,albertonews.com,Médicos del Hospital Militar de Maracay evalúan a paciente para descartar contagio de coronavirus - AlbertoNews - Periodismo sin censura,https://albertonews.com/nacionales/ultima-hora-reportan-presunto-posible-caso-de-coronavirus-en-maracay-estado-aragua/
13,CONSPIRACY/JUNKSCI,49,forbiddenknowledgetv.net,,https://forbiddenknowledgetv.net/coronavirus-caused-by-5g/?fbclid=iwar29xi3zu71vtotzjehwn4z-spbckjqg7c0x2wlysqulux9e6z4uznfwqu4
14,FAKE/HOAX,42,ikerjimenez.com,Milenio Live – Covid-19: El mundo que viene,https://www.ikerjimenez.com/milenio-live-2x30-covid-19-el-mundo-que-viene/
15,FAKE/HOAX,41,albertonews.com,Hospitales en Venezuela no están aptos para enfrentar el coronavirus (Video) - AlbertoNews - Periodismo sin censura,https://albertonews.com/nacionales/urgente-hospitales-en-venezuela-no-estan-aptos-para-enfrentar-el-coronavirus-video/
16,FAKE/HOAX,38,newspunch.com,Coronavirus Testing Program Funded By Bill Gates Is Suspended By FDA,https://newspunch.com/coronavirus-testing-program-funded-by-bill-gates-is-suspended-by-fda/
17,CONSPIRACY/JUNKSCI,37,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
18,FAKE/HOAX,35,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
19,FAKE/HOAX,33,ikerjimenez.com,Milenio Live – Covid-19: Estado de alarma,https://www.ikerjimenez.com/milenio-live-covid-19-estado-de-alarma/
20,CONSPIRACY/JUNKSCI,31,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
