rank,fact_type,count,domain,url
1,POLITICAL,14,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
2,POLITICAL,8,rawstory.com,https://www.rawstory.com/2020/03/gop-blocking-coronavirus-bill-because-it-limits-how-much-drugmakers-can-charge-for-a-vaccine-report/
3,CONSPIRACY/JUNKSCI,7,zerohedge.com,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
4,POLITICAL,7,change.org,https://www.change.org/p/hon-ratu-epeli-nailatikau-petition-to-protect-the-people-of-navua-serua-namosi-from-the-coronavirus?recruiter=1042955244&recruited_by_id=775a86f0-4f9e-11ea-acba-13aa619bab34&utm_source=share_petition&utm_medium=copylink&utm_campaign=petition_dashboard
5,POLITICAL,5,rawstory.com,https://www.rawstory.com/2020/02/stephen-millers-new-wife-is-in-charge-of-approving-all-coronavirus-communications/
6,CLICKBAIT,4,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
7,POLITICAL,4,thedailybeast.com,https://www.thedailybeast.com/sen-kelly-loeffler-dumped-millions-in-stock-after-coronavirus-briefing
8,POLITICAL,3,mol.im,https://mol.im/a/7939075
9,POLITICAL,3,rappler.com,http://rappler.com/world
10,CONSPIRACY/JUNKSCI,3,zerohedge.com,https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
11,POLITICAL,3,deadstate.org,https://deadstate.org/christian-pastor-i-plan-to-curse-the-coronavirus-and-make-it-disappear-from-america/
12,POLITICAL,3,thedailybeast.com,https://www.thedailybeast.com/the-us-embassy-in-tokyo-refused-to-test-exposed-staff-for-coronavirus
13,POLITICAL,3,cnn.com,https://www.cnn.com/2020/03/08/politics/2020-election-week-ahead/index.html
14,POLITICAL,2,cnn.it,https://cnn.it/37htbrl
15,CLICKBAIT,2,allkpop.com,https://www.allkpop.com/article/2020/01/btss-v-shows-concerns-urges-fans-to-be-careful-of-the-coronavirus
16,POLITICAL,2,cnn.it,https://cnn.it/3akvdm3
17,POLITICAL,2,cnn.it,https://cnn.it/2gvfl2s
18,POLITICAL,2,cnn.it,https://cnn.it/2rxap8j
19,POLITICAL,2,oann.com,https://www.oann.com/johnson-johnson-to-create-coronavirus-vaccine/
20,POLITICAL,2,theepochtimes.com,https://www.theepochtimes.com/trump-administration-forms-coronavirus-task-force_3221590.html
