rank,fact_type,count,domain,title,url
1,FAKE/HOAX,2,rt.com,China develops rapid Coronavirus test that works in under 15 MINUTES,https://www.rt.com/news/479705-china-develop-coronavirus-rapid-test/
2,FAKE/HOAX,2,politicususa.com,,https://www.politicususa.com/2020/02/27/rachel-maddow-destroys-trumps-coronavirus-lies-in-90-seconds.html
3,FAKE/HOAX,1,rt.com,Beijing city cancels major public events including Chinese New Year temple fairs due to coronavirus outbreak,https://www.rt.com/news/478982-beijing-virus-new-year-cancellation/
4,FAKE/HOAX,1,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
5,CONSPIRACY/JUNKSCI,1,prepareforchange.net,C.I.A. PATENT US7220852B1 - CORONAVIRUS AKA SARS,https://prepareforchange.net/2020/01/24/c-i-a-patent-us7220852b1-coronavirus-aka-sars/
6,FAKE/HOAX,1,rt.com,Hong Kong hospital hit by homemade bomb day after protesters set fire to coronavirus quarantine building,https://www.rt.com/news/479268-hong-kong-hospital-bombed/
7,FAKE/HOAX,1,rt.com,Error 404,http://on.rt.com/a9vh
8,CONSPIRACY/JUNKSCI,1,naturalnews.com,"N95 Masks USELESS, Coronavirus Enters Body Through EYEBALLS, Warns Infected Doctor in Wuhan, China",https://www.naturalnews.com/2020-01-26-n95-masks-useless-coronavirus-enters-body-through-eyeballs-warns-infected-doctor-in-wuhan.html
9,CONSPIRACY/JUNKSCI,1,nationalfile.com,,https://nationalfile.com/fact-checker-says-sam-hyde-isnt-responsible-for-coronavirus/
10,CONSPIRACY/JUNKSCI,1,zerohedge.com,Is This The Man Behind The Global Coronavirus Pandemic?,https://www.zerohedge.com/health/man-behind-global-coronavirus-pandemic
11,CONSPIRACY/JUNKSCI,1,nationalfile.com,,https://nationalfile.com/danish-newspapers-coronavirus-cartoon-angers-china/
12,FAKE/HOAX,1,rt.com,Russia's Ministry of Health names three drugs that can treat new Chinese coronavirus,https://www.rt.com/russia/479581-russia-health-ministry-coronavirus-vaccine/
13,FAKE/HOAX,1,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/chinas-coronavirus-hospital-opens-today.html?ito=facebook_share_article-top
14,FAKE/HOAX,1,rt.com,WHO declares international health emergency over coronavirus outbreak,https://www.rt.com/news/479626-coronavirus-global-emergency-who/
15,FAKE/HOAX,1,n.news.naver.com,"[단독] 트와이스, 2월 예정 일본 팬사인회 취소 '신종 코로나 바이러스 여파'",https://n.news.naver.com/entertain/now/article/117/0003328924
16,FAKE/HOAX,1,rt.com,"China's first 1,000-bed hospital to treat coronavirus patients built within DAYS (VIDEO)",https://www.rt.com/news/479877-coronavirus-hospital-wuhan-china-construction/
17,FAKE/HOAX,1,rt.com,"China's first 1,000-bed hospital to treat coronavirus patients built within DAYS (VIDEO)",https://on.rt.com/aa9x
18,FAKE/HOAX,1,tass.com,Russian antiviral drug being tested in China as treatment for new coronavirus,https://tass.com/society/1116423?fbclid=iwar17h9ybgutusko_angmugjux0osnbx2mehwhbclquzrwjlthrfi_69puvk
19,FAKE/HOAX,1,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/wuhan-coronavirus-crematoriums-working-247-21434630
20,FAKE/HOAX,1,rt.com,Russia praises China for transparent coronavirus updates,https://www.rt.com/sponsored-content/480243-russia-china-coronavirus-transparent-updates/
