rank,fact_type,count,domain,title,url
1,FAKE/HOAX,281,quillette.com,Losing the Mandate of Heaven - Quillette,https://quillette.com/2020/02/22/losing-the-mandate-of-heaven/#menuopen
2,FAKE/HOAX,247,breitbart.com,Hong Kong Citizens Protest Plans for Coronavirus Centers,https://www.breitbart.com/national-security/2020/02/18/hundreds-hong-kong-protest-plans-coronavirus-centers-residential-areas/
3,FAKE/HOAX,161,dailymail.co.uk,"China's top virus lab is in Wuhan, the center of the outbreak",https://www.dailymail.co.uk/health/article-7922379/chinas-lab-studying-sars-ebola-wuhan-outbreaks-center.html
4,FAKE/HOAX,103,dailymail.co.uk,What happened to those who spoke up about coronavirus in China?,https://www.dailymail.co.uk/news/article-8233203/chinas-disappeared-happened-dared-speak-coronavirus.html
5,CONSPIRACY/JUNKSCI,89,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
6,FAKE/HOAX,73,dailymail.co.uk,The head of the WHO stands accused of putting lives at risk,https://www.dailymail.co.uk/news/article-8187901/chinas-toxic-lackey-head-stands-accused-putting-lives-risk.html
7,FAKE/HOAX,67,dailymail.co.uk,"China's top virus lab is in Wuhan, the center of the outbreak",https://www.dailymail.co.uk/health/article-7922379/amp/chinas-lab-studying-sars-ebola-wuhan-outbreaks-center.html?__twitter_impression=true
8,CONSPIRACY/JUNKSCI,64,zerohedge.com,Is This The Man Behind The Global Coronavirus Pandemic?,https://www.zerohedge.com/health/man-behind-global-coronavirus-pandemic
9,FAKE/HOAX,63,breitbart.com,Congressman: Pelosi Blocking Investigation into China Coronavirus Origins,https://www.breitbart.com/politics/2020/05/03/congressman-nancy-pelosi-blocking-investigation-chinese-coronavirus-origins/
10,FAKE/HOAX,62,thenationalpulse.com,,https://thenationalpulse.com/editor/chinese-bots-flood-twitter-virus-theories/
11,FAKE/HOAX,40,gnews.org,,https://gnews.org/89737/
12,FAKE/HOAX,39,breitbart.com,Rep. Jim Banks: 'Demand Reparations' from China for Coronavirus,https://www.breitbart.com/politics/2020/03/17/rep-jim-banks-demand-reparations-communist-china-coronavirus/
13,FAKE/HOAX,38,dailymail.co.uk,Chinese students from Wuhan 'went clubbing in Cambridge this week',https://www.dailymail.co.uk/health/article-7926139/amp/chinese-students-coronavirus-ravaged-wuhan-went-clubbing-cambridge-week.html?ito=amp_twitter_share-related&__twitter_impression=true
14,FAKE/HOAX,29,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/china-deploys-40-incinerators-wuhan-21529067
15,CONSPIRACY/JUNKSCI,25,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
16,FAKE/HOAX,24,westernjournal.com,Op-Ed: Coronavirus Is Not the Only Epidemic Coming from China,https://www.westernjournal.com/op-ed-coronavirus-not-epidemic-coming-china/?utm_source=twitter&utm_medium=postsidesharingbuttons&utm_campaign=websitesharingbuttons
17,FAKE/HOAX,23,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
18,FAKE/HOAX,22,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/wuhan-coronavirus-crematoriums-working-247-21434630
19,FAKE/HOAX,21,breitbart.com,WHO Initially Echoed False Chinese Propaganda on Coronavirus,https://www.breitbart.com/politics/2020/03/22/who-covers-for-china-amid-virus-outbreak-not-contagious-among-humans/
20,FAKE/HOAX,20,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
