rank,fact_type,count,domain,title,url
1,FAKE/HOAX,13,dcdirtylaundry.com,U.S. military preparing to implement medical martial law due to coronavirus pandemic - DC Dirty Laundry,https://dcdirtylaundry.com/u-s-military-preparing-to-implement-medical-martial-law-due-to-coronavirus-pandemic/
2,FAKE/HOAX,11,dailymail.co.uk,US health experts hosted fictional coronavirus simulation 3 months ago,https://www.dailymail.co.uk/health/article-7925475/us-health-experts-predicted-coronavirus-kill-65million-people-year-three-months-ago.html
3,FAKE/HOAX,5,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
4,CONSPIRACY/JUNKSCI,5,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
5,FAKE/HOAX,4,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
6,CONSPIRACY/JUNKSCI,3,voxnews.info,Coronavirus? In arrivo ong tedesca con centinaia a bordo: bloccano nostri treni ma ci mandano i loro clandestini,https://voxnews.info/2020/02/24/coronavirus-in-arrivo-ong-tedesca-con-centinaia-a-bordo-bloccano-nostri-treni-ma-ci-mandano-i-loro-clandestini/
7,FAKE/HOAX,3,breitbart.com,AP Confirms: Democrats Are Lying to the Public About Coronavirus Readiness,https://www.breitbart.com/health/2020/02/27/ap-confirms-democrats-are-lying-to-the-public-about-coronavirus/
8,FAKE/HOAX,3,dailymail.co.uk,White House GAGS govt health experts from speaking about coronavirus,https://www.dailymail.co.uk/news/article-8052775/white-house-gags-government-health-experts-speaking-coronavirus.html
9,FAKE/HOAX,3,dailymail.co.uk,Did a 1981 Dean Koontz thriller predict the coronavirus outbreak?,https://www.dailymail.co.uk/news/article-8053063/amp/did-1981-dean-koontz-thriller-eyes-darkness-predict-coronavirus-outbreak.html
10,FAKE/HOAX,3,waynedupree.com,Opinion: Chelsea Clinton Get's Instantly Destroyed When She Tries to Lecture Trump on the Coronavirus,https://www.waynedupree.com/chelsea-clinton-coronavirus/
11,CONSPIRACY/JUNKSCI,3,peta.org,"New Coronavirus Linked to Animal Flesh, Sources Warn | PETA",http://peta.vg/2ran
12,FAKE/HOAX,2,summit.news,Virologist Who Visited Wuhan Says Coronavirus is “Out of Control”,https://summit.news/2020/01/24/virologist-who-visited-wuhan-says-coronavirus-is-out-of-control/
13,CONSPIRACY/JUNKSCI,2,zerohedge.com,"China Virus Cases Almost Double Overnight, Deaths Top 100 As North Korea Closes Border",https://www.zerohedge.com/geopolitical/wuhan-mayor-offers-resign-coronavirus-death-toll-accelerates-supply-shortages
14,FAKE/HOAX,2,dailymail.co.uk,"Nurse treating coronavirus in China claims 90,000 people are infected",https://www.dailymail.co.uk/news/article-7929657/nurse-treating-coronavirus-sufferers-china-claims-90-000-people-infected.html
15,CONSPIRACY/JUNKSCI,2,beholdisrael.org,26 Countries Hit with Cases of Coronavirus as Death Toll Continues to Rise - Behold Israel,https://beholdisrael.org/26-countries-hit-with-cases-of-coronavirus-as-death-toll-continues-to-rise/
16,FAKE/HOAX,2,dailymail.co.uk,Did coronavirus originate in Chinese government laboratory?,https://www.dailymail.co.uk/news/article-8009669/did-coronavirus-originate-chinese-government-laboratory.html
17,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/china-deploys-40-incinerators-wuhan-21529067
18,CONSPIRACY/JUNKSCI,2,imolaoggi.it,"Coronavirus, governo: ”no controlli dei confini, misura da escludere” - Imola Oggi",http://www.imolaoggi.it/2020/02/22/coronavirus-governo-no-controlli-confini/
19,CONSPIRACY/JUNKSCI,2,imolaoggi.it,"Coronavirus, Austria blocca treno dall’Italia - Imola Oggi",http://www.imolaoggi.it/2020/02/23/coronavirus-austria-blocca-treno-dallitalia/
20,FAKE/HOAX,2,dailymail.co.uk,Did coronavirus originate in Chinese government laboratory?,https://www.dailymail.co.uk/news/article-8009669/did-coronavirus-originate-chinese-government-laboratory.html?ito=social-twitter_mailonline
