rank,fact_type,count,domain,title,url
1,FAKE/HOAX,576,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
2,CONSPIRACY/JUNKSCI,506,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
3,FAKE/HOAX,491,dailymail.co.uk,More proof smokers may be at less risk of catching coronavirus,https://www.dailymail.co.uk/news/article-8264635/more-proof-smokers-risk-catching-coronavirus-expert-admits-weird.html
4,FAKE/HOAX,461,dailymail.co.uk,The Pope says he has asked God to stop the coronavirus epidemic,https://www.dailymail.co.uk/news/article-8125507/the-pope-says-asked-god-stop-coronavirus-epidemic.html
5,CONSPIRACY/JUNKSCI,372,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
6,FAKE/HOAX,305,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
7,FAKE/HOAX,277,dailymail.co.uk,Italian coronavirus victims over 80 may not receive intensive care,https://www.dailymail.co.uk/news/article-8116223/italian-coronavirus-victims-80-not-receive-intensive-care.html
8,FAKE/HOAX,194,firstpost.com,Coronavirus Outbreak: Sprinter Dutee Chand distributes 1000 food packets in her village amid lockdown - Firstpost,https://www.firstpost.com/sports/coronavirus-outbreak-sprinter-dutee-chand-distributes-1000-food-packets-in-her-village-amid-lockdown-8353741.html
9,FAKE/HOAX,192,express.co.uk,Mysterious new coronavirus outbreak hits China - 108 MILLION now back into lockdown,https://www.express.co.uk/news/world/1284199/china-coronavirus-new-lockdown-latest-jilin-province-quarantine-covid-19-update
10,FAKE/HOAX,186,gnews.org,,https://gnews.org/89749/
11,CONSPIRACY/JUNKSCI,162,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
12,FAKE/HOAX,152,express.co.uk,French researchers investigate the use of nicotine in coronavirus treatment,https://www.express.co.uk/news/world/1272696/france-coronavirus-research-study-nicotine-severe-covid-19-prevention
13,FAKE/HOAX,140,thenationalpulse.com,,https://thenationalpulse.com/editor/chinese-bots-flood-twitter-virus-theories/
14,FAKE/HOAX,135,dailymail.co.uk,Wuhan lab was performing experiments on bats from coronavirus caves,https://www.dailymail.co.uk/news/article-8211257/amp/wuhan-lab-performing-experiments-bats-coronavirus-caves.html
15,FAKE/HOAX,112,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
16,FAKE/HOAX,111,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
17,FAKE/HOAX,109,theblaze.com,Italian virologist says political correctness doomed his country's coronavirus response,https://www.theblaze.com/news/italy_political_correctness_china_coronavirus
18,FAKE/HOAX,108,summit.news,Islamic Scholar Who Said Coronavirus Was “Allah’s Punishment” Gets Coronavirus,https://summit.news/2020/03/11/islamic-scholar-who-said-coronavirus-was-allahs-punishment-gets-coronavirus/
19,FAKE/HOAX,105,dailymail.co.uk,Third Russian doctor plunges from coronavirus hospital window,https://www.dailymail.co.uk/news/article-8282033/third-russian-doctor-plunges-coronavirus-hospital-window.html
20,FAKE/HOAX,103,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
