rank,fact_type,count,domain,title,url
1,CONSPIRACY/JUNKSCI,28,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
2,CONSPIRACY/JUNKSCI,24,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
3,FAKE/HOAX,19,dailymail.co.uk,"China's top virus lab is in Wuhan, the center of the outbreak",https://www.dailymail.co.uk/health/article-7922379/chinas-lab-studying-sars-ebola-wuhan-outbreaks-center.html
4,FAKE/HOAX,18,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
5,CONSPIRACY/JUNKSCI,17,zerohedge.com,Creator Of US BioWeapons Act Says Coronavirus Is Biological Warfare Weapon,https://www.zerohedge.com/health/creator-bioweapons-act-says-coronavirus-biological-warfare-weapon
6,FAKE/HOAX,15,ibtimes.sg,,https://www.ibtimes.sg/a000apq?utm_source=social&utm_medium=twitter&utm_campaign=/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
7,FAKE/HOAX,14,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
8,CONSPIRACY/JUNKSCI,11,peta.org,"New Coronavirus Linked to Animal Flesh, Sources Warn | PETA",http://peta.vg/2ran
9,CONSPIRACY/JUNKSCI,10,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
10,CONSPIRACY/JUNKSCI,10,zerohedge.com,Is This The Man Behind The Global Coronavirus Pandemic?,https://www.zerohedge.com/health/man-behind-global-coronavirus-pandemic
11,FAKE/HOAX,9,rt.com,Austria stops passenger train traffic from and to Italy amid coronavirus panic,https://on.rt.com/abjr
12,CONSPIRACY/JUNKSCI,7,zerohedge.com,WHO Declares Coronavirus Outbreak A 'Global Pandemic',https://www.zerohedge.com/geopolitical/watch-live-who-reveals-decision-coronavirus-pandemic-status
13,FAKE/HOAX,7,rt.com,"2nd regional Italian head contracts coronavirus, all cultural facilities across the country CLOSED",https://on.rt.com/acdo
14,CONSPIRACY/JUNKSCI,6,zerohedge.com,"China Virus Cases Almost Double Overnight, Deaths Top 100 As North Korea Closes Border",https://www.zerohedge.com/geopolitical/wuhan-mayor-offers-resign-coronavirus-death-toll-accelerates-supply-shortages
15,FAKE/HOAX,6,gnews.org,,https://gnews.org/101180/
16,FAKE/HOAX,5,summit.news,Virologist Who Visited Wuhan Says Coronavirus is “Out of Control”,https://summit.news/2020/01/24/virologist-who-visited-wuhan-says-coronavirus-is-out-of-control/
17,FAKE/HOAX,5,gnews.org,,https://gnews.org/89749/
18,FAKE/HOAX,5,dailymail.co.uk,Amazing progress of China coronavirus hospital after four days,https://www.dailymail.co.uk/news/article-7933719/incredible-footage-shows-chinas-1-000-bed-coronavirus-hospital-taking-shape-four-days.html
19,FAKE/HOAX,5,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/chinas-coronavirus-hospital-opens-today.html
20,FAKE/HOAX,5,dailymail.co.uk,Did coronavirus originate in Chinese government laboratory?,https://www.dailymail.co.uk/news/article-8009669/did-coronavirus-originate-chinese-government-laboratory.html
