rank,fact_type,count,domain,title,url
1,POLITICAL,808,oglobo.globo.com,"Nem um beijo? Contra coronavírus, autoridades pedem às pessoas que evitem contatos afetuosos",https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
2,CLICKBAIT,520,mirror.co.uk,Coronavirus experts warn people to stop kissing as UK crisis continues to grow,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
3,POLITICAL,409,liberoquotidiano.it,"Coronavirus, Toni Capuozzo: ""Il governo ha pensato che il nemico fosse il razzismo, fottendosene dei contagi""",https://www.liberoquotidiano.it/news/italia/13566483/coronavirus-toni-capuozzo-governo-pensato-nemico-razzismo-fottendosene-contagi.html#.xk_93o9zoi4.twitter
4,CONSPIRACY/JUNKSCI,205,imolaoggi.it,"Coronavirus, governo: ”no controlli dei confini, misura da escludere” - Imola Oggi",http://www.imolaoggi.it/2020/02/22/coronavirus-governo-no-controlli-confini/
5,POLITICAL,202,bfmtv.com,"Ce n'est plus une blague, la bière Corona souffre vraiment de son association avec le coronavirus",https://www.bfmtv.com/economie/ce-n-est-plus-une-blague-la-biere-corona-souffre-vraiment-de-son-association-avec-le-coronavirus-1865325.html#page/contribution/index
6,POLITICAL,185,rollingstone.com,Rolling Stone,https://rol.st/396qdge
7,CONSPIRACY/JUNKSCI,184,imolaoggi.it,"Coronavirus, Bonino: “garantire la salute dei richiedenti asilo” - Imola Oggi",http://www.imolaoggi.it/2020/03/07/coronavirus-bonino-garantire-salute-richiedenti-asilo/
8,POLITICAL,165,oglobo.globo.com,"Coronavírus: novidade no Brasil, implante de chips é aposta da Medicina",https://oglobo.globo.com/sociedade/coronavirus-novidade-no-brasil-implante-de-chips-aposta-da-medicina-24312618?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
9,CONSPIRACY/JUNKSCI,157,imolaoggi.it,Meluzzi: “i cretini non vedono la pericolosità del coronavirus” - Imola Oggi,http://www.imolaoggi.it/2020/02/21/meluzzi-i-cretini-non-vedono-la-pericolosita-del-coronavirus/
10,POLITICAL,147,rappler.com,World,http://rappler.com/world
11,FAKE/HOAX,143,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
12,POLITICAL,142,bfmtv.com,Coronavirus: Castaner prévient que la violation des règles de confinement sera puni d'une amende de 38 €,https://www.bfmtv.com/sante/direct-coronavirus-covid-19-france-symptome-cas-mort-confinement-quarantaine-ecole-fermee-report-municipales-second-tour-italie-espagne/#content/contribution/edit
13,CONSPIRACY/JUNKSCI,138,voxnews.info,"Coronavirus,Pneumologo: “Necessario bloccare flussi dall’Africa. Rischiamo catastrofe”-VIDEO",https://voxnews.info/2020/02/23/coronaviruspneumologo-e-assolutamente-necessario-bloccare-flussi-dallafrica-rischiamo-catastrofe-video/
14,POLITICAL,134,liberoquotidiano.it,"Coronavirus, Conte senza ritorno: ""Prove di strage di Stato"", dimissioni vicine?",https://www.liberoquotidiano.it/news/politica/13567181/coronavirus-giuseppe-conte-dimissioni-chiede-scusa-strage-stato.html
15,SATIRE,134,scienceinfo.fr,Coronavirus : la fellation moins contagieuse qu’une poignée de main selon l’OMS - Science Info,http://www.scienceinfo.fr/coronavirus-la-fellation-moins-contagieuse-quune-poignee-de-main-selon-loms/
16,POLITICAL,133,liberoquotidiano.it,"Paolo Becchi: ""Giuseppe Conte e virus ci portano alla rovina, rischiamo un altro Mario Monti""",https://www.liberoquotidiano.it/news/politica/13569840/paolo-becchi-giuseppe-conte-coronavirus-rovina-italia-rischiamo-nuovo-mario-monti.html
17,POLITICAL,131,telegraph.co.uk,Italians over 80 'will be left to die' as country overwhelmed by coronavirus,https://www.telegraph.co.uk/news/2020/03/14/italians-80-will-left-die-country-overwhelmed-coronavirus/
18,CLICKBAIT,130,soompi.com,Pledis Entertainment Denies Rumors That NU’EST’s Minhyun Was Infected With Coronavirus,https://www.soompi.com/article/1385869wpp/pledis-entertainment-denies-rumors-that-nuests-minhyun-was-infected-with-coronavirus
19,SATIRE,127,lercio.it,Coronavirus di Zingaretti si scinde in due ceppi,https://www.lercio.it/coronavirus-di-zingaretti-si-scinde-in-due-ceppi/
20,CONSPIRACY/JUNKSCI,118,imolaoggi.it,"Coronavirus, Bonino: “garantire la salute dei richiedenti asilo” - Imola Oggi",https://www.imolaoggi.it/2020/03/07/coronavirus-bonino-garantire-salute-richiedenti-asilo/
