rank,fact_type,count,domain,title,url
1,FAKE/HOAX,9,dailymail.co.uk,Recovered coronavirus patient dies of the virus five days later,https://www.dailymail.co.uk/news/article-8077987/recovered-coronavirus-patient-dies-disease-five-days-discharged-hospital.html
2,FAKE/HOAX,6,dailymail.co.uk,US health experts hosted fictional coronavirus simulation 3 months ago,https://www.dailymail.co.uk/health/article-7925475/us-health-experts-predicted-coronavirus-kill-65million-people-year-three-months-ago.html
3,FAKE/HOAX,6,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
4,FAKE/HOAX,5,worldnewsdailyreport.com,COVID-19: Chinese health authorities confirm patient zero 'had sex with bats',https://worldnewsdailyreport.com/covid-19-chinese-health-authorities-confirm-patient-zero-had-sex-with-bats/
5,FAKE/HOAX,4,summit.news,Expert: U.S. Hospital Beds Will be Full by May 8 if Coronavirus Spread Continues at Current Rate,https://summit.news/2020/03/09/expert-u-s-hospital-beds-will-be-full-by-may-8-if-coronavirus-spread-continues-at-current-rate/
6,FAKE/HOAX,3,dailymail.co.uk,US biotech company claims it's found antibody to block coronavirus,https://www.dailymail.co.uk/health/article-8324395/california-biotech-claims-discovere-antibody-block-100-coronavirus.html
7,FAKE/HOAX,2,rt.com,Canada confirms 1st ‘presumptive case’ of coronavirus in Toronto,https://on.rt.com/a9r2
8,FAKE/HOAX,2,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/amp/chinas-coronavirus-hospital-opens-today.html?__twitter_impression=true
9,FAKE/HOAX,2,dailymail.co.uk,"China's top virus lab is in Wuhan, the center of the outbreak",https://www.dailymail.co.uk/health/article-7922379/chinas-lab-studying-sars-ebola-wuhan-outbreaks-center.html
10,FAKE/HOAX,2,rt.com,Italy locks down 10 towns after 1st coronavirus death as cases jump to 17,https://on.rt.com/abhe
11,FAKE/HOAX,2,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
12,CONSPIRACY/JUNKSCI,2,themindunleashed.com,Study Shows People Can Transmit Coronavirus Without Showing Symptoms,https://themindunleashed.com/2020/02/study-shows-people-can-transmit-coronavirus-without-showing-symptoms.html?fbclid=iwar1qa59of2mshqbogcrxixitcwglmv7nmmaiiuqmxxws1fnerj7k6nycvvi
13,FAKE/HOAX,2,dailymail.co.uk,Two British Airways baggage handlers test positive for coronavirus,https://www.dailymail.co.uk/news/article-8083017/two-british-airways-baggage-handlers-test-positive-coronavirus.html
14,FAKE/HOAX,2,breaking911.com,The First Infant Death Associated With Coronavirus - Breaking911,https://breaking911.com/breaking-infant-dies-from-coronavirus-in-illinois-a-first/
15,FAKE/HOAX,2,gatestoneinstitute.org,Coronavirus: China Floods Europe With Defective Medical Equipment,https://www.gatestoneinstitute.org/15840/china-defective-medical-equipment#.xodrzbely5g.twitter
16,FAKE/HOAX,2,breaking911.com,2 Pet Cats In NY State Test Positive For Coronavirus - Breaking911,https://breaking911.com/breaking-2-pet-cats-in-ny-state-test-positive-for-coronavirus/
17,CONSPIRACY/JUNKSCI,2,jihadwatch.org,,https://www.jihadwatch.org/2020/05/sweden-muslim-migrant-linked-gang-violence-increases-despite-coronavirus
18,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/huge-coronavirus-shaped-hailstones-smashing-22053626
19,FAKE/HOAX,2,express.co.uk,Freak 'coronavirus hailstones' in Mexico are 'a message from God to stay at home',https://www.express.co.uk/news/weather/1284472/coronavirus-hailstones-biblical-warning-montemorelos-mexico
20,FAKE/HOAX,2,dailymail.co.uk,Coronavirus-shaped hailstones are seen as a sign from God in Mexico,https://www.dailymail.co.uk/news/article-8335649/hailstones-look-like-coronavirus-seen-sign-god-stay-home-mexico.html?ito=amp_twitter_share-top
