rank,fact_type,count,domain,title,url
1,FAKE/HOAX,18,ibtimes.sg,,https://www.ibtimes.sg/a000apq?utm_source=social&utm_medium=twitter&utm_campaign=/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
2,FAKE/HOAX,10,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
3,CONSPIRACY/JUNKSCI,6,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
4,FAKE/HOAX,4,presstv.com,Coronavirus was produced in a laboratory: Former CIA intel officer,https://www.presstv.com/detail/2020/03/05/620213/coronavirus-was-produced-in-a-laboratory
5,FAKE/HOAX,4,worldnewsdailyreport.com,COVID-19: Chinese health authorities confirm patient zero 'had sex with bats',https://worldnewsdailyreport.com/covid-19-chinese-health-authorities-confirm-patient-zero-had-sex-with-bats/
6,FAKE/HOAX,3,dailymail.co.uk,US health experts hosted fictional coronavirus simulation 3 months ago,https://www.dailymail.co.uk/health/article-7925475/us-health-experts-predicted-coronavirus-kill-65million-people-year-three-months-ago.html?ito=native_share_article-masthead
7,FAKE/HOAX,3,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
8,CONSPIRACY/JUNKSCI,3,globalresearch.ca,After the Lockdown: A Global Coronavirus Vaccination Program... - Global Research,https://www.globalresearch.ca/after-the-lockdown-a-global-coronavirus-vaccination-program/5706547
9,FAKE/HOAX,3,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
10,FAKE/HOAX,3,rt.com,Venezuela sues Bank of England for refusal to return country’s gold amid coronavirus crisis,https://on.rt.com/ahfl
11,FAKE/HOAX,3,theblaze.com,Horowitz: The CDC confirms remarkably low coronavirus death rate. Where is the media?,https://www.theblaze.com/op-ed/horowitz-the-cdc-confirms-remarkably-low-coronavirus-death-rate-where-is-the-media
12,FAKE/HOAX,2,dailymail.co.uk,Donald Trump 'has a plan' to contain killer virus after spread to US,https://www.dailymail.co.uk/health/article-7915601/donald-trump-plan-contain-killer-virus-spread-us.html
13,FAKE/HOAX,2,dailymail.co.uk,US health experts hosted fictional coronavirus simulation 3 months ago,https://www.dailymail.co.uk/health/article-7925475/amp/us-health-experts-predicted-coronavirus-kill-65million-people-year-three-months-ago.html?__twitter_impression=true
14,FAKE/HOAX,2,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-se-confirma-primer-caso-de-colombiano-con-coronavirus/
15,FAKE/HOAX,2,n.news.naver.com,"빅히트 측 “방탄소년단 3월 토크쇼 행사 잠정연기, 코로나19 확산 방지”(공식)",https://n.news.naver.com/entertain/now/article/609/0000252147
16,CONSPIRACY/JUNKSCI,2,beholdisrael.org,Israeli Researchers on the Brink of Providing a Vaccine for CoVid-19 (Coronavirus) - Behold Israel,https://beholdisrael.org/israeli-researchers-on-the-brink-of-having-a-vaccine-for-covid-19-coronavirus/
17,FAKE/HOAX,2,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/#coronavirus
18,CONSPIRACY/JUNKSCI,2,peta.org,"New Coronavirus Linked to Animal Flesh, Sources Warn | PETA",http://peta.vg/2ran
19,FAKE/HOAX,2,n.news.naver.com,김재중 “코로나19 확진→만우절 농담”…도넘은 장난,https://n.news.naver.com/entertain/now/article/018/0004610638
20,FAKE/HOAX,2,westernjournal.com,NYC Officials Just Artificially Increased Their COVID Death Total by 57%,https://www.westernjournal.com/nyc-officials-just-artificially-increased-covid-death-total-57/?utm_source=twitter&utm_medium=postsidesharingbuttons&utm_campaign=websitesharingbuttons
