rank,fact_type,count,domain,title,url
1,POLITICAL,5,oglobo.globo.com,"Nem um beijo? Contra coronavírus, autoridades pedem às pessoas que evitem contatos afetuosos",https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
2,FAKE/HOAX,3,dailymail.co.uk,Revolting footage shows Chinese woman eating a bat,https://www.dailymail.co.uk/news/article-7920573/amp/revolting-footage-shows-chinese-woman-eating-bat-scientists-link-coronavirus-animal.html?__twitter_impression=true
3,FAKE/HOAX,3,thelastamericanvagabond.com,"Bats, Gene Editing and Bioweapons: Recent DARPA Experiments Raise Concerns Amid Coronavirus Outbreak",https://www.thelastamericanvagabond.com/top-news/bats-gene-editing-bioweapons-recent-darpa-experiments-raise-concerns-amid-coronavirus-outbreak/
4,POLITICAL,2,cnn.it,"CNN International - Breaking News, US News, World News and Video",https://cnn.it/2urob56
5,POLITICAL,2,cnn.it,"CNN International - Breaking News, US News, World News and Video",https://cnn.it/36ojd6d
6,POLITICAL,2,thesun.co.uk,First Brit known to catch coronavirus 'beat flu with hot whisky & honey',https://www.thesun.co.uk/news/10876645/coronavirus-first-brit-known-to-catch-virus-beat-deadly-flu-with-glass-of-hot-whisky-and-honey/?utm_medium=social&utm_campaign=sunmaintwitter&utm_source=twitter#echobox=1580715661
7,CLICKBAIT,2,entertain.v.daum.net,,http://entertain.v.daum.net/v/20200219144008670sbs
8,POLITICAL,2,news.chosun.com,"[단독] ""방탄소년단 팬들, 콘서트 환불금→기부..무려 453건 2천만원"" (인터뷰)",https://news.chosun.com/site/data/html_dir/2020/02/28/2020022802911.html
9,FAKE/HOAX,2,waynedupree.com,"Watch Reporter Get Demolished by the Doctor Who She Falsely Claims is ""Muzzled"" By Trump Admin Over Coronavirus ",https://www.waynedupree.com/coronavirus-dr-fauci-muzzled/
10,FAKE/HOAX,2,breitbart.com,WHO: Contaminated Cash May Help Spread Coronavirus,https://www.breitbart.com/politics/2020/03/04/who-contaminated-cash-may-help-spread-coronavirus-deadly-disease-can-be-contained/
11,CLICKBAIT,2,entertain.v.daum.net,BTS 슈가 1억 기부에 팬들 성금만 5억..'선한 영향력' 시너지,https://entertain.v.daum.net/v/20200305112918512
12,CLICKBAIT,2,mirror.co.uk,Coronavirus experts warn people to stop kissing as UK crisis continues to grow,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
13,POLITICAL,2,foxnews.com,"CPAC attendee tests positive for coronavirus; White House says Trump, Pence not in close proximity",https://www.foxnews.com/politics/cpac-attendee-tests-positive-coronavirus
14,FAKE/HOAX,2,dailymail.co.uk,Doctors claim new coronavirus 'may cause damage to a man's TESTICLES',https://www.dailymail.co.uk/news/article-8104477/doctors-claim-new-coronavirus-cause-damage-mans-testicles.html
15,POLITICAL,2,oglobo.globo.com,"Coronavírus: novidade no Brasil, implante de chips é aposta da Medicina",https://oglobo.globo.com/sociedade/coronavirus-novidade-no-brasil-implante-de-chips-aposta-da-medicina-24312618?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
16,POLITICAL,2,rollingstone.com,Rolling Stone,https://rol.st/396qdge
17,CLICKBAIT,2,mirror.co.uk,,https://www.mirror.co.uk/science/coronavirus-may-cause-damage-mens-21681342
18,POLITICAL,1,dailycaller.com,Airports Around The World Ramp Up Health Checks As Coronavirus Death Toll Rises To 6,https://dailycaller.com/2020/01/21/coronavirus-china-us-airports/
19,POLITICAL,1,cnn.it,"CNN International - Breaking News, US News, World News and Video",https://cnn.it/3axsjpy
20,POLITICAL,1,oann.com,,https://www.oann.com/cdc-confirms-first-case-of-coronavirus-in-the-u-s/
