rank,fact_type,count,domain,title,url
1,POLITICAL,4,oglobo.globo.com,"Nem um beijo? Contra coronavírus, autoridades pedem às pessoas que evitem contatos afetuosos",https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
2,POLITICAL,2,cnn.it,"CNN International - Breaking News, US News, World News and Video",https://cnn.it/2trrqsh
3,POLITICAL,2,mol.im,New York coronavirus cases rise to 11 as death toll increases,https://mol.im/a/8072159
4,FAKE/HOAX,1,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/scientists-blame-coronavirus-bats-pics-21337997
5,POLITICAL,1,thesun.co.uk,Correction: coronavirus,https://www.thesun.co.uk/news/10801901/coronavirus-outbreak-china-spread-bat-soup/?utm_campaign=sunmainfacebook&utm_medium=social&utm_source=facebook#echobox=1579784898
6,POLITICAL,1,cnn.it,"CNN International - Breaking News, US News, World News and Video",https://cnn.it/2uyebfa
7,CONSPIRACY/JUNKSCI,1,zerohedge.com,Philippines To Deport 500 Chinese People To Prevent Spread Of Coronavirus,https://www.zerohedge.com/geopolitical/philippines-deport-500-chinese-people-prevent-spread-coronavirus
8,POLITICAL,1,cnn.it,"CNN International - Breaking News, US News, World News and Video",https://cnn.it/2ua0d7k
9,POLITICAL,1,mol.im,Seventh American diagnosed with coronavirus,https://mol.im/a/7953313
10,FAKE/HOAX,1,summit.news,Coronavirus Model Predicts 183 Million Infections Before the End of February,https://summit.news/2020/01/30/coronavirus-model-predicts-183-million-infections-before-the-end-of-february/
11,POLITICAL,1,mol.im,"Airlines stop flights to China due to coronavirus, Chinese furious",https://mol.im/a/7952787
12,CONSPIRACY/JUNKSCI,1,zerohedge.com,"Hong Kong Confirms 2nd Non-Mainland China Coronavirus Death As Hospital Workers Strike, Over 200,000 'Under Observation'",https://www.zerohedge.com/geopolitical/i-cant-let-my-mom-die-home-desperate-patients-swarm-wuhan-hospital-hong-kong-closes
13,POLITICAL,1,thesun.co.uk,China cops threaten to jail people for 7yrs if they talk about virus spread,https://www.thesun.co.uk/news/10882566/china-threaten-7-years-jail-talk-virus-spread/
14,POLITICAL,1,ptv.io,Mali: le FAMas chasse Barkhane? ,http://ptv.io/2pdr
15,POLITICAL,1,cnn.com,Wuhan hospital announces death of whistleblower doctor Li Wenliang,https://www.cnn.com/2020/02/06/asia/li-wenliang-coronavirus-whistleblower-doctor-dies-intl/index.html
16,POLITICAL,1,mol.im,Did coronavirus originate in Chinese government laboratory?,https://mol.im/a/8009669
17,POLITICAL,1,eldiario.es,"Un hombre de 80 años que había sufrido un infarto, sexta víctima del coronavirus en Italia",https://www.eldiario.es/internacional/ultima-hora-coronavirus_13_999280065_39110.html
18,POLITICAL,1,middleeastmonitor.com,Coronavirus reaches Palestine,https://www.middleeastmonitor.com/20200227-coronavirus-reaches-palestine/
19,FAKE/HOAX,1,davidharrisjr.com,Associated Press Has Confirmed That The Democrats Are Lying About Coronavirus Readiness,https://davidharrisjr.com/rich/associated-press-has-confirmed-that-the-democrats-are-lying-about-coronavirus-readiness/
20,CLICKBAIT,1,soompi.com,Pledis Entertainment Denies Rumors That NU’EST’s Minhyun Was Infected With Coronavirus,https://www.soompi.com/article/1385869wpp/pledis-entertainment-denies-rumors-that-nuests-minhyun-was-infected-with-coronavirus
