rank,fact_type,count,domain,url
1,POLITICAL,3,rappler.com,http://rappler.com/world
2,CLICKBAIT,3,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
3,POLITICAL,3,thedailybeast.com,https://www.thedailybeast.com/sen-kelly-loeffler-dumped-millions-in-stock-after-coronavirus-briefing
4,FAKE/HOAX,2,albertonews.com,https://albertonews.com/internacionales/ultima-hora-aislados-los-primeros-sospechosos-de-coronavirus-en-cuba-confirma-el-minsap/
5,CONSPIRACY/JUNKSCI,2,zerohedge.com,https://www.zerohedge.com/health/did-chinas-tencent-accidentally-leak-true-terrifying-coronavirus-statistics
6,CONSPIRACY/JUNKSCI,2,zerohedge.com,https://www.zerohedge.com/health/four-coronavirus-scenarios-bad-worse-ugly-and-unthinkable
7,POLITICAL,2,newsweek.com,https://www.newsweek.com/pastor-says-god-will-protect-us-coronavirus-because-trump-administration-sided-life-womb-1487583?utm_source=public&utm_medium=feed&utm_campaign=distribution
8,POLITICAL,2,vox.com,https://www.vox.com/policy-and-politics/2020/3/1/21160339/coronavirus-trump-pence-democrats-hoax?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter
9,POLITICAL,2,rawstory.com,https://www.rawstory.com/2020/03/gop-blocking-coronavirus-bill-because-it-limits-how-much-drugmakers-can-charge-for-a-vaccine-report/
10,POLITICAL,2,rawstory.com,https://www.rawstory.com/2020/03/cnns-sanjay-gupta-left-slack-jawed-after-hearing-trump-say-people-with-coronavirus-should-go-to-work/#.xmhqfahztae.twitter
11,FAKE/HOAX,2,politicususa.com,https://www.politicususa.com/2020/03/08/trump-coronavirus-testing-kits.html
12,POLITICAL,2,rollingstone.com,https://www.rollingstone.com/politics/politics-news/doj-suspend-constitutional-rights-coronavirus-970935/
13,POLITICAL,1,xhne.ws,http://xhne.ws/r23qx
14,POLITICAL,1,cnn.com,https://www.cnn.com/2020/01/21/health/wuhan-coronavirus-first-us-case-cdc-bn/index.html
15,POLITICAL,1,cnn.it,https://cnn.it/2rkkjzu
16,POLITICAL,1,thedailybeast.com,https://www.thedailybeast.com/chinas-deadly-coronavirus-cover-up-is-getting-worse
17,POLITICAL,1,foxnews.com,https://www.foxnews.com/health/first-case-coronavirus-us-seattle
18,FAKE/HOAX,1,summit.news,https://summit.news/2020/01/22/professor-warns-new-coronavirus-has-same-kill-rate-as-the-spanish-flu/
19,POLITICAL,1,cnn.it,https://cnn.it/38ym3rj
20,POLITICAL,1,cnn.it,https://cnn.it/2gcntzu
