rank,fact_type,count,domain,title,url
1,FAKE/HOAX,7,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
2,FAKE/HOAX,3,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
3,CONSPIRACY/JUNKSCI,2,zerohedge.com,"UK Researcher Predicts Over 250,000 Chinese Will Have Coronavirus In Ten Days",https://www.zerohedge.com/geopolitical/uk-researcher-predicts-over-250000-people-china-will-have-coronavirus-ten-days
4,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/locust-plague-reaches-coronavirus-hit-21513111
5,FAKE/HOAX,2,dcdirtylaundry.com,U.S. military preparing to implement medical martial law due to coronavirus pandemic - DC Dirty Laundry,https://dcdirtylaundry.com/u-s-military-preparing-to-implement-medical-martial-law-due-to-coronavirus-pandemic/
6,CONSPIRACY/JUNKSCI,2,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
7,FAKE/HOAX,2,amp.ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://amp.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042?__twitter_impression=true
8,FAKE/HOAX,1,thegatewaypundit.com,GROSS: Scientists Blame Coronavirus on Bats -- In Chinese Province Where Bat Soup Is Served in Restaurants,https://www.thegatewaypundit.com/2020/01/gross-scientists-blame-coronavirus-on-bats-in-chinese-province-where-bat-soup-is-served-in-restaurants/
9,FAKE/HOAX,1,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/scientists-blame-coronavirus-bats-pics-21337997
10,FAKE/HOAX,1,thegatewaypundit.com,"China Welcomes in ""Year of the Rat"" as Deadly Coronavirus Ravages Hubei Province and Financial Stress Grips Country",https://www.thegatewaypundit.com/2020/01/china-welcomes-in-year-of-the-rat-as-deadly-coronavirus-ravages-hubei-province-and-financial-stress-grips-country/
11,FAKE/HOAX,1,dailymail.co.uk,US health experts hosted fictional coronavirus simulation 3 months ago,https://www.dailymail.co.uk/health/article-7925475/us-health-experts-predicted-coronavirus-kill-65million-people-year-three-months-ago.html
12,FAKE/HOAX,1,rt.com,"Chinese virus death toll rises to 56, with nearly 2,000 infected nationwide & more cases confirmed abroad",https://on.rt.com/a9r3
13,CONSPIRACY/JUNKSCI,1,infowars.com,Bill and Melinda Gates Foundation & Others Predicted Up To 65 Million Deaths Via Coronavirus – In Simulation Ran 3 Months Ago!,https://www.infowars.com/bill-and-melinda-gates-foundation-others-predicted-up-to-65-million-deaths-via-coronavirus-in-simulation-ran-3-months-ago/
14,FAKE/HOAX,1,dailymail.co.uk,Did China use its status as a major superpower to pressure the WHO?,https://www.dailymail.co.uk/health/article-7928349/did-china-use-status-major-superpower-pressure-world-health-organisation.html
15,FAKE/HOAX,1,dailymail.co.uk,Wuhan doctor dies nine days after contracting deadly coronavirus,https://www.dailymail.co.uk/health/article-7928063/wuhan-doctor-dies-nine-days-contracting-deadly-coronavirus-battled-save-patients.html
16,CONSPIRACY/JUNKSCI,1,beholdisrael.org,Israeli Biological Warfare Expert Connects China’s Wuhan Virus to Covert Biological Warfare Laboratory - Behold Israel,https://beholdisrael.org/israeli-biological-warfare-expert-connects-chinas-wuhan-virus-to-covert-biological-warfare-laboratory/
17,FAKE/HOAX,1,n.news.naver.com,"슈퍼주니어 컴백쇼, 중국 우한 폐렴 여파로 비공개 진행(전문)",https://n.news.naver.com/entertain/now/article/410/0000664132
18,FAKE/HOAX,1,albertonews.com,,https://albertonews.com/nacionales/urgente-40-privados-de-libertad-del-reten-de-cabimas-fueron-diagnosticados-con-tuberculosis/
19,CONSPIRACY/JUNKSCI,1,zerohedge.com,WHO Declares Coronavirus Outbreak A 'Global Pandemic',https://www.zerohedge.com/geopolitical/watch-live-who-reveals-decision-coronavirus-pandemic-status
20,CONSPIRACY/JUNKSCI,1,zerohedge.com,Is This The Man Behind The Global Coronavirus Pandemic?,https://www.zerohedge.com/health/man-behind-global-coronavirus-pandemic
