rank,fact_type,count,domain,url
1,CONSPIRACY/JUNKSCI,41,naturalnews.com,https://www.naturalnews.com/2020-02-18-florida-conceals-number-of-people-tested-for-coronavirus-then-lies.html
2,CLICKBAIT,14,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
3,POLITICAL,12,rappler.com,http://rappler.com/world
4,CLICKBAIT,10,allkpop.com,https://www.allkpop.com/article/2020/03/kbs-building-quarantined-after-employee-a-tests-positive-for-the-coronavirus
5,POLITICAL,8,news.chosun.com,https://news.chosun.com/site/data/html_dir/2020/02/28/2020022802911.html
6,CLICKBAIT,7,allkpop.com,https://www.allkpop.com/article/2020/03/exos-suho-donates-50-million-krw-to-aid-coronavirus-relief-efforts
7,CLICKBAIT,6,entertain.v.daum.net,https://entertain.v.daum.net/v/20200228150259906
8,POLITICAL,6,rollingstone.com,https://rol.st/396qdge
9,CLICKBAIT,5,allkpop.com,https://www.allkpop.com/article/2020/01/nct-dream-and-sf9-fans-demand-their-labels-take-action-to-keep-artists-out-of-china-due-to-the-coronavirus
10,CLICKBAIT,5,koreaboo.com,https://www.koreaboo.com/news/exo-baekhyun-preventing-coronavirus/
11,POLITICAL,5,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
12,CLICKBAIT,5,koreaboo.com,https://www.koreaboo.com/news/mnh-entertainment-confirms-2-chungha-staff-corona19-covid-19/
13,CLICKBAIT,4,allkpop.com,https://www.allkpop.com/article/2020/01/btss-v-shows-concerns-urges-fans-to-be-careful-of-the-coronavirus
14,POLITICAL,4,rappler.com,https://www.rappler.com/nation/186633-philippines-confirms-case-novel-coronavirus?utm_medium=social&utm_source=twitter#echobox=1580371766
15,CLICKBAIT,4,soompi.com,https://www.soompi.com/article/1380150wpp/events-postponed-or-cancelled-in-korea-and-around-asia-due-to-coronavirus-concerns
16,CLICKBAIT,4,entertain.v.daum.net,https://entertain.v.daum.net/v/20200228165328313
17,CLICKBAIT,4,soompi.com,https://www.soompi.com/article/1385869wpp/pledis-entertainment-denies-rumors-that-nuests-minhyun-was-infected-with-coronavirus
18,CLICKBAIT,4,allkpop.com,https://www.allkpop.com/article/2020/03/pledis-confirms-minhyun-tested-negative-for-coronavirus
19,POLITICAL,3,cnn.it,https://cnn.it/2gcntzu
20,CLICKBAIT,3,soompi.com,https://www.soompi.com/article/1380327wpp/more-events-postponed-or-cancelled-in-korea-and-around-asia-due-to-coronavirus-concerns
