rank,fact_type,count,domain,title,url
1,CONSPIRACY/JUNKSCI,3,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
2,FAKE/HOAX,3,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
3,FAKE/HOAX,2,dailymail.co.uk,North Korea becomes the TWENTY-NINTH country to record coronavirus ,https://www.dailymail.co.uk/health/article-7978247/north-korea-29th-country-record-coronavirus-suspected-patient-struck-denmark.html
4,FAKE/HOAX,2,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
5,FAKE/HOAX,2,frontpagemag.com,50 Freed Coronavirus Inmates Carried Out Crime Spree - Frontpagemag,https://www.frontpagemag.com/point/2020/04/50-freed-coronavirus-inmates-carried-out-crime-daniel-greenfield/#.xp5ranxci-i.twitter
6,CONSPIRACY/JUNKSCI,2,off-guardian.org,WATCH: “Dr Erickson Covid19 Briefing” CENSORED by YouTube,https://off-guardian.org/2020/04/29/watch-dr-erickson-covid19-briefing-censored-by-youtube/
7,FAKE/HOAX,2,thegatewaypundit.com,"""High-Risk"" Convicted Child Molester Rearrested For Sex Crimes After Controversial Release From California Jail Due to COVID-19",https://www.thegatewaypundit.com/2020/05/high-risk-convicted-child-molester-rearrested-sex-crimes-controversial-release-california-jail-due-covid-19/
8,FAKE/HOAX,1,express.co.uk,‘She’s a TIMEBOMB’ Chinese woman hides Coronavirus to enter France - and brags online,https://www.express.co.uk/news/world/1231898/coronavirus-latest-chinese-woman-france-sneaked-in-infected-corona-virus-wuhan-weibo
9,CONSPIRACY/JUNKSCI,1,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
10,FAKE/HOAX,1,summit.news,Philippines to Deport 500 Chinese People to Prevent to Spread of Coronavirus,https://summit.news/2020/01/27/philippines-to-deport-500-chinese-people-to-prevent-to-spread-of-coronavirus/
11,FAKE/HOAX,1,summit.news,UK Schools Warned to Watch Out For “Xenophobia” as Coronavirus Spreads,https://summit.news/2020/01/28/uk-schools-warned-to-watch-out-for-xenophobia-as-coronavirus-spreads/
12,CONSPIRACY/JUNKSCI,1,zerohedge.com,Coronavirus Chaos Forces Starbucks To Shutter Almost Half Its Stores In China,https://www.zerohedge.com/markets/coronavirus-chaos-forces-starbucks-shutter-almost-half-its-stores-china
13,CONSPIRACY/JUNKSCI,1,zerohedge.com,Is This The Man Behind The Global Coronavirus Pandemic?,https://www.zerohedge.com/health/man-behind-global-coronavirus-pandemic
14,CONSPIRACY/JUNKSCI,1,zerohedge.com,"Coronavirus Geometric Progression Suggests 100,000 Infections In A Week",https://www.zerohedge.com/health/coronavirus-geometric-progression-suggests-100000-infections-week
15,CONSPIRACY/JUNKSCI,1,naturalnews.com,"New evidence emerges: Coronavirus ""bioweapon"" might have been a Chinese vaccine experiment gone wrong... genes contain ""pShuttle-SN"" sequences, proving laboratory origin",https://www.naturalnews.com/2020-02-02-coronavirus-bioweapon-chinese-vaccine-experiment-gone-wrong-pshuttle-sn-gene-sequence.html
16,CONSPIRACY/JUNKSCI,1,zerohedge.com,"Pat Buchanan: ""Trump Calls Off Cold War II""",https://www.zerohedge.com/news/2018-07-17/pat-buchanan-trump-calls-cold-war-ii
17,FAKE/HOAX,1,dailymail.co.uk,"Chinese doctor, 34, who sounded alarm over coronavirus DIES from it",https://www.dailymail.co.uk/news/article-7974593/coronavirus-whistle-blower-dies-deadly-disease-catching-patient.html
18,FAKE/HOAX,1,ibtimes.sg,Coronavirus may survive up to 9 days on surfaces but some disinfectants can destroy it: Study,https://www.ibtimes.sg/coronavirus-can-survive-9-days-surfaces-some-disinfectants-can-destroy-them-study-39069
19,CONSPIRACY/JUNKSCI,1,infowars.com,White House Asks Scientists To Investigate Whether 2019-nCoV Was Bio-Engineered,https://www.infowars.com/white-house-asks-scientists-to-investigate-whether-2019-ncov-was-bio-engineered/
20,FAKE/HOAX,1,rt.com,Italy becomes Europe’s largest coronavirus hot spot with 3 deaths & 79 cases across 5 regions,https://on.rt.com/abio
