rank,fact_type,count,domain,title,url
1,FAKE/HOAX,5,theconservativetreehouse.com,An Alarming Message About Healthcare and COVID-19 in New York City…,https://theconservativetreehouse.com/2020/04/26/an-alarming-message-about-healthcare-and-covid-19-in-new-york-city/
2,CONSPIRACY/JUNKSCI,3,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
3,CONSPIRACY/JUNKSCI,3,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
4,FAKE/HOAX,3,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
5,FAKE/HOAX,2,dcdirtylaundry.com,U.S. military preparing to implement medical martial law due to coronavirus pandemic - DC Dirty Laundry,https://dcdirtylaundry.com/u-s-military-preparing-to-implement-medical-martial-law-due-to-coronavirus-pandemic/
6,FAKE/HOAX,1,dailymail.co.uk,"US forces passengers from Wuhan, China to get screened for coronavirus",https://www.dailymail.co.uk/news/article-7916223/us-forces-passengers-wuhan-china-change-flights-screened-coronavirus.html?ito=facebook_share_article-top
7,FAKE/HOAX,1,express.co.uk,Older men are main victims of new epidemic say Chinese health chiefs,https://www.express.co.uk/life-style/health/1232989/health-news-older-men-main-victims-new-epidemic-chinese-health-chiefs-coronavirus
8,FAKE/HOAX,1,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/coronavirus-outbreak-started-secret-lab-21343995?utm_source=facebook.com&utm_medium=social&utm_campaign=mirror_main
9,CONSPIRACY/JUNKSCI,1,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
10,FAKE/HOAX,1,rt.com,,https://on.rt.com/aa19
11,CONSPIRACY/JUNKSCI,1,zerohedge.com,"Wilbur Ross Says China's Coronavirus Outbreak Will ""Help Bring Jobs Back To America""",https://www.zerohedge.com/political/wilbur-ross-says-chinas-coronavirus-outbreak-will-help-bring-jobs-back-america
12,CONSPIRACY/JUNKSCI,1,zerohedge.com,GnS: Coronavirus Has The Potential To Trigger A Global Depression,https://www.zerohedge.com/markets/gns-coronavirus-has-potential-trigger-global-depression
13,FAKE/HOAX,1,rt.com,,https://on.rt.com/aa8s
14,CONSPIRACY/JUNKSCI,1,zerohedge.com,"Thai Doctors ""Cure"" Coronavirus Patient Using Powerful AIDS Drugs",https://www.zerohedge.com/geopolitical/thai-doctors-cure-coronavirus-patient-using-powerful-aids-drugs
15,CONSPIRACY/JUNKSCI,1,zerohedge.com,Creator Of US BioWeapons Act Says Coronavirus Is Biological Warfare Weapon,https://www.zerohedge.com/health/creator-bioweapons-act-says-coronavirus-biological-warfare-weapon
16,FAKE/HOAX,1,ladbible.com,"Coronavirus Medic, 28, Drops Dead After Working 10 Days Straight",https://www.ladbible.com/news/news-coronavirus-medic-27-drops-dead-after-working-10-days-straight-20200205?c=1580928279835?source=twitter
17,CONSPIRACY/JUNKSCI,1,zerohedge.com,White House Asks Scientists To Investigate Whether 2019-nCoV Was Bio-Engineered,https://www.zerohedge.com/health/white-house-asks-scientists-investigate-whether-2019-ncov-was-bio-engineered
18,FAKE/HOAX,1,rt.com,Diamond Princess cruise ship quarantine extended after Japan finds 3 more cases of coronavirus on board,https://on.rt.com/aanw
19,FAKE/HOAX,1,rt.com,"China coronavirus death toll soars to 813 with 37,000+ cases worldwide",https://on.rt.com/aaov
20,FAKE/HOAX,1,breitbart.com,Donald Trump Optimistic Spring Heat Will Kill Coronavirus,https://www.breitbart.com/politics/2020/02/10/donald-trump-optimistic-spring-heat-will-kill-coronavirus/
