rank,fact_type,count,domain,title,url
1,CONSPIRACY/JUNKSCI,16,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
2,FAKE/HOAX,6,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
3,FAKE/HOAX,6,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/chinas-coronavirus-hospital-opens-today.html
4,FAKE/HOAX,5,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
5,FAKE/HOAX,3,dailymail.co.uk,"China's top virus lab is in Wuhan, the center of the outbreak",https://www.dailymail.co.uk/health/article-7922379/chinas-lab-studying-sars-ebola-wuhan-outbreaks-center.html
6,FAKE/HOAX,3,n.news.naver.com,"[단독] 트와이스, 2월 예정 일본 팬사인회 취소 '신종 코로나 바이러스 여파'",https://n.news.naver.com/entertain/now/article/117/0003328924
7,FAKE/HOAX,2,rt.com,Chinese authorities share FIRST PHOTOS of deadly coronavirus,https://on.rt.com/a9n5
8,CONSPIRACY/JUNKSCI,2,zerohedge.com,Is This The Man Behind The Global Coronavirus Pandemic?,https://www.zerohedge.com/health/man-behind-global-coronavirus-pandemic
9,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/rumours-swirl-after-president-xi-21445247
10,CONSPIRACY/JUNKSCI,2,iflscience.com,"Pangolins May Have Played A Key Role In The Coronavirus Outbreak, Say Chinese Scientists",https://www.iflscience.com/plants-and-animals/pangolins-may-have-played-a-key-role-in-the-coronavirus-outbreak-say-chinese-scientists/
11,FAKE/HOAX,2,breitbart.com,Exclusive–Tom Cotton on Coronavirus: Establishment Media ‘Spouting’ Chinese ‘Communist Party Line’,https://www.breitbart.com/politics/2020/02/18/exclusive-tom-cotton-on-coronavirus-establishment-media-spouting-chinese-communist-party-line/
12,FAKE/HOAX,2,pjmedia.com,Facebook Fact-Checkers Admit Trump Never Said Coronavirus Was 'a Hoax',https://pjmedia.com/trending/facebook-fact-checkers-admit-trump-never-said-coronavirus-was-a-hoax/
13,CONSPIRACY/JUNKSCI,1,zerohedge.com,"Chinese Officials Warn Of ""Virus Mutation Spreading"" - 440 Cases Confirmed, 9 Dead",https://www.zerohedge.com/markets/stocks-slide-cnn-report-suggesting-coronavirus-has-reached-us
14,CONSPIRACY/JUNKSCI,1,zerohedge.com,Coronavirus Death Toll Hits 25 As Beijing Confirms 830 Patients Infected,https://www.zerohedge.com/geopolitical/china-quarantines-second-city-experts-warn-its-already-too-late-stop-virus
15,FAKE/HOAX,1,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/scientists-blame-coronavirus-bats-pics-21337997
16,FAKE/HOAX,1,rt.com,Chinese authorities announce first CURED coronavirus patient discharged from hospital in Shanghai,https://on.rt.com/a9ok
17,FAKE/HOAX,1,rt.com,Did patient zero really catch new Chinese virus by eating infected bat soup? It’s actually perfectly possible,https://on.rt.com/a9lh
18,FAKE/HOAX,1,rt.com,Singapore confirms first case of deadly Chinese coronavirus – reports,https://on.rt.com/a9lf
19,FAKE/HOAX,1,dailymail.co.uk,US health experts hosted fictional coronavirus simulation 3 months ago,https://www.dailymail.co.uk/health/article-7925475/us-health-experts-predicted-coronavirus-kill-65million-people-year-three-months-ago.html
20,FAKE/HOAX,1,thegatewaypundit.com,Senator Tom Cotton: Trump Should Consider China Travel Ban Over Coronavirus Outbreak,https://www.thegatewaypundit.com/2020/01/senator-tom-cotton-trump-should-consider-china-travel-ban-over-coronavirus-outbreak/
