rank,fact_type,count,domain,title,url
1,CLICKBAIT,147,mirror.co.uk,Coronavirus experts warn people to stop kissing as UK crisis continues to grow,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
2,SATIRE,138,speld.nl,Coronavirus ziek na week met Vindicat-studenten op Italiaanse berg,https://speld.nl/2020/03/05/coronavirus-ziek-na-week-met-vindicat-studenten-op-italiaanse-berg/
3,SATIRE,100,speld.nl,Coronavirus brengt toevoer onnodige troep in gevaar,https://speld.nl/2020/02/05/coronavirus-brengt-toevoer-onnodige-troep-in-gevaar/
4,FAKE/HOAX,88,dailymail.co.uk,"China's top virus lab is in Wuhan, the center of the outbreak",https://www.dailymail.co.uk/health/article-7922379/chinas-lab-studying-sars-ebola-wuhan-outbreaks-center.html
5,SATIRE,80,speld.nl,Waarom hoor je in de media niks over het gevaarlijke coronavirus?,https://speld.nl/2020/02/29/waarom-hoor-je-in-de-media-niks-over-het-gevaarlijke-coronavirus/
6,POLITICAL,79,telegraaf.nl,Viroloog waarschuwt: ’Coronavirus bij ons is realistisch’,https://www.telegraaf.nl/t/1699280272/
7,CONSPIRACY/JUNKSCI,74,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
8,POLITICAL,52,rawstory.com,GOP blocking coronavirus bill — because it limits how much drugmakers can charge for a vaccine: report,https://www.rawstory.com/2020/03/gop-blocking-coronavirus-bill-because-it-limits-how-much-drugmakers-can-charge-for-a-vaccine-report/
9,POLITICAL,51,thedailybeast.com,Sen. Kelly Loeffler Dumped Millions in Stock After Coronavirus Briefing,https://www.thedailybeast.com/sen-kelly-loeffler-dumped-millions-in-stock-after-coronavirus-briefing
10,POLITICAL,47,telegraaf.nl,Rusland sluit grens met China om coronavirus,https://www.telegraaf.nl/t/1377515937/
11,POLITICAL,47,telegraaf.nl,Duitser in Limburg was niet besmettelijk,https://www.telegraaf.nl/t/604065464?utm_source=twitter&utm_medium=social&utm_campaign=seeding-telegraaf
12,POLITICAL,47,telegraaf.nl,Patiënte in Beatrixziekenhuis Gorinchem was niet in risicogebied,https://www.telegraaf.nl/nieuws/1289436505/live-ziekenhuis-gorinchem-op-slot-om-coronavirus?utm_source=t.co&utm_medium=referral&utm_campaign=twitter
13,POLITICAL,45,rollingstone.com,Rolling Stone,https://rol.st/396qdge
14,POLITICAL,43,telegraaf.nl,Coronavirus neemt hap uit dekkingsgraad grote pensioenfondsen,https://www.telegraaf.nl/financieel/1206523854/coronavirus-neemt-hap-uit-dekkingsgraad-grote-pensioenfondsen/?utm_source=t.co
15,POLITICAL,43,telegraaf.nl,Eerste coronadode in Nederland,https://www.telegraaf.nl/nieuws/237923620/eerste-coronadode-in-nederland?utm_source=twitter&utm_medium=social&utm_campaign=seeding-telegraaf
16,POLITICAL,41,vox.com,"How canceled events and self-quarantines save lives, in one chart",https://www.vox.com/2020/3/10/21171481/coronavirus-us-cases-quarantine-cancellation
17,POLITICAL,40,telegraph.co.uk,"Coronavirus has mutated into more aggressive disease, say scientists ",https://www.telegraph.co.uk/science/2020/03/04/coronavirus-has-mutated-aggressive-disease-say-scientists/
18,POLITICAL,39,telegraaf.nl,Verwarring rond coronavirus in Nederland,https://www.telegraaf.nl/nieuws/1166884306/eerste-europese-gevallen-coronavirus?utm_source=t.co&utm_medium=referral&utm_campaign=twitter
19,POLITICAL,38,telegraaf.nl,Drentse school: check kind op coronavirus na vakantie,https://www.telegraaf.nl/nieuws/1511095281/drentse-school-check-kind-op-coronavirus-na-vakantie
20,POLITICAL,37,telegraaf.nl,Verwarring rond coronavirus in Nederland,https://www.telegraaf.nl/t/1166884306/
