rank,fact_type,count,domain,url
1,CLICKBAIT,38,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
2,POLITICAL,22,rollingstone.com,https://rol.st/396qdge
3,POLITICAL,13,rappler.com,http://rappler.com/world
4,CLICKBAIT,10,allkpop.com,https://www.allkpop.com/article/2020/03/kbs-building-quarantined-after-employee-a-tests-positive-for-the-coronavirus
5,POLITICAL,9,oglobo.globo.com,https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
6,FAKE/HOAX,6,gnews.org,https://gnews.org/89749/
7,CONSPIRACY/JUNKSCI,6,zerohedge.com,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
8,CLICKBAIT,5,allkpop.com,https://www.allkpop.com/article/2020/01/nct-dream-and-sf9-fans-demand-their-labels-take-action-to-keep-artists-out-of-china-due-to-the-coronavirus
9,CLICKBAIT,5,soompi.com,https://www.soompi.com/article/1385621wpp/staff-member-of-popular-singer-reportedly-tests-positive-for-novel-coronavirus
10,CLICKBAIT,5,allkpop.com,https://www.allkpop.com/article/2020/03/pledis-confirms-minhyun-tested-negative-for-coronavirus
11,CLICKBAIT,5,soompi.com,https://www.soompi.com/article/1385869wpp/pledis-entertainment-denies-rumors-that-nuests-minhyun-was-infected-with-coronavirus
12,FAKE/HOAX,4,dailymail.co.uk,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
13,FAKE/HOAX,4,n.news.naver.com,https://n.news.naver.com/entertain/now/article/410/0000664132
14,CLICKBAIT,4,mirror.co.uk,https://www.mirror.co.uk/sport/football/news/odion-ighalo-involved-man-utd-21488840
15,POLITICAL,3,cnn.it,https://cnn.it/2takacx
16,CONSPIRACY/JUNKSCI,3,zerohedge.com,https://www.zerohedge.com/political/56-million-chinese-lockdown-virus-spreads-australia-malaysia
17,POLITICAL,3,cnn.it,https://cnn.it/30uylfu
18,FAKE/HOAX,3,dailymail.co.uk,https://www.dailymail.co.uk/news/article-7939673/australian-scientists-develop-coronavirus-lab.html
19,POLITICAL,3,rappler.com,https://www.rappler.com/nation/186633-philippines-confirms-case-novel-coronavirus?utm_medium=social&utm_source=twitter#echobox=1580371766
20,CLICKBAIT,3,mirror.co.uk,https://www.mirror.co.uk/news/world-news/chinas-first-coronavirus-hospital-opens-21386164
