rank,fact_type,count,domain,title,url
1,CONSPIRACY/JUNKSCI,13,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
2,FAKE/HOAX,9,theblaze.com,Media claim Trump called coronavirus a 'hoax.' But video shows that's not what Trump said at all.,https://www.theblaze.com/news/media-claim-trump-called-coronavirus-a-hoax-but-video-shows-thats-not-at-all-what-he-said
3,FAKE/HOAX,8,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest?fbclid=iwar3piqce96nhzoohwwnppwu7j8y_zc_wqgtwlt2pyglgh3lcbd00cftzo-8
4,FAKE/HOAX,6,breitbart.com,Congressman: Pelosi Blocking Investigation into China Coronavirus Origins,https://www.breitbart.com/politics/2020/05/03/congressman-nancy-pelosi-blocking-investigation-chinese-coronavirus-origins/
5,FAKE/HOAX,5,albertonews.com,Médicos del Hospital Militar de Maracay evalúan a paciente para descartar contagio de coronavirus - AlbertoNews - Periodismo sin censura,https://albertonews.com/nacionales/ultima-hora-reportan-presunto-posible-caso-de-coronavirus-en-maracay-estado-aragua/
6,CONSPIRACY/JUNKSCI,4,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
7,FAKE/HOAX,4,breitbart.com,AP Confirms: Democrats Are Lying to the Public About Coronavirus Readiness,https://www.breitbart.com/health/2020/02/27/ap-confirms-democrats-are-lying-to-the-public-about-coronavirus/
8,FAKE/HOAX,4,breaking911.com,Driver Killed In Attack On WHO Vehicle Carrying COVID-19 Samples In Myanmar - Breaking911,https://breaking911.com/driver-killed-in-attack-on-who-vehicle-carrying-covid-19-samples-in-myanmar/
9,FAKE/HOAX,3,albertonews.com,,https://albertonews.com/internacionales/infectados-con-coronavirus-intentan-propagar-virus-escupiendo-a-doctores-y-enfermeras-en-china/
10,CONSPIRACY/JUNKSCI,3,zerohedge.com,Creator Of US BioWeapons Act Says Coronavirus Is Biological Warfare Weapon,https://www.zerohedge.com/health/creator-bioweapons-act-says-coronavirus-biological-warfare-weapon
11,FAKE/HOAX,3,albertonews.com,,https://albertonews.com/internacionales/ultima-hora-china-llama-a-dialogo-para-solventar-la-crisis-en-venezuela/
12,FAKE/HOAX,3,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
13,FAKE/HOAX,3,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
14,FAKE/HOAX,3,albertonews.com,,https://albertonews.com/uncategorized/el-vodka-es-inutil-para-protegerse-contra-el-coronavirus-advierte-un-fabricante/
15,CONSPIRACY/JUNKSCI,3,zerohedge.com,China Floods Europe With Defective COVID-19-Fighting Medical Equipment,https://www.zerohedge.com/geopolitical/china-floods-europe-defective-covid-19-fighting-medical-equipment
16,CONSPIRACY/JUNKSCI,3,truepundit.com,"EXCLUSIVE -- TOP FEDS: 'Not a Coronavirus that came from a Bat' -- ""Something Much Worse"" – True Pundit",https://truepundit.com/exclusive-top-feds-not-a-coronavirus-that-came-from-a-bat-something-much-worse/
17,FAKE/HOAX,3,theconservativetreehouse.com,Dr. Fauci Now Says Coronavirus Models Did Not Drive National Health Policy…,http://theconservativetreehouse.com/2020/04/11/dr-fauci-now-says-coronavirus-models-did-not-drive-national-health-policy/
18,FAKE/HOAX,3,albertonews.com,,https://albertonews.com/internacionales/el-salvador-presidente-bukele-bate-record-con-97-de-aprobacion-en-gestion-frente-a-la-pandemia-covid-19/
19,FAKE/HOAX,3,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
20,FAKE/HOAX,3,breitbart.com,Andrew Cuomo Blames Nursing Homes as Questions Mount over Coronavirus Directive,https://www.breitbart.com/health/2020/04/26/andrew-cuomo-blames-nursing-homes-as-questions-mount-over-coronavirus-directive/
