rank,fact_type,count,domain,title,url
1,POLITICAL,12,oglobo.globo.com,"Nem um beijo? Contra coronavírus, autoridades pedem às pessoas que evitem contatos afetuosos",https://oglobo.globo.com/sociedade/coronavirus/nem-um-beijo-contra-coronavirus-autoridades-pedem-as-pessoas-que-evitem-contatos-afetuosos-24273210?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
2,CLICKBAIT,7,mirror.co.uk,Coronavirus experts warn people to stop kissing as UK crisis continues to grow,https://www.mirror.co.uk/news/uk-news/coronavirus-experts-warn-people-stop-21629235
3,POLITICAL,6,rawstory.com,GOP blocking coronavirus bill — because it limits how much drugmakers can charge for a vaccine: report,https://www.rawstory.com/2020/03/gop-blocking-coronavirus-bill-because-it-limits-how-much-drugmakers-can-charge-for-a-vaccine-report/
4,POLITICAL,4,thedailybeast.com,QAnon-ers’ Magic Cure for Coronavirus: Just Drink Bleach!,https://www.thedailybeast.com/qanon-conspiracy-theorists-magic-cure-for-coronavirus-is-drinking-lethal-bleach?ref=author
5,POLITICAL,4,mediamatters.org,Rush Limbaugh: “The coronavirus is an effort to get Trump”,https://www.mediamatters.org/rush-limbaugh/rush-limbaugh-coronavirus-effort-get-trump
6,POLITICAL,4,msnbc.com,Is the White House starting to censor public-health officials?,https://www.msnbc.com/rachel-maddow-show/white-house-starting-censor-public-health-officials-n1144411
7,POLITICAL,4,oglobo.globo.com,Conferência sobre coronavírus é cancelada por causa do coronavírus,https://oglobo.globo.com/economia/conferencia-sobre-coronavirus-cancelada-por-causa-do-coronavirus-24299063?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
8,POLITICAL,4,oglobo.globo.com,Morre jovem com suspeita de coronavírus em hospital da Tijuca,https://oglobo.globo.com/rio/morre-jovem-com-suspeita-de-coronavirus-em-hospital-da-tijuca-24321545
9,CONSPIRACY/JUNKSCI,3,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
10,POLITICAL,3,theepochtimes.com,US Officials Preparing for 'Likely' Spread of New Coronavirus,https://www.theepochtimes.com/us-officials-preparing-for-likely-spread-of-new-coronavirus_3246277.html
11,POLITICAL,3,oglobo.globo.com,"Coronavírus: novidade no Brasil, implante de chips é aposta da Medicina",https://oglobo.globo.com/sociedade/coronavirus-novidade-no-brasil-implante-de-chips-aposta-da-medicina-24312618?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo
12,POLITICAL,3,thedailybeast.com,Sen. Kelly Loeffler Dumped Millions in Stock After Coronavirus Briefing,https://www.thedailybeast.com/sen-kelly-loeffler-dumped-millions-in-stock-after-coronavirus-briefing
13,POLITICAL,3,rollingstone.com,Rolling Stone,https://rol.st/396qdge
14,POLITICAL,2,cnn.com,The deadly new coronavirus is starting to spread in the US. Here's how to protect yourself,https://www.cnn.com/2020/01/22/health/coronavirus-us-precautions/index.html
15,POLITICAL,2,citizenfreepress.com,,https://www.citizenfreepress.com/breaking/10-cases-of-wuhan-virus-now-in-california/
16,FAKE/HOAX,2,newswars.com,Bill and Melinda Gates Foundation & Others Predicted Up To 65 Million Deaths Via Coronavirus – In Simulation Ran 3 Months Ago!,https://www.newswars.com/bill-and-melinda-gates-foundation-others-predicted-up-to-65-million-deaths-via-coronavirus-in-simulation-ran-3-months-ago/
17,FAKE/HOAX,2,thegatewaypundit.com,Senator Tom Cotton: Trump Should Consider China Travel Ban Over Coronavirus Outbreak,https://www.thegatewaypundit.com/2020/01/senator-tom-cotton-trump-should-consider-china-travel-ban-over-coronavirus-outbreak/
18,POLITICAL,2,thepostmillennial.com,WATCH: Chinese woman eats bat in midst of coronavirus outbreak,https://www.thepostmillennial.com/watch-chinese-woman-eats-bat-in-midst-of-coronavirus-outbrake/
19,POLITICAL,2,theepochtimes.com,Trump Administration Forms Coronavirus Task Force,https://www.theepochtimes.com/trump-administration-forms-coronavirus-task-force_3221590.html
20,CONSPIRACY/JUNKSCI,2,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
