rank,fact_type,count,domain,title,url
1,FAKE/HOAX,5,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/chinas-coronavirus-hospital-opens-today.html
2,CONSPIRACY/JUNKSCI,5,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
3,CONSPIRACY/JUNKSCI,4,dcclothesline.com,Coronavirus Nightmare: Chinese Hospitals Are Turning Away Hordes Of Sick People Because There Is No Room For Them - DC Clothesline,https://www.dcclothesline.com/2020/01/23/coronavirus-nightmare-chinese-hospitals-are-turning-away-hordes-of-sick-people-because-there-is-no-room-for-them/
4,FAKE/HOAX,2,dailystar.co.uk,,https://www.dailystar.co.uk/news/world-news/coronavirus-could-biological-attack-china-21642172
5,CONSPIRACY/JUNKSCI,2,peta.org,"New Coronavirus Linked to Animal Flesh, Sources Warn | PETA",http://peta.vg/2ran
6,FAKE/HOAX,1,express.co.uk,‘She’s a TIMEBOMB’ Chinese woman hides Coronavirus to enter France - and brags online,https://www.express.co.uk/news/world/1231898/coronavirus-latest-chinese-woman-france-sneaked-in-infected-corona-virus-wuhan-weibo
7,FAKE/HOAX,1,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
8,FAKE/HOAX,1,rt.com,Clucking hell! New outbreak of BIRD FLU sees thousands of chickens culled in coronavirus-stricken China,https://on.rt.com/aa9r
9,FAKE/HOAX,1,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
10,FAKE/HOAX,1,ibtimes.sg,,https://www.ibtimes.sg/a000apq?utm_source=social&utm_medium=twitter&utm_campaign=/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
11,FAKE/HOAX,1,politicususa.com,,https://www.politicususa.com/2020/03/04/republican-senator-slams-trump-for-contradicting-medical-experts-on-coronavirus.html?utm_source=rss&utm_medium=rss&utm_campaign=republican-senator-slams-trump-for-contradicting-medical-experts-on-coronavirus
12,CONSPIRACY/JUNKSCI,1,zerohedge.com,More Coronavirus Censorship: Social Media Companies Partner With WHO To Censor Info,https://www.zerohedge.com/political/more-coronavirus-censorship-social-media-companies-partner-who-censor-info
13,CONSPIRACY/JUNKSCI,1,zerohedge.com,"WHO Declares Covid-19 A Pandemic, Deeply Concerned At ""Alarming Level Of Inaction""",https://www.zerohedge.com/geopolitical/who-declares-covid-19-pandemic-questions-resolve-some-countries
14,CONSPIRACY/JUNKSCI,1,globalresearch.ca,,https://www.globalresearch.ca/covid-19-further-evidence-virus-originated-us/5706078/amp?__twitter_impression=true
15,FAKE/HOAX,1,breaking911.com,Bernie Sanders Threatens To Hold Up Coronavirus Stimulus Bill - Breaking911,https://breaking911.com/bernie-sanders-threatens-to-hold-up-coronavirus-stimulus-bill/
