rank,fact_type,count,domain,title,url
1,FAKE/HOAX,77,dailymail.co.uk,Symptoms of China's coronavirus: Fevers and coughs not the only signs,https://www.dailymail.co.uk/news/article-7925981/symptoms-chinas-coronavirus-fevers-coughs-not-signs.html
2,FAKE/HOAX,53,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
3,FAKE/HOAX,52,sputniknews.com,"UK Foreign Secretary Arrives in Gibraltar to Discuss Defense Issues, Brexit",https://sptnkne.ws/bn8c
4,FAKE/HOAX,45,worldnewsdailyreport.com,COVID-19: Chinese health authorities confirm patient zero 'had sex with bats',https://worldnewsdailyreport.com/covid-19-chinese-health-authorities-confirm-patient-zero-had-sex-with-bats/
5,FAKE/HOAX,41,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/chinas-coronavirus-hospital-opens-today.html
6,FAKE/HOAX,40,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
7,FAKE/HOAX,40,breaking911.com,"In Terrifying Video, NYC Nurse Claims COVID Patients Are 'Literally Being Murdered' - Breaking911",https://breaking911.com/in-terrifying-video-nyc-nurse-claims-covid-patients-are-literally-being-murdered/
8,FAKE/HOAX,38,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
9,CONSPIRACY/JUNKSCI,33,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
10,FAKE/HOAX,21,sputniknews.com,"US Mulls Loan to Ukraine, Warns Against Russian Intervention",https://sptnkne.ws/bj9j
11,FAKE/HOAX,20,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
12,FAKE/HOAX,19,dailymail.co.uk,US health experts hosted fictional coronavirus simulation 3 months ago,https://www.dailymail.co.uk/health/article-7925475/us-health-experts-hosted-fictional-coronavirus-simulation-three-months-ago.html
13,CONSPIRACY/JUNKSCI,18,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
14,CONSPIRACY/JUNKSCI,18,peta.org,"New Coronavirus Linked to Animal Flesh, Sources Warn | PETA",http://peta.vg/2ran
15,FAKE/HOAX,18,rt.com,Some good news! Number of people who’ve RECOVERED from Covid-19 passes quarter of a million,https://www.rt.com/news/485027-recovered-from-coronavirus-passes-250000/
16,FAKE/HOAX,18,express.co.uk,Protests BANNED: Gatherings of more than six people now ILLEGAL - London must act,https://www.express.co.uk/news/uk/1296320/uk-protests-banned-new-law-black-lives-matter-coronavirus
17,FAKE/HOAX,16,dailymail.co.uk,China quarantines BANK NOTES in bid to stop spread of coronavirus,https://www.dailymail.co.uk/news/article-8006897/china-quarantines-bank-notes-bid-stop-spread-coronavirus-death-toll-climbs-1-526.html
18,CONSPIRACY/JUNKSCI,14,off-guardian.org,8 MORE Experts Questioning the Coronavirus Panic,https://off-guardian.org/2020/04/17/8-more-experts-questioning-the-coronavirus-panic/
19,CONSPIRACY/JUNKSCI,14,humansarefree.com,"Bill Gates Admits: 700,000 People Will be Harmed or Killed by Coronavirus Vaccines",https://humansarefree.com/2020/05/bill-gates-admits-700000-people-will-be-harmed-or-killed-by-coronavirus-vaccines.html
20,FAKE/HOAX,13,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
