rank,fact_type,count,domain,title,url
1,FAKE/HOAX,109,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
2,CONSPIRACY/JUNKSCI,56,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
3,FAKE/HOAX,5,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
4,CONSPIRACY/JUNKSCI,4,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
5,FAKE/HOAX,4,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/chinas-coronavirus-hospital-opens-today.html
6,FAKE/HOAX,4,dailymail.co.uk,People think coronavirus is linked to Corona beer - it's not,https://www.dailymail.co.uk/health/article-7943549/google-searches-corona-beer-virus-spike-people-thinking-linked-deadly-coronavirus.html
7,FAKE/HOAX,4,ibtimes.sg,North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report,https://www.ibtimes.sg/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
8,CONSPIRACY/JUNKSCI,3,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
9,CONSPIRACY/JUNKSCI,3,cbn.com,"'The People of Israel Pray for China': Nearly 1,000 People Gathered at the Western Wall to Pray Against the Coronavirus",https://www1.cbn.com/cbnnews/israel/2020/february/israel-is-praying-for-china-nearly-1-000-people-gathered-at-western-wall-to-pray-against-the-coronavirus
10,FAKE/HOAX,3,dailymail.co.uk,Coronavirus conference is canceled due to... Coronavirus,https://www.dailymail.co.uk/news/article-8099673/coronavirus-conference-canceled-coronavirus.html
11,FAKE/HOAX,3,dailymail.co.uk,The Pope says he has asked God to stop the coronavirus epidemic,https://www.dailymail.co.uk/news/article-8125507/the-pope-says-asked-god-stop-coronavirus-epidemic.html
12,FAKE/HOAX,2,rt.com,City turned ghost town: Take a look inside sealed-off Wuhan amid coronavirus outbreak in China (VIDEO),https://on.rt.com/a9wi
13,FAKE/HOAX,2,rt.com,"First two cases of coronavirus confirmed in Russia, both Chinese citizens",https://on.rt.com/aa5v
14,CONSPIRACY/JUNKSCI,2,cbn.com,'This Situation Is so Critical': A Chinese Pastor's Message to Christians From Ground Zero of the Coronavirus,https://www1.cbn.com/cbnnews/cwn/2020/january/this-situation-is-so-critical-a-chinese-pastors-message-to-christians-from-ground-zero-of-the-coronavirus
15,FAKE/HOAX,2,ladbible.com,"Coronavirus Medic, 28, Drops Dead After Working 10 Days Straight",https://www.ladbible.com/news/news-coronavirus-medic-27-drops-dead-after-working-10-days-straight-20200205?c=1580928279835?source=twitter
16,FAKE/HOAX,2,express.co.uk,Coronavirus breakthrough: China mass producing wonderdrug after 'promising' results,https://www.express.co.uk/news/world/1241305/coronovirus-news-china-wuhan-drug-remdesivir-cure-ebola-gilead-spt
17,FAKE/HOAX,2,presstv.com,Bill Gates warns coronavirus may kill over 10 million people in Africa,https://www.presstv.com/detail/2020/02/17/618896/bill-gates-us-china-coronavirus-africa
18,FAKE/HOAX,2,waynedupree.com,[VIDEO] McCarthy Drops the 411 on Pelosi's Handling of the Coronavirus Bill,https://www.waynedupree.com/mccarthy-pelosi-cornavirus/
19,FAKE/HOAX,2,waynedupree.com,Opinion: Chelsea Clinton Get's Instantly Destroyed When She Tries to Lecture Trump on the Coronavirus,https://www.waynedupree.com/chelsea-clinton-coronavirus/
20,FAKE/HOAX,2,breitbart.com,Dr. Fauci: Coronavirus in U.S. Would Be 'Worse' Without Travel Bans,https://www.breitbart.com/politics/2020/03/11/dr-fauci-coronavirus-in-u-s-would-be-worse-without-trumps-travel-bans/
