rank,fact_type,count,domain,title,url
1,FAKE/HOAX,6501,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
2,FAKE/HOAX,5052,breitbart.com,Congressman: Pelosi Blocking Investigation into China Coronavirus Origins,https://www.breitbart.com/politics/2020/05/03/congressman-nancy-pelosi-blocking-investigation-chinese-coronavirus-origins/
3,FAKE/HOAX,3716,wnd.com,The COVID-19 scandal: Billionaire Bill Gates and WHO - WND,https://www.wnd.com/2020/04/covid-19-scandal-billionaire-bill-gates/
4,FAKE/HOAX,3545,dailymail.co.uk,Third Russian doctor plunges from coronavirus hospital window,https://www.dailymail.co.uk/news/article-8282033/third-russian-doctor-plunges-coronavirus-hospital-window.html
5,CONSPIRACY/JUNKSCI,2733,zerohedge.com,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon",https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon
6,FAKE/HOAX,2595,breitbart.com,Pollak: Democrats Pushed Impeachment While Coronavirus Spread,https://www.breitbart.com/politics/2020/03/13/pollak-democrats-pushed-impeachment-while-coronavirus-spread/
7,CONSPIRACY/JUNKSCI,2328,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
8,FAKE/HOAX,2285,dailymail.co.uk,U.S. gave $3.7million grant to lab at center coronavirus scandal,https://www.dailymail.co.uk/news/article-8211291/u-s-government-gave-3-7million-grant-wuhan-lab-experimented-coronavirus-source-bats.html
9,FAKE/HOAX,2122,breitbart.com,Italy: 96% of Coronavirus Fatalities Had Other Chronic Illnesses,https://www.breitbart.com/health/2020/05/27/italy-96-of-coronavirus-fatalities-had-other-chronic-illnesses/
10,FAKE/HOAX,1992,davidharrisjr.com,State Department Employee in Japan Ignored President Trump’s Orders and Allowed Americans with Coronavirus to Fly Back to the US,https://davidharrisjr.com/steven/state-department-employee-in-japan-ignored-president-trumps-orders-and-allowed-americans-with-coronavirus-to-fly-back-to-the-us/
11,FAKE/HOAX,1989,mcmnt.com,Vatican confirms Pope Francis and two aides test positive for Coronavirus - MCM,https://mcmnt.com/vatican-confirms-pope-francis-and-two-aides-test-positive-for-coronavirus/
12,FAKE/HOAX,1865,ibtimes.sg,,https://www.ibtimes.sg/a000apq?utm_source=social&utm_medium=twitter&utm_campaign=/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
13,FAKE/HOAX,1730,redstate.com,YouTube Deletes Video Of California Doctors Who Argued For Lifting COVID-19 Restrictions,https://www.redstate.com/jeffc/2020/04/28/youtube-takes-down-video-of-california-doctors-who-argued-for-lifting-covid-19-restrictions/?utm_source=rsafternoonbriefing
14,FAKE/HOAX,1628,thenationalpulse.com,,https://thenationalpulse.com/coronavirus/who-hid-transmission/
15,FAKE/HOAX,1614,breitbart.com,Twitter Forces Laura Ingraham to Delete Post on Chloroquine Helping Coronavirus Patients,https://www.breitbart.com/tech/2020/03/30/twitter-forces-laura-ingraham-to-remove-tweet-about-chinese-virus-treatment/
16,FAKE/HOAX,1609,theblaze.com,Horowitz: The CDC confirms remarkably low coronavirus death rate. Where is the media?,https://www.theblaze.com/op-ed/horowitz-the-cdc-confirms-remarkably-low-coronavirus-death-rate-where-is-the-media
17,FAKE/HOAX,1608,theblaze.com,Report: Pelosi attempted to sneak taxpayer-funded abortions into the coronavirus relief bill,https://www.theblaze.com/news/report-pelosi-attempted-to-sneak-taxpayer-funded-abortions-into-the-coronavirus-relief-bill
18,FAKE/HOAX,1538,breitbart.com,Andrew Cuomo Blames Nursing Homes as Questions Mount over Coronavirus Directive,https://www.breitbart.com/health/2020/04/26/andrew-cuomo-blames-nursing-homes-as-questions-mount-over-coronavirus-directive/
19,FAKE/HOAX,1523,breitbart.com,Minnesota Still Allows Nursing Homes to Admit COVID-19 Patients,https://www.breitbart.com/politics/2020/05/21/nursing-homes-residents-account-for-81-of-covid-19-deaths-in-minnesota-but-state-still-allows-facilities-to-admit-covid-19-positive-patients/
20,FAKE/HOAX,1364,davidharrisjr.com,Secret Service Notified After Dem Government Official Stands Behind Idea To Attack Trump Supporters With Coronavirus,https://davidharrisjr.com/carmine/secret-service-notified-after-democrat-government-official-stands-behind-idea-to-disgustingly-attack-president-donald-trumps-supporters-with-the-deadly-coronavirus/
