rank,fact_type,count,domain,title,url
1,FAKE/HOAX,44,dailystar.co.uk,,http://dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
2,FAKE/HOAX,32,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/chinas-coronavirus-hospital-opens-today.html
3,CONSPIRACY/JUNKSCI,24,zerohedge.com,North Korea's First Confirmed Coronavirus Patient Shot Dead,https://www.zerohedge.com/geopolitical/north-koreas-first-confirmed-coronavirus-patient-shot-dead
4,FAKE/HOAX,7,dailystar.co.uk,,https://www.dailystar.co.uk/news/latest-news/coronavirus-can-spread-through-farts-21852204
5,FAKE/HOAX,5,ibtimes.sg,,https://www.ibtimes.sg/a000apq?utm_source=social&utm_medium=twitter&utm_campaign=/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042
6,FAKE/HOAX,5,express.co.uk,Coronavirus: Campaigners cast light on role trafficking trade played in outbreak,https://www.express.co.uk/news/world/1280415/coronavirus-outbreak-south-africa-china-covid19-wuhan-spt
7,FAKE/HOAX,5,express.co.uk,Why SNP's Ian Blackford travelled 600-miles and self-isolated during UK lockdown,https://www.express.co.uk/news/uk/1288182/ian-blackford-coronavirus-lockdown-snp-news-dominic-cummings-resign
8,CONSPIRACY/JUNKSCI,4,zerohedge.com,Did China Steal Coronavirus From Canada And Weaponize It?,https://www.zerohedge.com/geopolitical/did-china-steal-coronavirus-canada-and-weaponize-it
9,FAKE/HOAX,4,breitbart.com,Hillary Clinton Criticizes Trump Campaign over Coronavirus Waiver,https://www.breitbart.com/politics/2020/06/13/hillary-clinton-criticizes-trump-campaign-coronavirus-waiver-shouldnt-holding-rallies/
10,FAKE/HOAX,3,dailymail.co.uk,China's first coronavirus hospital OPENS today,https://www.dailymail.co.uk/news/article-7939075/amp/chinas-coronavirus-hospital-opens-today.html?__twitter_impression=true
11,FAKE/HOAX,3,dailymail.co.uk,15-minute coronavirus test is being used in China - but NOT in the UK,https://www.dailymail.co.uk/news/article-8083585/15-minute-coronavirus-blood-test-used-china-italy-japan-not-uk.html
12,FAKE/HOAX,3,worldnewsdailyreport.com,"Mexico: Woman infected with COVID-19 gives birth to twins, names them Corona and Virus",https://worldnewsdailyreport.com/mexico-woman-infected-with-covid-19-gives-birth-to-twins-names-them-corona-and-virus/
13,FAKE/HOAX,3,dailymail.co.uk,Doctors worldwide say malaria drug is the best coronavirus treatment,https://www.dailymail.co.uk/health/article-8184997/doctors-worldwide-say-malaria-drug-best-coronavirus-treatment.html
14,FAKE/HOAX,3,dailystar.co.uk,,https://www.dailystar.co.uk/news/latest-news/ventilators-may-more-harm-good-21888442?utm_source=twitter.com&utm_medium=social&utm_campaign=sharebar
15,FAKE/HOAX,3,express.co.uk,China furious as leading German newspaper writes out £130BN bill for 'coronavirus damages',https://www.express.co.uk/news/world/1271028/angela-merkel-germany-china-coronavirus-blame-wuhan-xi-jinping-trump-latest
16,FAKE/HOAX,3,dailymail.co.uk,Programmer builds COVID-19 mask with LED lights that move like a mouth,https://www.dailymail.co.uk/sciencetech/article-8404041/amp/computer-programmer-builds-covid-19-face-mask-array-led-lights-like-mouth.html?__twitter_impression=true
17,FAKE/HOAX,2,breaking911.com,Suspected Case Of Novel Coronavirus Being Investigated In Texas; Patient Being Isolated In Home - Breaking911,https://breaking911.com/breaking-suspected-case-of-novel-coronavirus-being-investigated-in-texas-patient-being-isolated-in-home/
18,FAKE/HOAX,2,dailymail.co.uk,"China's top virus lab is in Wuhan, the center of the outbreak",https://www.dailymail.co.uk/health/article-7922379/chinas-lab-studying-sars-ebola-wuhan-outbreaks-center.html
19,FAKE/HOAX,2,dailymail.co.uk,Killer coronavirus could be spread through the EYES,https://www.dailymail.co.uk/health/article-7926243/killer-coronavirus-spread-eyes.html?ito=amp_whatsapp_share-top
20,FAKE/HOAX,2,express.co.uk,Coronavirus CURE? China says new treatment tested on nurses 'successful',https://www.express.co.uk/news/world/1233644/coronavirus-china-virus-vaccine-treatment-cure-symptoms
