iso,datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
ABW,2020-03-22,91,2,0,6,3818,0,7331,0,0,33,0,58,0.08873,5.4067,4.32813,5.41294,,,,,,,,,
AFG,2020-03-22,5135,72,40,428,776622,57377,16870892,0.0688,119,1885,24,3107,0.12128,5.42776,4.25905,5.50463,-0.04868,-0.05054,-0.05934,0.07676,-0.04287,40,1,1,
AGO,2020-03-22,3095,59,41,229,212037,259324,658660,0.55016,2,1312,5,1775,0.07669,5.37364,4.31549,5.44215,-0.01937,-0.06176,0.00452,0.01751,-0.0314,2,0,0,
AIA,2020-03-22,73,4,0,7,21351,0,25358,0,0,42,0,31,0.01085,5.31689,4.25581,5.35945,,,,,,,,,
ALB,2020-03-22,1826,44,22,147,248401,63075,1167122,0.2025,9,734,5,1077,-0.01295,5.39369,4.27063,5.47499,-0.0345,-0.03381,0.01086,0.05202,-0.03833,89,2,2,
ALD,2020-03-22,44,0,0,0,0,0,0,0,0,10,0,34,0.02531,5.39119,4.34315,5.35017,,,,,,,,,
AND,2020-03-22,592,29,9,51,922222,11913,549032,0.01275,24,209,1,356,0.10001,5.44843,4.2207,5.50568,-0.0493,-0.04981,-0.05934,0.08035,-0.05171,113,1,1,
ARE,2020-03-22,4947,132,62,288,284723,496035,16599961,0.63532,94,2012,23,2814,-0.10438,5.23981,4.30423,5.28007,-0.03085,-0.03473,-0.03194,0.06788,-0.04782,153,38,2,
ARG,2020-03-22,73316,1885,519,7664,61395381,48022053,124427582,0.43889,691,29192,177,43254,0.20082,5.38418,4.2721,5.4748,0.00616,-0.03699,0.02157,0.01434,0.00335,225,3,4,
ARM,2020-03-22,244,13,4,18,44540,1839,22562,0.03965,3,98,1,142,0.01428,5.44011,4.19636,5.53756,,,,,,194,2,0,
ASM,2020-03-22,254,19,13,9,36834,22520,47583,0.37942,2,114,0,138,-0.06914,5.36827,4.25548,5.36463,-0.04425,-0.06772,-0.02741,0.05034,-0.08333,,,,
ATA,2020-03-22,1204,50,17,74,79181,17288,71513,0.17921,2,511,2,689,0.01517,5.38402,4.28062,5.42711,-0.01465,-0.02621,-0.0403,0.06553,-0.02971,,,,
ATF,2020-03-22,20,0,2,1,0,648,700,1.0,0,12,0,8,0.07638,5.60369,4.44313,5.57832,,,,,,,,,
ATG,2020-03-22,268,16,1,27,54757,62439,69347,0.53277,7,97,6,158,-0.02195,5.43929,4.11333,5.50755,,,,,,1,0,0,
AUS,2020-03-22,44797,2482,583,3214,24888669,2244235,28096278,0.08271,1253,18117,723,24704,0.01375,5.44669,4.23999,5.49219,-0.03028,-0.0499,-0.01726,0.04489,-0.05739,1314,88,7,
AUT,2020-03-22,6045,219,80,506,509857,128039,3038948,0.20072,67,2635,18,3314,0.04678,5.40171,4.25795,5.46059,-0.04821,-0.05182,-0.04492,0.07041,-0.06175,3244,9,16,
AZE,2020-03-22,1020,35,22,56,62189,97164,129513,0.60974,2,448,3,567,-0.0918,5.32629,4.29949,5.38902,-0.04609,-0.04877,-0.05934,0.08709,-0.04186,65,10,1,
BDI,2020-03-22,484,15,4,29,9885,28522,1172977,0.74263,13,161,0,310,0.006,5.38397,4.22753,5.46914,-0.04765,-0.04913,-0.05934,0.05939,-0.0407,,,,
BEL,2020-03-22,12839,636,175,1289,6578377,801060,11275988,0.10855,235,5140,69,7395,0.01509,5.37621,4.27711,5.42263,-0.03171,-0.0515,-0.03295,0.05981,-0.03841,3401,263,75,
BEN,2020-03-22,900,26,6,95,54279,6098,182640,0.101,8,373,1,518,0.04361,5.40421,4.25186,5.4698,-0.05669,-0.0609,-0.05934,0.07041,-0.05956,2,0,0,
BFA,2020-03-22,1614,51,14,125,176599,25349,578340,0.12552,11,613,2,987,0.00844,5.37961,4.27326,5.44406,-0.02221,-0.04802,0.00452,0.03894,-0.06252,75,5,4,
BGD,2020-03-22,3811,102,52,437,163387,174094,3840633,0.51586,14,1408,7,2380,0.09026,5.47507,4.20516,5.5891,-0.04758,-0.04942,-0.05869,0.07632,-0.04222,27,3,2,
BGR,2020-03-22,1158,46,18,107,148494,49057,225748,0.24833,11,490,6,650,0.02983,5.41123,4.20843,5.49568,,,,,,187,3,3,
BHR,2020-03-22,823,16,5,67,83738,67616,858514,0.44674,21,286,3,513,0.06349,5.42073,4.19279,5.5004,,,,,,332,149,2,
BHS,2020-03-22,760,29,13,35,50403,33598,746970,0.39997,6,335,1,418,-0.00226,5.35261,4.26323,5.46517,-0.05369,-0.05317,-0.05934,0.08582,-0.05431,4,0,0,
BIH,2020-03-22,1010,20,10,68,44957,115581,478707,0.71996,16,429,5,560,-0.00374,5.34106,4.30415,5.41447,-0.04609,-0.04877,-0.05934,0.04736,-0.05146,126,2,1,
BLM,2020-03-22,107,4,2,6,5416,2242,918,0.29277,0,35,0,72,-0.07274,5.36894,4.25218,5.48706,,,,,,,,,
BLR,2020-03-22,412,15,2,25,18372,1289,51059,0.06556,4,162,0,245,-7e-05,5.37907,4.27263,5.46189,,,,,,76,15,0,
BLZ,2020-03-22,147,12,0,12,56234,0,22679,0,0,52,5,90,0.12918,5.40082,4.38375,5.45628,,,,,,,,,
BMU,2020-03-22,174,5,2,10,1248,551,29320,0.30628,0,62,0,112,-0.02561,5.49337,4.24391,5.63325,,,,,,,,,
BOL,2020-03-22,3851,88,49,569,148608,40742,10346121,0.21517,22,1751,5,2073,0.13976,5.41312,4.25059,5.52339,-0.03234,-0.04455,-0.02741,0.03956,-0.02361,24,0,0,
BRA,2020-03-22,96792,2154,953,10512,31090081,9028881,173809245,0.22505,751,39238,281,56514,0.02708,5.3891,4.30937,5.4538,-0.0239,-0.04732,-0.02392,0.05328,-0.02698,1593,2,25,
BRB,2020-03-22,690,6,7,40,6791,135962,132065,0.95243,1,297,2,390,0.07691,5.44865,4.22398,5.41074,,,,,,14,0,0,
BRN,2020-03-22,450,10,2,31,4193,1269,56632,0.23233,0,193,0,257,0.19764,5.47453,4.21986,5.5861,,,,,,88,2,0,
BTN,2020-03-22,115,1,1,10,2345,104,44578,0.04247,0,40,0,75,-0.06906,5.47571,4.24076,5.44933,,,,,,2,0,0,
BWA,2020-03-22,1371,52,17,66,101215,90376,183695,0.47171,6,460,2,903,0.0363,5.4427,4.24291,5.50846,,,,,,,,,
CAF,2020-03-22,2366,78,28,263,5412117,31110,5233907,0.00572,26,872,2,1466,0.05611,5.44328,4.26471,5.50419,-0.02914,0.00334,-0.03629,0.06969,-0.02636,3,0,0,
CAN,2020-03-22,95480,6143,1551,9099,79179071,4516476,105750798,0.05396,2337,38891,1099,53150,0.0337,5.46572,4.21456,5.5312,-0.03573,-0.04638,-0.03097,0.0592,-0.05296,1465,10,21,
CHE,2020-03-22,9678,383,135,1042,2002230,777015,36624503,0.27958,140,3931,59,5546,0.04177,5.40595,4.25922,5.4627,-0.00036,-0.04456,0.02109,0.01767,-0.01793,7245,131,98,
CHL,2020-03-22,51861,529,253,4067,2957100,765595,168657038,0.20566,417,18457,161,32826,0.17337,5.37103,4.27263,5.45397,-0.01174,-0.0499,0.00935,0.02074,-0.00797,632,8,1,
CHN,2020-03-22,6863,247,97,403,822818,244471,63582402,0.22906,145,2563,22,4132,0.01091,5.37282,4.25883,5.41342,-0.0227,-0.04938,-0.01377,0.04204,-0.03511,81397,72362,3265,
CIV,2020-03-22,1867,46,12,118,69986,74603,669927,0.51597,8,574,2,1283,0.0164,5.35878,4.31036,5.4451,-0.01084,-0.04832,0.00452,0.04027,-0.03063,14,1,0,
CLP,2020-03-22,,,,,,,,0,,,,,,,,,,,,,,,,,
CMR,2020-03-22,2817,47,24,246,194273,14265,823206,0.0684,25,1148,0,1644,0.04367,5.41066,4.24255,5.50017,-0.01634,-0.0286,-0.00387,0.04045,-0.03647,40,0,0,
CNM,2020-03-22,52,2,0,5,3497,0,28861,0,0,12,0,40,0.10556,5.35225,4.21946,5.54994,,,,,,,,,
COD,2020-03-22,3621,74,16,314,138360,30396,3500393,0.18012,20,1386,8,2205,0.08976,5.4433,4.25839,5.52567,,,,,,30,0,1,
COG,2020-03-22,518,12,2,40,45649,9667,169217,0.17476,17,184,0,311,0.06134,5.38877,4.23743,5.49898,,,,,,3,0,0,
COK,2020-03-22,34,1,3,0,222,1998,0,0.9,0,26,0,8,-0.00831,5.46167,4.38459,5.40772,,,,,,,,,
COL,2020-03-22,62060,779,483,4640,2295221,2057868,315412960,0.47274,708,23283,233,37836,0.14713,5.38318,4.27895,5.46461,-0.01413,-0.04007,-0.00514,0.03988,-0.02185,231,3,2,
COM,2020-03-22,2950,148,66,537,3687118,1297859,10645967,0.26035,140,1214,48,1546,0.06989,5.42575,4.27138,5.48548,-0.02044,-0.05062,-0.01946,0.03481,-0.04217,,,,
CPV,2020-03-22,98,8,2,12,4546,615,7379,0.11916,0,40,0,58,0.27108,5.32679,4.27224,5.42088,0.03327,-0.02087,0.06839,-0.054,0.00927,4,0,0,
CRI,2020-03-22,3650,92,47,622,165102,133458,18615612,0.44701,43,1459,9,2139,0.10814,5.31195,4.37486,5.34995,-0.05049,-0.05213,-0.05934,0.08363,-0.04446,134,2,2,
CUB,2020-03-22,7005,81,83,1189,1086928,240154,5549824,0.18096,82,2612,11,4294,0.0724,5.42655,4.26502,5.49258,0.03327,-0.04022,0.07002,0.00805,0.04801,35,0,1,
CUW,2020-03-22,1471,27,26,127,43286,28030,1318924,0.39304,1,572,2,896,0.14317,5.40892,4.30064,5.47678,-0.0255,-0.05549,0.00452,0.03561,-0.04706,,,,
CYM,2020-03-22,273,12,10,15,39143,3292,41109,0.07758,3,112,2,156,0.03984,5.33158,4.2732,5.4168,-0.04609,-0.04877,-0.05934,0.08709,-0.04186,,,,
CYN,2020-03-22,189,6,2,16,6427,2920,160520,0.3124,0,53,4,132,0.01589,5.50686,4.25339,5.56001,,,,,,,,,
CYP,2020-03-22,1225,46,27,117,202105,686596,751933,0.77258,7,450,10,758,-0.02019,5.40193,4.26248,5.43661,,,,,,95,3,1,
CZE,2020-03-22,1670,60,16,142,85364,12547,955936,0.12815,7,679,4,980,0.00463,5.40506,4.27123,5.46353,-0.05008,-0.05171,-0.05934,0.06798,-0.05379,1120,6,1,
DEU,2020-03-22,42874,1736,589,3714,25034808,7069085,29149824,0.22019,758,17754,291,24065,0.03611,5.41414,4.2676,5.47624,-0.01199,-0.03923,-0.00395,0.04247,-0.02165,24873,266,94,
DJI,2020-03-22,152,2,2,3,3909,3202,2434,0.45029,0,53,0,99,0.07947,5.53644,4.14861,5.80067,,,,,,1,0,0,
DMA,2020-03-22,199,3,2,13,213585,3860,63215,0.01775,2,80,0,117,0.09657,5.55688,4.24596,5.669,0.01172,-0.00069,0.06839,-0.01353,-0.00211,1,0,0,
DNK,2020-03-22,3213,119,52,206,297922,33395,245476,0.10079,22,1449,4,1738,-0.02539,5.38044,4.28189,5.4587,-0.0272,-0.03876,-0.02686,0.06547,-0.03483,1514,1,13,
