geohash,lat,long,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
qpvzz,-0.0,98.4,38.0,45.0,153.0,110.0,49.0,42.0,98.0,70.0,90.0
qpxck,-2.6,101.1,6.0,9.0,74.0,25.0,36.0,15.0,3.0,14.0,25.0
qpxfw,-2.4,101.2,11.0,11.0,46.0,24.0,24.0,24.0,1.0,5.0,26.0
qpxty,-1.8,100.8,19.0,42.0,64.0,37.0,49.0,25.0,24.0,20.0,46.0
qpxu1,-2.1,101.0,27.0,12.0,56.0,17.0,8.0,11.0,9.0,14.0,18.0
qpxx7,-1.5,100.7,1.0,1.0,1.0,,1.0,1.0,,,
qpxz7,-1.5,101.1,3.0,1.0,7.0,20.0,17.0,9.0,19.0,5.0,20.0
qpy24,-1.4,98.9,1.0,,15.0,40.0,200.0,104.0,118.0,29.0,26.0
qpyhc,-0.5,98.5,43.0,41.0,185.0,60.0,108.0,109.0,180.0,131.0,181.0
qpz3m,-1.2,100.4,1.0,,,1.0,1.0,,,,
qpz3w,-1.1,100.5,1.0,,1.0,2.0,,,,,
qpz67,-1.0,100.3,3.0,,1.0,13.0,14.0,8.0,7.0,5.0,75.0
qpz6e,-0.9,100.3,650.0,538.0,3412.0,4666.0,4602.0,2819.0,2272.0,3052.0,3530.0
qpz6g,-0.9,100.3,227.0,152.0,672.0,522.0,522.0,372.0,270.0,251.0,275.0
qpz6k,-1.0,100.4,36.0,16.0,80.0,132.0,86.0,55.0,34.0,30.0,38.0
qpz6q,-1.0,100.5,139.0,52.0,538.0,616.0,1296.0,1275.0,643.0,805.0,700.0
qpz6s,-0.9,100.4,40.0,14.0,136.0,244.0,247.0,142.0,96.0,109.0,79.0
qpz6t,-0.9,100.4,655.0,864.0,1611.0,828.0,1251.0,1429.0,711.0,578.0,671.0
qpz6u,-0.9,100.4,20.0,22.0,70.0,31.0,48.0,17.0,9.0,20.0,30.0
qpz6v,-0.9,100.4,2.0,8.0,14.0,8.0,9.0,6.0,1.0,7.0,20.0
qpz6w,-0.9,100.5,7.0,5.0,50.0,59.0,105.0,36.0,30.0,29.0,53.0
qpz6y,-0.9,100.5,3.0,2.0,32.0,50.0,38.0,24.0,9.0,29.0,14.0
qpz75,-0.9,100.3,6.0,4.0,64.0,83.0,92.0,32.0,26.0,22.0,40.0
qpz76,-0.8,100.3,1.0,,2.0,4.0,18.0,4.0,1.0,,
qpz77,-0.8,100.3,14.0,14.0,81.0,57.0,89.0,72.0,82.0,24.0,30.0
qpz79,-0.8,100.3,1.0,2.0,7.0,1.0,,5.0,4.0,2.0,7.0
qpz7b,-0.7,100.2,1.0,4.0,6.0,,,6.0,5.0,6.0,6.0
qpz7h,-0.9,100.4,2.0,,7.0,19.0,26.0,33.0,20.0,25.0,18.0
qpz7j,-0.9,100.4,2.0,2.0,3.0,20.0,49.0,62.0,34.0,8.0,10.0
qpz7n,-0.9,100.5,186.0,116.0,916.0,1443.0,1669.0,923.0,757.0,884.0,1200.0
qpz7s,-0.8,100.4,1.0,,17.0,52.0,44.0,26.0,8.0,4.0,8.0
qpz83,-1.3,100.6,1.0,2.0,4.0,12.0,1.0,2.0,3.0,3.0,2.0
qpz9n,-1.2,100.8,4.0,,19.0,3.0,5.0,1.0,3.0,3.0,
qpz9u,-1.1,100.7,26.0,23.0,203.0,425.0,707.0,428.0,294.0,472.0,642.0
qpzd1,-1.0,100.6,1.0,1.0,,,,,,,
qpzd8,-0.9,100.6,4.0,,4.0,,,1.0,2.0,,2.0
qpzdb,-0.9,100.6,1.0,,21.0,29.0,27.0,24.0,4.0,4.0,
qpze6,-0.8,100.7,34.0,19.0,123.0,40.0,36.0,30.0,25.0,17.0,26.0
qpzed,-0.8,100.7,16.0,6.0,33.0,6.0,7.0,13.0,24.0,4.0,3.0
qpzhq,-0.6,100.1,16.0,55.0,68.0,70.0,34.0,15.0,17.0,30.0,26.0
qpzhw,-0.6,100.1,1.0,,15.0,17.0,12.0,14.0,59.0,54.0,52.0
qpzhz,-0.5,100.2,2.0,2.0,4.0,6.0,5.0,9.0,7.0,9.0,3.0
qpzjh,-0.5,100.0,1.0,,3.0,2.0,,,,,1.0
qpzk1,-0.7,100.3,1.0,,,1.0,1.0,,,,
qpzk6,-0.6,100.3,3.0,,3.0,1.0,,,,,
qpzk9,-0.6,100.3,1.0,,,3.0,13.0,22.0,56.0,3.0,1.0
qpzkc,-0.5,100.3,32.0,17.0,145.0,190.0,154.0,154.0,352.0,157.0,301.0
qpzkg,-0.5,100.3,3.0,3.0,9.0,6.0,1.0,2.0,11.0,22.0,56.0
qpzmk,-0.5,100.4,75.0,38.0,172.0,249.0,602.0,652.0,361.0,216.0,340.0
qpzmm,-0.5,100.4,1.0,,4.0,17.0,28.0,21.0,18.0,55.0,104.0
qpzmn,-0.5,100.5,159.0,97.0,402.0,287.0,226.0,166.0,198.0,241.0,353.0
qpzms,-0.4,100.4,19.0,22.0,112.0,154.0,109.0,97.0,74.0,104.0,100.0
qpzmu,-0.4,100.4,2.0,2.0,25.0,41.0,38.0,21.0,21.0,19.0,44.0
qpzmx,-0.4,100.5,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0
qpzmy,-0.4,100.5,1.0,,1.0,15.0,9.0,1.0,3.0,3.0,4.0
qpzn5,-0.3,100.0,7.0,3.0,38.0,34.0,113.0,66.0,10.0,8.0,11.0
qpznh,-0.3,100.0,2.0,,3.0,1.0,13.0,3.0,3.0,3.0,5.0
qpznv,-0.2,100.1,2.0,1.0,11.0,8.0,10.0,8.0,1.0,6.0,2.0
qpznx,-0.2,100.2,32.0,26.0,108.0,137.0,109.0,50.0,31.0,41.0,115.0
qpzp9,-0.1,99.9,2.0,,18.0,6.0,21.0,6.0,5.0,1.0,2.0
qpzpz,-0.0,100.2,60.0,25.0,161.0,42.0,54.0,20.0,19.0,39.0,74.0
qpzq4,-0.3,100.3,5.0,1.0,1.0,1.0,,,,,
qpzq5,-0.3,100.3,19.0,28.0,96.0,75.0,125.0,73.0,59.0,76.0,80.0
qpzq7,-0.3,100.3,10.0,15.0,129.0,147.0,95.0,48.0,50.0,127.0,163.0
qpzqe,-0.2,100.3,2.0,12.0,29.0,28.0,3.0,4.0,6.0,3.0,34.0
qpzqh,-0.3,100.4,31.0,9.0,81.0,474.0,805.0,249.0,194.0,335.0,762.0
qpzqk,-0.3,100.4,115.0,107.0,740.0,926.0,896.0,435.0,297.0,357.0,897.0
qpzqx,-0.2,100.5,2.0,,,,,,,,
qpzr1,-0.2,100.3,1.0,,,,,,,,
qpzr8,-0.1,100.2,1.0,1.0,1.0,,,,1.0,2.0,8.0
qpzrc,-0.0,100.3,4.0,6.0,6.0,16.0,19.0,1.0,1.0,,
qpzs1,-0.7,100.6,2.0,1.0,2.0,1.0,,1.0,,,3.0
qpzs2,-0.6,100.6,4.0,,4.0,,3.0,1.0,1.0,,2.0
qpzs6,-0.6,100.7,1.0,,3.0,23.0,18.0,20.0,76.0,45.0,22.0
qpzsk,-0.6,100.7,10.0,9.0,77.0,129.0,203.0,152.0,97.0,107.0,246.0
qpzsw,-0.6,100.8,1.0,,6.0,17.0,3.0,3.0,1.0,6.0,10.0
qpzt2,-0.5,100.6,9.0,1.0,47.0,60.0,23.0,58.0,25.0,27.0,17.0
qpzt3,-0.5,100.6,4.0,8.0,11.0,29.0,6.0,10.0,8.0,2.0,3.0
qpzt6,-0.5,100.7,2.0,,,5.0,1.0,4.0,,2.0,4.0
qpzt9,-0.4,100.6,3.0,6.0,67.0,108.0,110.0,58.0,38.0,47.0,66.0
qpzus,-0.6,101.1,5.0,3.0,210.0,485.0,220.0,125.0,95.0,112.0,115.0
qpzw3,-0.3,100.6,40.0,19.0,68.0,28.0,15.0,16.0,16.0,12.0,7.0
qpzw9,-0.2,100.6,86.0,132.0,584.0,487.0,369.0,285.0,351.0,312.0,256.0
qpzwc,-0.2,100.6,9.0,5.0,33.0,39.0,33.0,14.0,4.0,11.0,21.0
qpzwd,-0.2,100.7,42.0,25.0,227.0,471.0,593.0,299.0,171.0,208.0,205.0
qpzwf,-0.2,100.7,8.0,5.0,15.0,26.0,20.0,16.0,13.0,12.0,15.0
qpzx4,-0.2,100.7,1.0,,10.0,3.0,5.0,3.0,,3.0,8.0
qpzx5,-0.2,100.7,1.0,,24.0,9.0,2.0,1.0,,1.0,2.0
qpzx6,-0.1,100.7,1.0,,2.0,,2.0,3.0,1.0,1.0,
qpzx7,-0.1,100.7,11.0,11.0,31.0,122.0,109.0,56.0,38.0,40.0,54.0
qpzy7,-0.3,101.1,4.0,6.0,22.0,5.0,3.0,,4.0,3.0,8.0
qqewj,-7.4,106.4,1.0,3.0,7.0,4.0,19.0,19.0,,,
qqewm,-7.3,106.4,4.0,2.0,11.0,11.0,14.0,7.0,15.0,19.0,28.0
qqewx,-7.3,106.5,1.0,,,,,,,,
qqey0,-7.4,106.5,5.0,11.0,31.0,27.0,39.0,43.0,38.0,73.0,98.0
qqey1,-7.4,106.6,32.0,25.0,197.0,155.0,134.0,103.0,74.0,81.0,141.0
qqeyd,-7.3,106.6,11.0,16.0,60.0,79.0,46.0,24.0,25.0,12.0,27.0
qqeyx,-7.3,106.9,3.0,21.0,36.0,,,,,,
qqez0,-7.2,106.5,3.0,1.0,10.0,4.0,8.0,9.0,11.0,34.0,45.0
qqezd,-7.1,106.6,1.0,,1.0,2.0,,5.0,,,
qqeze,-7.1,106.7,6.0,4.0,30.0,6.0,11.0,10.0,13.0,15.0,15.0
qqezn,-7.2,106.8,2.0,,2.0,4.0,1.0,1.0,,3.0,4.0
qqfxs,-5.7,105.0,3.0,,32.0,32.0,40.0,49.0,39.0,3.0,7.0
qqfz2,-5.7,105.1,1.0,,,,1.0,,,,
qqg1u,-6.7,105.7,8.0,5.0,9.0,2.0,1.0,4.0,3.0,7.0,9.0
qqg1x,-6.7,105.8,1.0,1.0,26.0,40.0,69.0,16.0,11.0,18.0,24.0
qqg3d,-6.7,105.9,5.0,3.0,31.0,17.0,32.0,28.0,32.0,23.0,36.0
qqg3e,-6.7,106.0,2.0,1.0,10.0,3.0,6.0,5.0,3.0,3.0,1.0
qqg3j,-6.8,106.1,4.0,,,2.0,2.0,,,,9.0
qqg3k,-6.8,106.0,160.0,264.0,1313.0,1152.0,1402.0,1379.0,1515.0,1142.0,1105.0
qqg3x,-6.7,106.1,11.0,16.0,63.0,19.0,10.0,10.0,1.0,,9.0
qqg4x,-6.6,105.8,1.0,,3.0,3.0,1.0,1.0,,4.0,2.0
qqg64,-6.7,105.9,2.0,3.0,25.0,10.0,5.0,3.0,6.0,8.0,3.0
qqg68,-6.6,105.8,4.0,8.0,3.0,2.0,10.0,,1.0,4.0,
qqg6b,-6.5,105.8,38.0,98.0,265.0,186.0,157.0,131.0,83.0,69.0,86.0
qqg6f,-6.5,105.9,6.0,,14.0,14.0,8.0,4.0,1.0,6.0,23.0
qqg6g,-6.5,106.0,3.0,,15.0,16.0,11.0,2.0,,1.0,2.0
qqg6h,-6.7,106.0,2.0,,3.0,5.0,1.0,,3.0,2.0,
qqg6n,-6.7,106.1,3.0,,2.0,,,,,,1.0
qqg73,-6.4,105.9,15.0,12.0,46.0,21.0,19.0,21.0,17.0,12.0,24.0
qqg75,-6.5,106.0,1.0,,,,,2.0,,,1.0
qqg76,-6.4,105.9,16.0,30.0,185.0,226.0,1302.0,4411.0,3233.0,2326.0,161.0
qqg78,-6.4,105.8,1.0,4.0,7.0,3.0,3.0,,3.0,8.0,13.0
qqg79,-6.4,105.9,71.0,72.0,591.0,773.0,433.0,207.0,207.0,465.0,797.0
qqg7b,-6.4,105.8,2.0,12.0,32.0,22.0,10.0,9.0,14.0,7.0,25.0
qqg7c,-6.4,105.9,2.0,1.0,18.0,13.0,8.0,4.0,6.0,7.0,8.0
