datetime,iso,local_languages,info_tweets,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-07-30,ABW,,49.000,0.000,3.000,1.000,4.000,0.000,0.000,0.000,3145.000,2228.000,1701.000,0.000,0.000,0.000,0.000,19.000,0.000,30.000,-0.211,5.033,5.136,4.315,,,-0.047,-0.011,0.067,0.415,,,119.000,0.000,3.000,0.000
2020-07-30,AFG,"fa,ps",945.000,18.000,32.000,13.000,105.000,0.000,0.000,3.000,34897.000,7525.000,1078663.000,0.000,0.000,134508.000,25.000,390.000,0.000,530.000,-0.027,5.412,5.370,4.332,-0.045,-0.008,-0.045,-0.006,0.075,0.177,,,36471.000,0.000,1271.000,0.000
2020-07-30,AGO,pt,1801.000,491.000,54.000,31.000,112.000,4.000,1.000,31.000,107799.000,67611.000,240722.000,18807.000,8007.000,66415.000,0.000,761.000,0.000,1040.000,0.006,5.426,5.388,4.311,-0.040,-0.015,-0.042,0.017,0.075,0.385,0.299,,1000.000,50.000,47.000,6.000
2020-07-30,AIA,,71.000,0.000,5.000,0.000,9.000,0.000,0.000,0.000,8820.000,0.000,8664.000,0.000,0.000,0.000,0.000,29.000,0.000,42.000,-0.204,5.397,5.315,4.318,-0.023,0.049,-0.043,-0.009,0.073,0.000,,,3.000,0.000,0.000,0.000
2020-07-30,ALB,sq,892.000,0.000,34.000,19.000,93.000,0.000,0.000,0.000,436154.000,97407.000,340281.000,0.000,0.000,0.000,11.000,409.000,4.000,468.000,-0.059,5.474,5.405,4.318,-0.035,-0.013,-0.038,0.002,0.071,0.183,,,5105.000,108.000,150.000,2.000
2020-07-30,ALD,,17.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,1722.000,0.000,376.000,0.000,0.000,0.000,0.000,7.000,0.000,10.000,-0.216,4.867,5.082,4.274,,,-0.051,,0.088,0.000,,,,,,
2020-07-30,AND,,149.000,0.000,12.000,3.000,19.000,0.000,0.000,0.000,240730.000,3456.000,466284.000,0.000,0.000,0.000,9.000,58.000,0.000,82.000,0.058,5.423,5.344,4.228,0.041,0.048,-0.041,0.033,0.070,0.014,,,918.000,11.000,52.000,0.000
2020-07-30,ARE,ar,2033.000,21.000,72.000,36.000,112.000,1.000,0.000,2.000,6301947.000,174467.000,2269217.000,3463.000,0.000,195.000,67.000,862.000,40.000,1064.000,0.163,5.265,5.132,4.249,-0.046,-0.020,-0.048,0.005,0.076,0.027,0.000,,59921.000,375.000,347.000,0.000
2020-07-30,ARG,es,42232.000,36245.000,955.000,266.000,5888.000,546.000,172.000,5198.000,59604266.000,25011256.000,234842412.000,56772153.000,23895510.000,205614099.000,678.000,16830.000,228.000,24496.000,0.161,5.486,5.425,4.314,-0.039,-0.019,-0.041,0.006,0.074,0.296,0.296,0.011,173342.000,5939.000,3200.000,118.000
2020-07-30,ARM,hy,230.000,13.000,13.000,5.000,29.000,0.000,0.000,6.000,33802.000,1806.000,107280.000,0.000,0.000,33224.000,7.000,101.000,1.000,121.000,-0.013,5.428,5.353,4.242,-0.046,-0.019,-0.049,-0.012,0.080,0.051,,,38196.000,259.000,728.000,5.000
2020-07-30,ASM,,252.000,0.000,23.000,7.000,14.000,0.000,0.000,0.000,36004.000,5699.000,14240.000,0.000,0.000,0.000,1.000,83.000,0.000,168.000,-0.158,5.342,5.336,4.287,-0.038,-0.024,-0.045,-0.004,0.075,0.137,,,,,,
2020-07-30,ATA,,604.000,0.000,29.000,9.000,43.000,0.000,0.000,0.000,134765.000,18638.000,80955.000,0.000,0.000,0.000,0.000,252.000,1.000,351.000,-0.080,5.415,5.382,4.295,-0.047,-0.015,-0.047,-0.007,0.075,0.121,,,,,,
2020-07-30,ATC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-30,ATF,,33.000,0.000,3.000,2.000,3.000,0.000,0.000,0.000,1083.000,722.000,1083.000,0.000,0.000,0.000,0.000,1.000,0.000,32.000,-0.014,5.274,5.421,4.379,-0.041,-0.049,-0.045,0.033,0.074,0.400,,,,,,
2020-07-30,ATG,,156.000,0.000,5.000,3.000,8.000,0.000,0.000,0.000,9364.000,139673.000,3859.000,0.000,0.000,0.000,2.000,51.000,0.000,103.000,-0.031,5.537,5.455,4.309,-0.037,0.013,-0.034,0.014,0.075,0.937,,,91.000,5.000,3.000,0.000
2020-07-30,AUS,en,56481.000,53182.000,4746.000,780.000,3802.000,4415.000,684.000,3298.000,104984381.000,3646566.000,28205273.000,103857339.000,2864182.000,27157475.000,1945.000,21928.000,984.000,31624.000,-0.079,5.395,5.357,4.221,-0.042,-0.022,-0.046,-0.005,0.077,0.034,0.027,0.004,15582.000,278.000,176.000,9.000
