datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,AFG,"fa,ps",165,20,6,139,2,12,9,15,8,7,1,11,0,0,9,0,0,0,0,0,28971,2214,12699,0,0,0,0,66,0,99,0.2390,5.4820,5.4080,4.0790,-0.0120,-0.0140,-0.0340,0.0300,0.0770,0.0710,,,0,0,0,0
2020-01-23,AFG,"fa,ps",370,53,13,304,1,42,26,37,8,25,4,38,0,1,21,4,0,0,0,1,127962,186494,132358,0,0,79334,2,128,3,237,0.0840,5.7900,5.5010,4.4740,-0.0520,-0.0160,-0.0400,0.0070,0.0820,0.5930,,,0,0,0,0
2020-01-24,AFG,"fa,ps",813,142,16,655,7,70,22,60,21,37,3,67,0,1,13,6,2,1,0,2,225516,7166,236018,12,0,1836,1,322,1,489,0.1070,5.9640,5.5800,4.3600,-0.0790,0.0090,-0.0270,-0.0150,0.0720,0.0310,0.0000,,0,0,0,0
2020-01-25,AFG,"fa,ps",1462,222,23,1217,30,84,15,71,20,48,0,84,0,2,7,6,0,0,0,4,72355,5052,1797563,0,0,4162,6,552,0,904,-0.1180,5.5010,5.3410,4.2970,-0.0140,-0.0300,-0.0320,-0.0030,0.0600,0.0650,,,0,0,0,0
2020-01-26,AFG,"fa,ps",1846,272,38,1536,27,99,24,146,25,110,1,98,0,0,12,11,1,2,1,9,222403,18687,2966040,21529,61,125553,16,789,0,1041,-0.0920,5.3930,5.2410,4.2750,-0.0110,-0.0460,-0.0400,0.0080,0.0650,0.0780,0.0030,,0,0,0,0
2020-01-27,AFG,"fa,ps",1017,142,31,844,8,91,16,83,27,53,1,90,0,0,10,2,4,1,0,4,96971,3390,917848,358,0,47630,8,397,0,612,-0.2180,5.1680,5.1590,4.3900,-0.0160,-0.0580,-0.0270,0.0270,0.0540,0.0340,0.0000,,0,0,0,0
2020-01-28,AFG,"fa,ps",876,205,30,641,14,52,30,73,35,34,0,52,1,1,25,3,0,0,1,2,34637,54717,137152,0,72,503,3,351,1,521,-0.0830,5.2300,5.2670,4.2070,-0.0480,-0.0470,-0.0210,0.0140,0.0510,0.6120,1.0000,,0,0,0,0
2020-01-29,AFG,"fa,ps",966,209,26,731,16,39,9,65,7,54,0,39,0,1,6,2,0,1,0,2,18492,31209,189905,100,0,95473,11,355,0,600,-0.0820,5.2020,5.1580,4.3810,-0.0730,-0.0640,-0.0400,-0.0130,0.0650,0.6280,0.0000,,0,0,0,0
2020-01-30,AFG,"fa,ps",1577,382,29,1166,22,55,27,161,45,53,2,53,0,4,21,1,1,2,1,2,73922,12348,168600,70,35,15932,10,662,0,905,-0.0270,5.2390,5.2310,4.2580,-0.0470,-0.0500,-0.0380,0.0170,0.0660,0.1430,0.3330,,0,0,0,0
2020-01-31,AFG,"fa,ps",1194,242,30,922,25,38,22,75,23,41,1,37,0,4,9,6,3,2,0,1,274441,95318,190950,24217,0,327,13,521,2,658,-0.1350,5.1190,5.2360,4.3490,-0.0520,-0.0460,-0.0380,-0.0000,0.0630,0.2580,0.0000,,0,0,0,0
