datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,AIA,,9,2,0,7,0,2,0,4,0,0,0,1711,0,17365,0,0,0,0,4,0,5,0.009,4.672,5.051,4.360,,,-0.017,0.033,0.051,0.000,,,,,,
2020-01-23,AIA,,11,4,0,7,0,1,1,4,0,0,0,78431,493,3435,0,0,0,1,4,0,6,-0.070,5.900,5.424,4.444,,,0.004,,0.099,0.006,,,,,,
2020-01-24,AIA,,22,3,0,19,0,3,0,1,0,0,0,82647,0,1450,0,0,0,1,6,0,15,0.096,6.055,5.674,4.519,,,-0.023,,0.077,0.000,,,,,,
2020-01-25,AIA,,28,3,0,25,0,1,2,3,0,0,0,303,30704,93853,0,0,0,1,10,0,17,-0.007,6.174,5.460,4.341,,,-0.038,-0.006,0.017,0.990,,,,,,
2020-01-26,AIA,,37,7,2,28,0,2,1,7,0,0,0,240,273,7111,0,0,0,0,22,0,15,0.131,5.810,5.624,4.086,,,-0.027,0.033,0.067,0.532,,,,,,
2020-01-27,AIA,,35,8,0,27,0,3,1,3,0,0,0,13260,1451,31040,0,0,0,0,16,0,19,0.010,5.420,5.320,4.324,,,-0.013,0.033,0.050,0.099,,,,,,
2020-01-28,AIA,,44,10,0,34,0,0,0,4,0,0,0,0,0,32151,0,0,0,0,28,0,16,-0.054,5.327,5.354,4.243,-0.041,-0.049,-0.001,0.022,0.047,,,,,,,
2020-01-29,AIA,,69,16,16,37,0,2,1,3,0,0,0,78785,78435,94494,0,0,0,4,22,0,43,0.162,5.355,5.319,4.499,-0.066,-0.049,-0.012,0.012,0.060,0.499,,,,,,
2020-01-30,AIA,,52,15,3,34,0,2,1,3,0,0,0,156871,1451,1371,0,0,0,2,19,2,29,-0.128,5.305,5.255,4.250,-0.040,,-0.059,-0.006,0.069,0.009,,,,,,
2020-01-31,AIA,,56,17,1,38,0,2,1,2,0,0,0,78532,12397,79887,0,0,0,5,13,3,35,-0.105,5.219,5.265,4.477,-0.039,-0.049,-0.047,-0.001,0.074,0.136,,,,,,
