datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,AND,,10,3,1,6,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,220794,0,220560,0,0,0,2,3,0,5,-0.3710,5.8280,5.2840,4.1060,,,,,0.0970,0.0000,,,,,,
2020-01-23,AND,,26,4,1,21,0,5,3,2,1,1,0,5,0,0,2,1,0,0,0,0,882318,446141,17998,0,0,0,8,9,0,9,0.0030,5.3960,5.3180,4.8240,,,-0.0590,,0.0930,0.3360,,,,,,
2020-01-24,AND,,63,15,1,47,0,2,2,15,5,10,0,2,0,0,2,0,0,0,0,0,221827,441364,706088,0,0,0,7,34,0,22,0.1630,6.0320,5.5890,4.3320,,,-0.0170,0.0330,0.0630,0.6660,,,,,,
2020-01-25,AND,,76,18,1,57,0,8,1,15,4,11,1,7,0,0,1,0,0,0,0,0,672050,14554,254173,0,0,0,7,29,1,39,-0.0890,5.3830,5.2490,4.2880,0.0000,-0.0490,-0.0520,,0.0740,0.0210,,,,,,
2020-01-26,AND,,66,20,1,45,0,3,4,11,2,5,0,3,0,0,3,1,0,0,0,0,221554,664907,14182,0,0,0,8,24,0,34,-0.1310,5.0370,4.9960,4.2870,,,-0.0540,0.0330,0.0690,0.7500,,,,,,
2020-01-27,AND,,48,12,1,35,0,6,2,6,0,6,0,6,0,0,2,0,0,0,0,0,451189,441091,19138,0,0,0,7,7,4,30,0.0160,5.3570,5.5280,4.4930,-0.0860,-0.0620,-0.0600,-0.0410,0.0790,0.4940,,,,,,
2020-01-28,AND,,71,16,1,54,0,6,6,9,5,3,0,6,0,0,6,0,0,0,0,0,667637,668035,453015,0,0,0,1,26,12,32,0.1490,5.1360,5.3070,4.3390,,0.0480,-0.0150,-0.0070,0.0510,0.5000,,,,,,
2020-01-29,AND,,50,12,1,37,0,3,0,2,1,1,0,3,0,0,0,0,0,0,0,0,220693,0,377,0,0,0,0,20,2,28,-0.0980,5.1760,5.0620,3.8990,-0.0410,-0.0490,-0.0110,0.0200,0.0460,0.0000,,,,,,
2020-01-30,AND,,75,22,1,52,0,7,3,10,5,4,0,7,0,0,1,2,0,0,0,0,883551,222119,1118818,0,0,0,13,23,0,39,-0.0690,5.1720,5.2310,4.4050,-0.0870,-0.0740,-0.0370,-0.0370,0.0790,0.2010,,,,,,
2020-01-31,AND,,79,18,4,57,0,3,3,10,7,3,2,1,0,0,3,0,0,0,0,0,221969,221109,29962,0,0,0,4,35,0,40,-0.0160,4.9770,5.2700,4.2350,-0.0490,-0.0540,-0.0430,0.0330,0.0630,0.4990,,,,,,
2020-02-01,AND,,49,12,5,32,0,1,0,5,3,2,0,1,0,0,0,0,0,0,0,0,220506,0,22424,0,0,0,3,21,1,24,0.0060,5.1820,5.3270,4.3740,,-0.0170,-0.0590,-0.0470,0.0840,0.0000,,,,,,
2020-02-02,AND,,40,13,1,26,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5802,0,0,0,3,16,2,19,-0.0680,5.0170,5.2080,4.4780,,,-0.0370,0.0330,0.0580,,,,,,,
2020-02-03,AND,,49,8,1,40,0,2,3,6,3,3,0,2,0,0,3,0,0,0,0,0,220750,661011,7277,0,0,0,8,17,0,24,-0.0840,4.8920,5.0770,4.5670,-0.0580,,-0.0270,0.0330,0.0890,0.7500,,,,,,
2020-02-04,AND,,79,8,0,71,0,4,2,7,2,5,0,4,0,0,2,0,0,0,0,0,442571,440546,229505,0,0,0,9,10,0,60,-0.0240,5.1420,5.1110,4.3190,,,-0.0590,,0.0800,0.4990,,,,,,
2020-02-05,AND,,23,8,0,15,0,2,1,3,1,2,0,2,0,0,1,0,0,0,0,0,223316,15,5851,0,0,0,2,12,0,9,-0.1250,4.3900,4.8660,4.5090,,,-0.0590,,0.1000,0.0000,,,,,,
2020-02-06,AND,,33,8,1,24,0,0,2,3,2,1,0,0,0,0,1,0,1,0,0,0,0,234740,11301,0,0,0,2,16,1,14,-0.0660,5.2520,5.1610,4.4790,,,-0.0590,,0.0830,1.0000,,,,,,
