datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,15,3,2,1,20326,10802,3699,0.34702,0,5,0,10,0.09714,5.39464,4.15269,5.3228,,,,,,,,,
2020-01-23,26,6,0,4,2290,0,4034,0,0,14,0,12,0.05814,5.3713,4.42267,5.36758,,,,,,,,,
2020-01-24,82,8,4,8,8018,2516,4507,0.23885,0,38,0,44,-0.01297,5.19272,4.32067,5.13889,,,,,,,,,
2020-01-25,94,7,4,4,10831,6313,2674,0.36823,0,48,0,46,-0.073,5.18665,4.39065,5.23469,-0.03857,-0.05549,0.00452,0.08909,-0.04589,,,,
2020-01-26,101,10,10,13,9782,25381,14089,0.72181,0,32,0,69,-0.24284,5.06109,4.34114,5.05424,,,,,,,,,
2020-01-27,69,12,4,9,18939,5612,6474,0.22859,0,14,0,55,-0.31188,5.22116,4.30977,5.26217,-0.00641,-0.04895,-0.00969,0.06222,-0.04243,,,,
2020-01-28,83,13,3,9,30444,12720,19874,0.29469,0,24,0,59,-0.28348,5.21611,4.27107,5.15915,-0.0525,-0.05029,-0.05934,0.08347,-0.05794,,,,
2020-01-29,103,6,5,11,8072,2139,15761,0.20948,2,33,0,68,0.02878,5.32993,4.34238,5.34521,-0.0525,-0.05085,-0.05934,0.08999,-0.06156,,,,
2020-01-30,150,9,6,9,22293,25518,39927,0.53373,2,82,0,66,-0.14665,5.24177,4.20605,5.27863,-0.03726,-0.05213,-0.03805,0.04766,-0.04409,,,,
2020-01-31,124,4,1,13,15051,10768,42184,0.41706,0,60,4,60,-0.11674,5.29265,4.35509,5.14641,,,,,,,,,
2020-02-01,93,4,3,5,1727,3474,14474,0.66795,0,62,0,31,-0.18286,5.07911,4.33161,5.04989,-0.06893,-0.07372,-0.05934,0.08347,-0.08734,,,,
2020-02-02,74,6,1,3,21730,1128,3994,0.04935,0,45,0,29,-0.11085,5.37908,4.25706,5.39819,,,,,,,,,
2020-02-03,51,3,2,5,2382,1365,8248,0.36429,0,34,0,17,-0.23554,5.33717,4.43979,5.44028,,,,,,,,,
2020-02-04,51,3,0,2,592,0,13715,0,0,20,0,31,-0.25523,5.11409,4.24501,5.12396,-0.05489,-0.05549,-0.05934,0.08699,-0.04706,,,,
