datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,ATA,55,1,1,5,655,178,2368,0,26,0,29,0.133,5.537,5.346,4.145,,,-0.052,,0.085,0.214,,,,
2020-01-23,ATA,195,11,7,16,10548,6615,6297,0,109,0,86,-0.104,5.431,5.288,4.487,-0.077,-0.062,-0.039,0.014,0.069,0.385,,,,
2020-01-24,ATA,375,27,17,22,29011,9503,7689,0,161,0,214,0.012,5.607,5.402,4.366,-0.032,-0.001,-0.034,-0.002,0.068,0.247,,,,
2020-01-25,ATA,585,44,18,29,24329,18711,19804,0,215,0,370,-0.143,5.366,5.273,4.295,-0.056,-0.023,-0.039,-0.006,0.068,0.435,,,,
2020-01-26,ATA,467,26,11,41,22822,22730,93988,0,153,0,314,-0.136,5.242,5.215,4.294,-0.019,-0.043,-0.044,-0.004,0.070,0.499,,,,
2020-01-27,ATA,348,31,6,39,32831,1320,28764,0,134,0,214,-0.216,5.181,5.216,4.407,-0.045,-0.054,-0.033,0.010,0.057,0.039,,,,
2020-01-28,ATA,378,29,23,39,34723,42535,55790,0,140,0,238,-0.092,5.365,5.335,4.293,-0.031,-0.040,-0.028,-0.003,0.061,0.551,,,,
2020-01-29,ATA,365,16,10,14,18670,21704,13800,1,127,0,237,-0.075,5.253,5.196,4.349,-0.071,-0.011,-0.029,0.002,0.059,0.538,,,,
2020-01-30,ATA,501,24,10,40,30838,40278,35980,1,185,0,315,-0.071,5.254,5.283,4.286,-0.057,-0.037,-0.038,0.015,0.066,0.566,,,,
2020-01-31,ATA,534,16,22,27,11691,18977,41467,0,235,0,299,-0.147,5.101,5.200,4.312,-0.040,-0.040,-0.037,-0.002,0.067,0.619,,,,
2020-02-01,ATA,324,18,19,17,16307,9077,17168,0,139,0,185,-0.175,5.166,5.247,4.342,-0.040,-0.046,-0.044,-0.020,0.073,0.358,,,,
2020-02-02,ATA,328,16,7,21,15073,16001,18886,0,118,0,210,-0.108,5.200,5.184,4.323,-0.010,0.011,-0.041,0.003,0.074,0.515,,,,
2020-02-03,ATA,176,6,5,14,3982,3682,14697,0,55,0,121,-0.177,5.245,5.252,4.363,-0.054,-0.057,-0.048,-0.041,0.075,0.480,,,,
2020-02-04,ATA,166,6,4,13,8652,1011,13856,0,62,0,104,-0.107,5.245,5.166,4.296,-0.012,-0.022,-0.044,0.012,0.075,0.105,,,,
2020-02-05,ATA,149,12,6,12,7254,4736,22959,0,71,0,78,0.041,5.470,5.384,4.152,-0.039,-0.063,-0.037,0.014,0.068,0.395,,,,
2020-02-06,ATA,188,13,6,17,20499,12038,17377,0,85,0,103,-0.301,5.173,5.099,4.488,-0.050,-0.053,-0.039,0.005,0.071,0.370,,,,
2020-02-07,ATA,198,28,4,21,23346,13226,21704,0,81,0,117,-0.068,5.177,5.176,4.324,-0.043,-0.052,-0.042,-0.002,0.073,0.362,,,,
2020-02-08,ATA,230,34,2,33,62127,475,49007,1,111,0,118,-0.160,5.061,5.103,4.350,-0.038,-0.036,-0.040,0.002,0.076,0.008,,,,
2020-02-09,ATA,244,17,4,35,147170,10422,35895,1,88,0,155,-0.155,5.110,5.167,4.308,-0.043,-0.049,-0.047,-0.028,0.083,0.066,,,,
2020-02-10,ATA,175,14,2,23,13155,3471,28238,0,75,0,100,-0.048,5.299,5.259,4.259,-0.058,-0.024,-0.037,-0.006,0.070,0.209,,,,
2020-02-11,ATA,174,18,5,7,63005,11758,2821,0,44,0,130,-0.032,5.123,5.178,4.319,0.001,-0.040,-0.035,0.019,0.066,0.157,,,,
2020-02-12,ATA,134,7,6,11,3099,5968,6114,0,40,0,94,-0.046,5.333,5.231,4.389,-0.045,-0.071,-0.022,0.016,0.059,0.658,,,,
2020-02-13,ATA,165,20,5,11,35003,16569,18943,1,68,0,96,-0.185,5.236,5.265,4.341,-0.049,-0.050,-0.042,-0.010,0.063,0.321,,,,
