datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,AUS,en,4110,969,217,2924,3645,706,154,918,318,518,62,644,4,2,104,31,13,644,140,854,435,113,19,3,15124614,735077,24836407,15025785,706179,24732462,270,1624,120,2096,-0.1112,5.1768,5.1724,4.3062,-0.0428,-0.0333,-0.0468,0.0003,0.0802,0.0463,0.0449,0.2062,0.1364,0.2035,0.0084,0,0,0,0
2020-01-23,AUS,en,7198,1638,262,5298,6129,1347,350,1286,397,767,127,1220,3,16,182,121,28,1194,325,1152,911,238,30,5,23956005,1153093,28350113,23775304,1096740,27921305,293,2848,150,3907,-0.1109,5.3336,5.2331,4.3748,-0.0461,-0.0410,-0.0439,-0.0005,0.0772,0.0459,0.0441,0.2071,0.1429,0.2052,-0.0038,0,0,0,0
2020-01-24,AUS,en,11903,2670,447,8786,9525,1633,567,1928,692,1096,120,1513,1,26,270,188,82,1406,511,1731,1116,400,37,10,18535564,1526256,30880105,18098815,1448584,30457820,271,4502,179,6951,-0.0271,5.4486,5.3111,4.3611,-0.0554,-0.0167,-0.0382,-0.0037,0.0746,0.0761,0.0741,0.2639,0.2128,0.2623,0.0004,0,0,0,0
2020-01-25,AUS,en,23323,4916,976,17431,19003,2957,756,3141,944,1939,145,2812,0,59,362,244,91,2541,686,2733,2059,582,95,21,20895267,2691278,39571399,20092480,2515008,38338673,524,9262,348,13189,-0.1272,5.2855,5.2645,4.2651,-0.0459,-0.0270,-0.0377,0.0072,0.0708,0.1141,0.1112,0.2204,0.1810,0.2187,,1,1,0,0
2020-01-26,AUS,en,25413,4306,1059,20048,22343,3423,784,3031,697,1854,99,3324,0,44,392,168,180,3168,705,2651,2671,561,83,23,24833351,2540859,32061423,24290385,2442149,31403081,410,10331,190,14482,-0.1745,5.2414,5.2213,4.3224,-0.0363,-0.0344,-0.0457,0.0048,0.0730,0.0928,0.0914,0.1736,0.2170,0.1750,,4,3,0,0
2020-01-27,AUS,en,23654,4684,1081,17889,21318,3952,674,3345,916,1987,161,3791,3,7,402,133,129,3741,621,3022,2994,499,111,35,39842084,2410924,51068289,39141031,2289643,50282201,542,9311,357,13444,-0.1631,5.2147,5.2433,4.3258,-0.0440,-0.0503,-0.0426,0.0053,0.0696,0.0571,0.0553,0.1429,0.2397,0.1467,,4,0,0,0
2020-01-28,AUS,en,22866,5975,1257,15634,20336,3246,801,3815,1144,2275,186,3060,41,22,494,131,113,3025,719,3481,2076,565,109,37,42634071,2546890,60899781,42073411,2369366,60279953,887,8889,410,12680,-0.0656,5.3281,5.3175,4.2637,-0.0443,-0.0381,-0.0411,0.0009,0.0714,0.0564,0.0533,0.2139,0.2534,0.2160,0.0043,4,0,0,0
2020-01-29,AUS,en,25472,6540,1281,17651,22479,1899,683,1962,534,1184,55,1844,47,17,467,51,101,1633,618,1641,1087,444,62,18,36183660,2203342,23549231,35341036,2030755,22433066,1101,10143,466,13762,-0.1253,5.2473,5.2139,4.2964,-0.0171,-0.0048,-0.0433,0.0028,0.0737,0.0574,0.0543,0.2900,0.2250,0.2868,0.0068,4,0,0,0
2020-01-30,AUS,en,32429,7930,1407,23092,28530,2938,774,2339,633,1187,69,2869,273,41,330,75,55,2669,681,1919,1787,565,75,17,46061452,2284424,19898981,45529596,2153466,19142165,1143,12946,500,17840,-0.1379,5.2389,5.2316,4.2602,-0.0269,-0.0190,-0.0458,0.0040,0.0737,0.0473,0.0452,0.2402,0.1848,0.2381,0.0000,6,2,0,0
2020-01-31,AUS,en,28790,6199,1333,21258,25537,2126,688,1733,525,929,97,2029,148,45,271,108,116,1896,591,1472,1254,470,71,32,24975672,2619295,13012940,24425836,2189422,12565931,705,11668,306,16111,-0.1881,5.1694,5.2218,4.2709,-0.0422,-0.0412,-0.0444,-0.0041,0.0731,0.0949,0.0823,0.2726,0.3107,0.2748,-0.0010,7,1,0,0
2020-02-01,AUS,en,22053,5092,1345,15616,19820,1547,472,1700,549,923,57,1490,18,25,140,100,189,1371,366,1452,861,262,65,52,16872906,1619387,18778656,16417900,1496341,18298877,707,8682,327,12337,-0.1784,5.1737,5.2544,4.3161,-0.0473,-0.0438,-0.0455,-0.0028,0.0752,0.0876,0.0835,0.2333,0.4444,0.2532,,9,2,0,0
2020-02-02,AUS,en,16997,3954,895,12148,14989,1218,246,1332,342,694,36,1182,6,25,101,67,47,1091,205,1131,642,149,47,8,23296092,844417,13706232,23064105,698419,13443795,551,6703,208,9535,-0.1230,5.2641,5.2698,4.3153,-0.0251,-0.0202,-0.0457,0.0115,0.0756,0.0350,0.0294,0.1884,0.1455,0.1856,,11,2,0,0
2020-02-03,AUS,en,13409,3905,798,8706,12040,1291,241,1289,370,675,52,1239,4,15,139,43,40,1138,209,1126,664,149,41,11,31924957,924862,17439441,31305134,891382,17247715,814,5075,263,7257,-0.1743,5.1875,5.2069,4.3186,-0.0253,-0.0131,-0.0482,0.0051,0.0780,0.0282,0.0277,0.1833,0.2115,0.1850,-0.0110,11,0,0,0
2020-02-04,AUS,en,13063,3986,759,8318,11688,1395,266,1277,365,679,65,1330,3,4,158,43,58,1254,225,1117,717,131,35,9,27532638,971929,15919444,27100559,897887,15584375,807,4969,272,7015,-0.1966,5.1943,5.2037,4.3254,-0.0314,-0.0256,-0.0452,0.0071,0.0764,0.0341,0.0321,0.1545,0.2045,0.1570,0.0026,11,0,0,0
2020-02-05,AUS,en,12587,3736,710,8141,11298,1315,201,1147,331,671,43,1272,0,7,105,38,51,1204,166,976,679,92,48,19,34313763,613484,17463149,34137361,569821,17016977,822,4795,258,6712,-0.1632,5.2589,5.2569,4.3091,-0.0331,-0.0151,-0.0464,-0.0023,0.0756,0.0176,0.0164,0.1193,0.2836,0.1325,0.0000,12,1,0,0
2020-02-06,AUS,en,13223,3920,685,8618,11938,1526,246,1211,342,708,34,1492,3,3,151,42,47,1404,196,1080,751,144,27,8,29252953,867148,13540065,29010881,770368,13331688,697,5080,238,7208,-0.2067,5.1450,5.1691,4.3708,-0.0371,-0.0393,-0.0463,-0.0019,0.0758,0.0288,0.0259,0.1609,0.2286,0.1634,-0.0005,13,1,0,0
2020-02-07,AUS,en,14207,3633,670,9904,12785,1701,216,1170,306,710,34,1667,2,5,123,31,55,1571,187,1008,1081,115,26,8,22261263,887547,11657209,21676752,845525,10841533,587,5624,223,7773,-0.1764,5.2116,5.2006,4.4030,-0.0241,-0.0256,-0.0494,0.0004,0.0775,0.0383,0.0375,0.0962,0.2353,0.1000,-0.0030,14,1,0,0
2020-02-08,AUS,en,13792,3132,716,9944,12445,1559,278,1295,400,708,44,1515,4,8,152,43,71,1419,242,1089,1067,165,49,12,9510523,1000361,7016896,9259479,786840,6655557,389,5387,153,7863,-0.1741,5.2183,5.2364,4.3124,-0.0431,-0.0286,-0.0457,0.0027,0.0756,0.0952,0.0783,0.1339,0.1967,0.1369,,14,0,0,0
2020-02-09,AUS,en,10792,2502,670,7620,9540,1065,212,1223,334,756,35,1030,1,34,86,51,40,958,187,948,679,111,29,15,6523799,931112,8842268,6359069,818465,8394089,265,4233,84,6210,-0.1558,5.1963,5.2009,4.2879,-0.0330,-0.0260,-0.0453,-0.0021,0.0755,0.1249,0.1140,0.1405,0.3409,0.1511,,14,0,0,0
2020-02-10,AUS,en,11578,3035,618,7925,10540,1166,251,1249,355,715,36,1130,1,9,159,40,42,1042,219,999,657,132,32,12,24418355,886487,13294523,23243158,729272,12699364,478,4495,158,6447,-0.0900,5.3041,5.2559,4.2747,-0.0383,-0.0250,-0.0430,0.0069,0.0742,0.0350,0.0304,0.1673,0.2727,0.1729,-0.0010,14,0,0,0
2020-02-11,AUS,en,12044,3364,644,8036,10953,1180,221,1026,271,577,32,1148,2,6,143,31,39,1058,170,895,571,107,32,10,16560507,667201,14999791,16241475,605192,14804476,597,4587,252,6608,-0.1401,5.2148,5.2285,4.2866,-0.0409,-0.0339,-0.0449,0.0063,0.0748,0.0387,0.0359,0.1578,0.2381,0.1625,0.0063,14,0,0,0
2020-02-12,AUS,en,10362,3134,554,6674,9419,1073,204,1246,578,505,26,1047,0,8,126,34,36,981,182,1113,521,90,22,5,26308927,802233,10976421,26071860,781038,10653138,534,4228,260,5340,-0.1218,5.2965,5.2761,4.3218,-0.0403,-0.0355,-0.0448,-0.0001,0.0759,0.0296,0.0291,0.1473,0.1852,0.1489,0.0058,14,0,0,0
2020-02-13,AUS,en,11365,3504,613,7248,10413,1339,277,1127,341,678,23,1316,0,32,157,48,40,1207,254,992,705,158,30,5,29250941,982073,14431803,28690108,897490,14095085,652,4363,245,6105,-0.1462,5.3696,5.3227,4.3133,-0.0400,-0.0306,-0.0442,0.0005,0.0742,0.0325,0.0303,0.1831,0.1429,0.1815,0.0000,14,0,0,0
