datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,AUT,de,527,118,14,395,79,50,25,129,41,80,3,47,3,0,22,0,0,6,5,42,156990,94488,1080436,7060,4570,689776,19,253,2,253,0.0900,5.3950,5.2910,4.1650,-0.0280,-0.0490,-0.0500,-0.0140,0.0820,0.3760,0.3930,-0.0010,0,0,0,0
2020-01-23,AUT,de,936,189,38,709,102,107,46,158,41,106,4,103,0,3,37,5,1,14,1,55,367427,193746,1107213,57723,980,691695,21,425,1,489,0.0030,5.6140,5.3860,4.4250,-0.0490,-0.0500,-0.0430,-0.0170,0.0810,0.3450,0.0170,-0.0100,0,0,0,0
2020-01-24,AUT,de,1922,406,72,1444,274,163,55,289,85,195,7,156,1,1,35,15,3,22,3,127,273004,199704,1831061,58560,2760,1123175,26,778,4,1114,0.1450,5.8730,5.5590,4.3700,-0.0470,-0.0170,-0.0290,-0.0100,0.0710,0.4220,0.0450,0.0080,0,0,0,0
2020-01-25,AUT,de,3017,506,136,2375,397,201,59,313,66,224,11,190,0,3,30,22,4,29,8,115,216323,105854,1271871,37486,7970,938578,12,1196,6,1803,-0.0670,5.3970,5.2980,4.2700,-0.0350,-0.0350,-0.0350,-0.0020,0.0630,0.3290,0.1750,,0,0,0,0
2020-01-26,AUT,de,3049,597,120,2332,670,178,67,463,106,330,8,170,0,6,30,18,13,27,3,213,425828,144271,2871604,45371,3233,2308688,41,1241,8,1759,-0.1310,5.3170,5.2030,4.2490,-0.0220,-0.0500,-0.0420,0.0020,0.0660,0.2530,0.0670,,0,0,0,0
2020-01-27,AUT,de,2181,473,79,1629,422,218,55,388,93,273,9,209,0,0,41,6,8,26,2,184,732480,136136,2798432,45020,5168,1628097,37,987,12,1145,-0.1700,5.1660,5.1980,4.3880,-0.0360,-0.0570,-0.0350,0.0140,0.0640,0.1570,0.1030,-0.0150,0,0,0,0
2020-01-28,AUT,de,2440,652,104,1684,745,191,61,495,113,358,16,175,3,3,45,7,3,54,4,257,725740,239979,4283157,242841,807,3509285,53,1011,20,1356,-0.0940,5.2700,5.3030,4.2340,-0.0470,-0.0480,-0.0300,0.0030,0.0630,0.2480,0.0030,0.0070,0,0,0,0
2020-01-29,AUT,de,2088,533,104,1451,462,100,39,233,51,171,9,91,9,1,21,4,4,14,9,111,422767,100275,2626408,45048,14725,2316283,38,874,17,1159,-0.0980,5.2150,5.2110,4.3460,-0.0690,-0.0520,-0.0380,0.0000,0.0670,0.1920,0.2460,0.0040,0,0,0,0
2020-01-30,AUT,de,3454,844,129,2481,479,179,73,349,82,176,3,176,2,7,47,8,9,43,2,97,520187,131792,1739540,122575,6119,953754,39,1471,8,1936,-0.0370,5.2360,5.2350,4.2480,-0.0560,-0.0500,-0.0360,0.0120,0.0650,0.2020,0.0480,-0.0100,0,0,0,0
2020-01-31,AUT,de,2896,669,128,2099,377,115,74,303,87,185,3,112,2,14,42,11,5,14,2,106,184266,140809,2564314,15247,720,1958958,43,1154,9,1690,-0.0780,5.1880,5.2380,4.3080,-0.0410,-0.0470,-0.0360,-0.0060,0.0640,0.4330,0.0450,-0.0090,0,0,0,0
2020-02-01,AUT,de,1593,354,79,1160,329,55,36,198,80,106,3,52,3,3,14,4,12,11,3,73,201725,33643,2250606,95138,3597,2010718,26,559,9,999,-0.0650,5.2290,5.2620,4.3270,-0.0410,-0.0410,-0.0380,-0.0070,0.0700,0.1430,0.0360,,0,0,0,0
2020-02-02,AUT,de,1861,393,115,1353,424,82,32,190,56,123,7,75,1,5,14,7,5,13,3,87,195411,22576,2370871,28691,1161,1871098,39,781,7,1034,-0.0880,5.2280,5.2250,4.2430,-0.0120,-0.0410,-0.0380,0.0160,0.0720,0.1040,0.0390,,0,0,0,0
2020-02-03,AUT,de,1623,483,109,1031,502,108,28,264,73,177,1,107,3,2,12,7,4,18,4,134,178361,51435,5321765,35070,8239,4883773,42,600,12,969,-0.1320,5.1690,5.2000,4.3510,-0.0200,-0.0100,-0.0420,-0.0020,0.0750,0.2240,0.1900,-0.0060,0,0,0,0
2020-02-04,AUT,de,1249,322,103,824,238,80,19,160,35,104,2,78,2,1,8,4,4,8,4,51,234481,40522,1811493,10882,8472,1378100,26,534,4,685,-0.1320,5.2480,5.2190,4.3060,-0.0210,-0.0220,-0.0410,0.0000,0.0730,0.1470,0.4380,0.0080,0,0,0,0
2020-02-05,AUT,de,1262,385,55,822,347,71,15,209,58,142,1,70,1,2,4,4,4,14,3,88,138698,25720,4473566,34177,5097,4014739,41,630,6,585,-0.0450,5.2970,5.2740,4.3030,-0.0010,-0.0170,-0.0390,0.0080,0.0740,0.1560,0.1300,0.0000,0,0,0,0
2020-02-06,AUT,de,1201,306,64,831,261,63,20,172,50,112,2,61,0,0,16,2,2,10,0,67,122612,18916,2384574,36961,0,2052180,26,579,9,587,-0.1790,5.1410,5.1870,4.2980,-0.0400,-0.0390,-0.0420,0.0020,0.0740,0.1340,0.0000,0.0050,0,0,0,0
2020-02-07,AUT,de,1315,354,55,906,280,133,20,179,35,140,2,131,1,2,9,6,2,12,1,69,212656,31467,2726085,15212,1959,2015402,21,675,8,611,-0.1990,5.2100,5.2340,4.3150,-0.0330,-0.0320,-0.0460,0.0130,0.0780,0.1290,0.1140,0.0010,0,0,0,0
2020-02-08,AUT,de,1222,233,68,921,196,204,19,157,60,84,3,201,0,0,9,7,3,7,3,38,366311,30741,2486689,10619,5370,2144444,20,458,3,741,-0.1110,5.1700,5.2050,4.2720,-0.0490,-0.0400,-0.0400,0.0000,0.0720,0.0770,0.3360,,0,0,0,0
2020-02-09,AUT,de,1112,250,38,824,178,98,22,195,77,109,2,96,0,6,8,3,5,4,1,40,172823,49590,980821,15230,1962,573079,15,434,5,658,-0.0910,5.2430,5.2840,4.3010,-0.0370,-0.0140,-0.0420,-0.0070,0.0770,0.2230,0.1140,,0,0,0,0
2020-02-10,AUT,de,1108,299,83,726,165,83,19,219,66,139,2,81,1,2,10,2,4,5,3,50,303017,73572,2513564,7305,3217,1907595,26,413,2,667,-0.1060,5.2630,5.1990,4.2740,-0.0360,0.0040,-0.0420,0.0130,0.0720,0.1950,0.3060,-0.0070,0,0,0,0
2020-02-11,AUT,de,1012,290,71,651,197,63,19,165,28,130,2,61,0,2,11,4,2,4,2,48,142702,19857,2562733,10178,2037,2082627,29,392,4,587,-0.0820,5.1950,5.2050,4.2700,-0.0350,-0.0300,-0.0400,0.0110,0.0760,0.1220,0.1670,0.0200,0,0,0,0
