datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,71,7,3,11,15362,8927,9215,0.36753,1,35,0,35,-0.13181,5.2454,4.18041,5.40101,-0.06342,-0.08009,-0.05934,0.03749,-0.11533,0,0,0,
2020-01-23,135,18,2,21,30477,1402,33141,0.04398,2,59,0,74,-0.05827,5.37043,4.38479,5.64858,,,,,,0,0,0,
2020-01-24,320,31,16,46,42793,44739,72011,0.51112,1,130,0,189,0.05728,5.45483,4.30139,5.72326,,,,,,0,0,0,
2020-01-25,432,23,11,30,35430,19950,40268,0.36024,0,172,0,260,-0.06783,5.29774,4.34892,5.4035,-0.05865,-0.07001,-0.05934,0.09319,-0.11004,0,0,0,
2020-01-26,797,35,29,173,73047,181526,216507,0.71306,0,309,0,488,-0.22189,5.24799,4.25013,5.30188,-0.06342,-0.08009,-0.05934,0.08347,-0.11533,0,0,0,
2020-01-27,543,35,18,92,62841,99165,155540,0.61211,3,225,2,313,-0.29282,5.20947,4.33862,5.17459,-0.04449,-0.04136,-0.05934,0.08915,-0.0493,0,0,0,
2020-01-28,427,32,25,68,68707,98097,105384,0.5881,0,174,3,250,-0.23338,5.27535,4.31077,5.21639,-0.0525,-0.05085,-0.05934,0.08999,-0.06156,0,0,0,
2020-01-29,470,17,13,42,39309,46439,113704,0.54158,1,178,1,290,-0.15629,5.21561,4.30999,5.22682,-0.01081,-0.05354,-0.00975,0.03671,-0.04706,0,0,0,
2020-01-30,600,13,17,49,39406,49733,81074,0.55793,0,274,1,325,-0.06579,5.19031,4.27795,5.1737,0.0038,-0.07125,0.02667,0.01344,-0.07879,0,0,0,
2020-01-31,546,27,12,51,88532,139063,85315,0.61101,0,244,1,301,-0.16282,5.20778,4.34424,5.14748,-0.04609,-0.04877,-0.05934,0.08389,-0.04113,0,0,0,
2020-02-01,317,14,7,28,23886,15938,40361,0.40021,1,88,0,228,-0.13673,5.18595,4.36158,5.09872,-0.08536,-0.09659,-0.05643,0.09015,-0.11313,0,0,0,
2020-02-02,279,16,4,21,25906,4810,48983,0.1566,0,130,0,149,-0.16004,5.27152,4.29321,5.27052,,,,,,0,0,0,
2020-02-03,239,13,4,28,36564,2265,72066,0.05833,1,125,1,112,-0.13689,5.2671,4.31268,5.3116,-0.00996,-0.05083,0.00452,0.01973,-0.05473,0,0,0,
2020-02-04,182,11,7,26,30737,5919,75543,0.16147,0,72,0,110,-0.1187,5.17399,4.31617,5.1053,,,,,,0,0,0,
2020-02-05,169,7,0,28,12856,0,45179,0,0,69,0,100,-0.09148,5.24311,4.32006,5.29313,,,,,,0,0,0,
2020-02-06,176,15,2,38,16560,936,51630,0.0535,0,68,0,108,-0.17482,5.21443,4.38252,5.20627,,,,,,0,0,0,
2020-02-07,202,32,1,23,31729,882,34723,0.02705,0,68,0,134,-0.13499,5.19103,4.39759,5.17094,-0.06152,-0.07052,-0.05934,0.08347,-0.06728,0,0,0,
2020-02-08,193,39,4,42,28862,8338,56150,0.22414,0,76,3,114,-0.07157,5.09614,4.34758,4.96281,,,,,,0,0,0,
2020-02-09,157,15,3,23,26561,13653,138868,0.33951,1,75,0,81,-0.11436,5.19826,4.35575,5.05436,,,,,,0,0,0,
2020-02-10,188,15,4,26,35908,24606,62654,0.40662,0,85,0,103,-0.19836,5.15338,4.31164,5.10925,,,,,,0,0,0,
