datetime,iso,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,eco_close_pct,epi_confirmed,epi_recovered,epi_dead
2020-01-22,BEL,1022,138,48,198,1667729,84174,4575683,38,423,3,558,0.085,5.298,5.227,4.223,-0.032,0.006,-0.045,-0.000,0.082,0.048,-0.002,0,0,0
2020-01-23,BEL,2651,295,96,396,4783853,392059,8237859,71,1025,17,1538,0.013,5.599,5.376,4.431,0.003,-0.041,-0.041,0.004,0.078,0.076,-0.007,0,0,0
2020-01-24,BEL,5940,572,203,684,7444538,1348900,12010330,89,2348,21,3482,0.102,5.754,5.475,4.425,-0.057,-0.017,-0.033,-0.012,0.076,0.153,0.001,0,0,0
2020-01-25,BEL,11202,1055,157,1339,5800764,743660,17477919,116,4522,7,6557,-0.085,5.383,5.275,4.286,-0.035,-0.040,-0.031,-0.001,0.064,0.114,,0,0,0
2020-01-26,BEL,6974,568,183,825,3827840,991338,12215937,78,2886,9,4001,-0.138,5.248,5.188,4.316,-0.021,-0.045,-0.040,0.004,0.066,0.206,,0,0,0
2020-01-27,BEL,5306,518,134,875,7927033,979242,15355277,116,2174,24,2992,-0.157,5.197,5.219,4.433,-0.028,-0.050,-0.025,0.012,0.052,0.110,-0.011,0,0,0
2020-01-28,BEL,5251,515,207,1000,9355369,1041092,19120728,157,2080,30,2984,-0.125,5.237,5.285,4.260,-0.044,-0.045,-0.024,0.006,0.059,0.100,0.010,0,0,0
2020-01-29,BEL,5372,403,119,630,9399899,1214053,14147013,178,2035,20,3139,-0.056,5.268,5.200,4.359,-0.064,-0.035,-0.031,0.005,0.069,0.114,0.002,0,0,0
2020-01-30,BEL,7497,546,197,933,12344271,1397300,19525386,192,2993,32,4280,-0.074,5.224,5.205,4.297,-0.041,-0.035,-0.039,0.011,0.069,0.102,-0.001,0,0,0
2020-01-31,BEL,6509,444,168,689,9623219,1025458,11629501,144,2697,34,3634,-0.110,5.173,5.237,4.335,-0.044,-0.034,-0.037,-0.002,0.068,0.096,-0.008,0,0,0
2020-02-01,BEL,3702,308,86,435,6446839,662384,6406534,76,1479,23,2124,-0.125,5.124,5.218,4.349,-0.041,-0.045,-0.041,-0.010,0.074,0.093,,0,0,0
2020-02-02,BEL,4163,332,80,440,7446403,614181,9950978,102,1524,11,2526,-0.122,5.222,5.256,4.339,-0.030,-0.015,-0.042,0.008,0.074,0.076,,0,0,0
2020-02-03,BEL,3413,347,92,541,6047119,1093589,11803968,148,1268,23,1974,-0.063,5.225,5.234,4.353,-0.019,-0.012,-0.037,0.007,0.077,0.153,0.005,0,0,0
2020-02-04,BEL,4250,352,88,918,8721234,1432236,20326849,205,1582,16,2447,-0.109,5.196,5.195,4.341,-0.030,-0.027,-0.042,0.007,0.073,0.141,0.022,1,0,0
2020-02-05,BEL,3118,342,83,522,8195032,1060432,11525273,112,1223,8,1775,-0.033,5.312,5.271,4.315,-0.027,-0.012,-0.040,0.008,0.076,0.115,0.015,1,0,0
2020-02-06,BEL,3024,350,80,506,7621653,1028533,10273909,133,1126,21,1744,-0.186,5.160,5.166,4.363,-0.038,-0.051,-0.042,-0.001,0.075,0.119,0.006,1,0,0
2020-02-07,BEL,3395,676,57,487,7390182,752510,11618398,122,1314,17,1942,-0.083,5.208,5.210,4.362,-0.038,-0.009,-0.044,0.011,0.076,0.092,-0.007,1,0,0
2020-02-08,BEL,3371,821,78,471,4946393,753748,6749628,66,1391,4,1910,-0.076,5.108,5.194,4.343,-0.035,-0.020,-0.041,0.001,0.075,0.132,,1,0,0
2020-02-09,BEL,3861,435,74,1371,4765133,780111,4866367,65,1617,7,2172,-0.079,5.191,5.237,4.315,-0.017,-0.034,-0.046,-0.007,0.076,0.141,,1,0,0
2020-02-10,BEL,3991,388,94,1248,8383077,1076243,12248019,145,1726,16,2104,-0.121,5.259,5.270,4.282,-0.040,-0.023,-0.042,-0.006,0.077,0.114,0.004,1,0,0
2020-02-11,BEL,3112,324,76,590,6675880,987791,11416840,114,1372,22,1604,-0.080,5.197,5.199,4.271,-0.045,-0.008,-0.040,0.011,0.074,0.129,0.007,1,0,0
2020-02-12,BEL,2536,307,56,461,6220430,814507,12392638,92,971,49,1424,-0.111,5.242,5.231,4.274,-0.025,-0.027,-0.044,0.001,0.077,0.116,0.008,1,0,0
2020-02-13,BEL,2862,374,79,465,9297064,764447,10696684,169,1119,42,1532,-0.090,5.298,5.311,4.295,-0.036,-0.040,-0.040,-0.011,0.074,0.076,0.002,1,0,0
