datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,BFA,fr,114,21,2,91,18,4,2,11,2,9,0,4,0,0,2,0,0,1,0,2,4,2,0,0,12395,469,105349,1271,0,3619,1,35,1,77,0.2518,5.3196,5.2976,4.1713,-0.0207,,-0.0331,-0.0060,0.0811,0.0365,0.0000,0.3333,,0.3333,,,,,
2020-01-23,BFA,fr,381,48,8,325,62,13,6,36,6,23,2,11,0,1,2,3,0,3,0,7,10,6,0,0,21602,20310,8832624,1679,0,44887,7,117,3,254,0.2248,6.0217,5.5890,4.5204,,,-0.0275,-0.0020,0.0802,0.4846,0.0000,0.3750,,0.3750,,,,,
2020-01-24,BFA,fr,517,103,14,400,157,26,15,52,15,33,1,25,0,1,9,4,1,9,2,24,20,11,1,0,63178,54441,230194,3438,6514,186669,7,201,0,309,0.2792,6.2668,5.7766,4.4048,-0.0781,0.0082,-0.0237,-0.0034,0.0635,0.4629,0.6545,0.3548,0.0000,0.3438,,,,,
2020-01-25,BFA,fr,839,106,13,720,252,72,19,57,19,31,2,70,0,2,10,7,0,29,5,31,62,17,2,0,79166,183151,271477,30339,12956,70923,1,320,1,517,-0.0525,5.4906,5.3697,4.2810,-0.0337,-0.0353,-0.0289,0.0013,0.0628,0.6982,0.2992,0.2152,0.0000,0.2099,,,,,
2020-01-26,BFA,fr,827,132,14,681,129,37,15,80,17,54,1,36,0,4,2,7,2,8,1,17,34,12,1,1,60166,25073,883510,3506,167,135237,1,294,3,529,-0.0983,5.3277,5.2268,4.3515,0.0194,-0.0358,-0.0403,0.0127,0.0704,0.2941,0.0455,0.2609,0.5000,0.2708,,,,,
2020-01-27,BFA,fr,577,96,19,462,69,42,10,78,18,52,4,38,0,1,6,3,0,3,2,11,35,8,1,1,592725,31649,12991463,1097,301,13576,8,244,0,325,-0.1555,5.0723,5.1062,4.4594,-0.0445,-0.0498,-0.0355,0.0190,0.0612,0.0507,0.2153,0.1860,0.5000,0.2000,,,,,
2020-01-28,BFA,fr,546,127,14,405,82,38,13,51,11,31,2,36,1,2,10,0,0,4,0,10,34,12,0,0,122467,14923,647225,6807,0,32284,2,212,0,332,-0.0729,5.3854,5.3817,4.2547,-0.0508,-0.0476,-0.0187,-0.0053,0.0562,0.1086,0.0000,0.2609,,0.2609,,,,,
2020-01-29,BFA,fr,515,119,16,380,81,17,10,37,14,21,1,16,1,0,5,4,0,3,1,11,11,6,0,0,21025,30187,30680,7594,1296,8108,6,245,0,264,-0.0627,5.2685,5.2708,4.2607,-0.0809,-0.0692,-0.0355,-0.0000,0.0606,0.5895,0.1458,0.3529,,0.3529,,,,,
2020-01-30,BFA,fr,886,192,21,673,72,23,18,71,19,26,0,23,1,4,8,4,1,2,0,11,16,11,0,0,567328,116596,167065,1966,0,25915,7,371,1,507,-0.0175,5.2801,5.2990,4.2753,-0.0352,-0.0375,-0.0370,0.0104,0.0658,0.1705,0.0000,0.4074,,0.4074,,,,,
2020-01-31,BFA,fr,794,153,22,619,66,21,23,48,23,19,3,18,1,5,8,7,2,2,2,6,9,17,1,0,25044,91097,358793,732,1727,18569,7,304,0,483,-0.0722,5.1078,5.2219,4.3085,-0.0240,-0.0383,-0.0291,-0.0044,0.0628,0.7844,0.7023,0.6538,0.0000,0.6296,,,,,
