datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,138,16,5,15,5783,15049,25736,0.7224,0,61,0,77,0.0943,5.29151,4.115,5.38177,,,,,,0,0,0,
2020-01-23,245,41,18,24,34255,49806,24207,0.5925,0,96,0,149,-0.01781,5.448,4.424,5.69437,,,,,,0,0,0,
2020-01-24,596,65,24,54,53634,48343,54935,0.47406,1,224,0,371,0.05591,5.53817,4.45559,5.83891,,,,,,0,0,0,
2020-01-25,893,65,15,47,59020,10924,69612,0.15618,3,312,0,578,-0.06248,5.32708,4.24319,5.46324,,,,,,0,0,0,
2020-01-26,755,50,34,80,56618,82738,245223,0.59372,1,303,1,450,-0.11091,5.1889,4.29155,5.27648,,,,,,0,0,0,
2020-01-27,537,53,19,69,38235,43933,82466,0.53467,0,217,0,320,-0.11981,5.24927,4.35115,5.19344,-0.0578,-0.06033,-0.05934,0.08673,-0.07045,0,0,0,
2020-01-28,552,31,31,60,26468,70469,91013,0.72696,0,223,0,329,-0.09532,5.32597,4.18226,5.27019,-0.01743,-0.04553,-0.00825,0.03988,-0.00638,0,0,0,
2020-01-29,628,37,11,60,25385,24786,60692,0.49403,3,279,0,346,-0.10521,5.23316,4.33532,5.26439,-0.00119,-0.08894,0.04115,-0.02623,-0.11636,0,0,0,
2020-01-30,1065,59,41,105,50724,94902,251404,0.65168,2,471,0,592,-0.08175,5.25003,4.21635,5.26129,,,,,,0,0,0,
2020-01-31,865,44,24,67,44489,28995,90885,0.39458,1,400,0,464,-0.08668,5.30186,4.29293,5.28609,-0.05893,-0.05688,-0.04215,0.0823,-0.06824,0,0,0,
2020-02-01,460,18,12,50,27386,23122,62005,0.45779,0,184,1,275,-0.12324,5.24149,4.31811,5.17787,,,,,,0,0,0,
