datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,BHR,ar,89,23,5,61,1,9,3,14,0,0,0,6611,1459,113578,0,0,0,2,32,0,55,-0.145,5.342,5.067,4.211,,,-0.059,,0.088,0.181,,,0,0,0,0
2020-01-23,BHR,ar,183,26,12,145,9,6,8,13,0,0,0,19485,2390,53642,0,0,0,4,70,0,109,-0.069,5.705,5.407,4.450,,0.046,-0.047,,0.083,0.109,,,0,0,0,0
2020-01-24,BHR,ar,221,32,4,185,26,11,4,17,0,0,0,12803,1846,178703,0,0,0,4,74,1,142,0.095,5.830,5.504,4.331,,,-0.042,,0.087,0.126,,,0,0,0,0
2020-01-25,BHR,ar,320,50,0,270,29,31,2,28,2,0,4,72600,2688,134318,56157,0,118165,0,146,1,173,-0.090,5.497,5.349,4.301,-0.061,-0.049,-0.010,0.015,0.053,0.036,0.000,,0,0,0,0
2020-01-26,BHR,ar,340,47,7,286,13,17,2,35,1,0,3,60536,274,172847,2480,0,36435,10,134,0,196,-0.037,5.422,5.233,4.198,-0.034,-0.054,-0.045,0.002,0.069,0.005,0.000,,0,0,0,0
2020-01-27,BHR,ar,317,53,5,259,59,19,6,29,2,0,1,28230,3908,71558,5233,0,8087,9,117,0,191,-0.099,5.126,5.130,4.542,-0.064,-0.059,0.009,0.016,0.044,0.122,0.000,,0,0,0,0
2020-01-28,BHR,ar,324,87,10,227,20,16,8,45,1,0,1,8136,3809,133288,487,0,339,5,140,0,179,-0.111,5.408,5.387,4.211,-0.041,-0.049,-0.003,0.022,0.048,0.319,0.000,,0,0,0,0
2020-01-29,BHR,ar,333,74,11,248,12,19,2,30,0,0,0,27760,1777,47714,0,0,0,5,132,2,194,-0.086,5.300,5.255,4.415,-0.060,-0.049,-0.028,0.021,0.068,0.060,,,0,0,0,0
2020-01-30,BHR,ar,475,104,35,336,48,23,5,34,2,0,0,55092,1455,48518,1796,0,0,11,163,2,299,-0.117,5.116,5.148,4.227,-0.085,,-0.033,0.024,0.066,0.026,0.000,,0,0,0,0
2020-01-31,BHR,ar,339,63,4,272,10,11,4,21,0,0,0,7253,10616,15511,0,0,0,12,135,2,190,-0.100,5.188,5.243,4.279,-0.030,-0.016,-0.048,-0.017,0.071,0.594,,,0,0,0,0
2020-02-01,BHR,ar,200,39,6,155,10,13,1,22,0,0,0,10505,134,5833,0,0,0,6,60,0,134,-0.127,5.215,5.259,4.328,-0.013,-0.016,-0.054,-0.039,0.077,0.013,,,0,0,0,0
2020-02-02,BHR,ar,221,48,5,168,10,5,1,12,0,0,1,2074,334,38461,0,0,33,10,61,1,149,-0.006,5.282,5.273,4.368,0.010,0.016,-0.040,0.019,0.071,0.139,,,0,0,0,0
2020-02-03,BHR,ar,151,34,3,114,4,6,0,9,0,0,1,1930,0,78018,0,0,14,13,37,1,100,-0.086,5.326,5.189,4.378,-0.041,-0.049,-0.042,-0.019,0.073,0.000,,,0,0,0,0
2020-02-04,BHR,ar,123,26,5,92,4,7,0,10,0,0,0,20855,0,3387,0,0,0,10,28,0,85,-0.192,5.233,5.210,4.323,,,-0.051,,0.080,0.000,,,0,0,0,0
2020-02-05,BHR,ar,137,31,6,100,6,8,0,16,0,0,0,3059,0,16941,0,0,0,9,38,0,90,-0.097,5.290,5.208,4.296,-0.045,-0.055,-0.046,-0.027,0.070,0.000,,,0,0,0,0
2020-02-06,BHR,ar,161,31,4,126,11,5,5,13,0,1,0,2330,1724,6907,0,421,0,7,50,0,104,-0.265,4.873,4.994,4.519,,,-0.051,0.013,0.079,0.425,1.000,,0,0,0,0
2020-02-07,BHR,ar,157,37,8,112,5,28,2,4,0,0,1,19348,1884,2608,0,0,111,12,53,0,92,-0.073,5.237,5.237,4.375,,,-0.040,0.033,0.074,0.089,,,0,0,0,0
2020-02-08,BHR,ar,154,31,7,116,6,29,4,12,1,0,0,18590,3755,15544,669,0,0,11,49,0,94,-0.044,5.232,5.273,4.279,0.002,-0.000,-0.042,0.022,0.077,0.168,0.000,,0,0,0,0
2020-02-09,BHR,ar,156,26,2,128,3,37,1,18,0,0,0,23150,280,82468,0,0,0,8,37,0,111,0.042,4.989,5.013,4.491,,,-0.046,0.023,0.080,0.012,,,0,0,0,0
2020-02-10,BHR,ar,141,30,1,110,7,15,2,8,0,2,0,14996,87,22457,0,87,0,9,36,1,95,-0.091,5.369,5.274,4.285,-0.041,-0.049,-0.039,0.017,0.074,0.006,1.000,,0,0,0,0
2020-02-11,BHR,ar,139,24,3,112,3,8,0,11,0,0,1,2777,0,62937,0,0,638,7,33,0,99,-0.084,5.193,5.190,4.269,-0.041,-0.049,-0.041,0.034,0.074,0.000,,,0,0,0,0
2020-02-12,BHR,ar,85,21,2,62,4,7,2,6,0,0,0,7475,1807,1616,0,0,0,6,19,0,60,-0.033,5.271,5.286,4.296,-0.041,-0.049,-0.047,0.012,0.068,0.195,,,0,0,0,0
2020-02-13,BHR,ar,183,19,4,160,10,10,7,16,0,0,0,1685,4557,15215,0,0,0,4,35,0,144,-0.038,5.397,5.345,4.294,-0.021,-0.033,-0.036,-0.040,0.073,0.730,,,0,0,0,0
2020-02-14,BHR,ar,184,16,1,167,8,7,2,22,0,1,1,3284,112459,7694,0,112304,4204,8,27,0,149,-0.204,5.271,5.225,4.294,-0.044,-0.051,-0.043,-0.009,0.076,0.972,1.000,,0,0,0,0
2020-02-15,BHR,ar,168,19,5,144,3,16,3,13,0,0,0,23276,1073,19190,0,0,0,12,22,0,134,-0.028,5.337,5.261,4.355,-0.040,-0.000,-0.047,-0.002,0.078,0.044,,,0,0,0,0
2020-02-16,BHR,ar,143,18,2,123,2,41,2,10,0,0,0,41719,310,3794,0,0,0,8,32,0,103,-0.163,5.305,5.204,4.385,-0.050,,-0.050,0.012,0.080,0.007,,,0,0,0,0
2020-02-17,BHR,ar,134,22,3,109,3,7,1,15,1,0,0,25526,155,64570,7393,0,0,9,25,0,100,-0.041,5.300,5.300,4.360,,0.003,-0.051,0.021,0.073,0.006,0.000,,0,0,0,0
2020-02-18,BHR,ar,158,31,2,125,10,8,6,15,1,0,0,18975,1528,5257,704,0,0,12,27,0,119,-0.199,5.082,5.094,4.373,-0.040,-0.022,-0.033,0.014,0.074,0.075,0.000,,0,0,0,0
2020-02-19,BHR,ar,148,18,2,128,2,0,3,22,0,0,0,0,4565,124300,0,0,0,2,19,2,125,-0.075,5.473,5.387,4.327,,0.001,-0.022,0.033,0.075,1.000,,,0,0,0,0
2020-02-20,BHR,ar,237,15,3,219,3,6,4,26,0,0,0,5500,628,4916,0,0,0,5,33,0,199,-0.194,5.237,5.276,4.285,-0.040,,-0.046,0.021,0.073,0.102,,,0,0,0,0
2020-02-21,BHR,ar,164,23,3,138,8,6,5,18,0,0,2,9940,630,78575,0,0,1387,4,31,0,129,-0.133,5.393,5.366,4.273,,-0.000,-0.052,0.032,0.074,0.060,,,0,0,0,0
2020-02-22,BHR,ar,189,41,1,147,14,10,3,17,0,0,0,10473,468,5201,0,0,0,8,35,1,145,-0.127,5.406,5.361,4.274,-0.040,-0.049,-0.042,0.018,0.075,0.043,,,0,0,0,0
2020-02-23,BHR,ar,180,47,3,130,12,4,2,16,0,0,0,3442,156,98652,0,0,0,15,73,0,92,-0.141,5.122,5.180,4.346,,,-0.034,0.033,0.078,0.043,,,0,0,0,0
2020-02-24,BHR,ar,1186,317,40,829,485,18,1,271,0,0,116,70055,158,1064067,0,0,630158,38,425,11,712,0.007,5.237,5.222,4.261,-0.054,-0.051,-0.036,0.005,0.069,0.002,,,1,1,0,0
2020-02-25,BHR,ar,884,241,37,606,160,33,8,97,3,1,7,88964,3044,661836,11186,592,10340,30,363,4,487,-0.064,5.349,5.286,4.303,-0.052,-0.036,-0.044,-0.001,0.069,0.033,0.050,,2,1,0,0
2020-02-26,BHR,ar,732,158,44,530,97,17,8,87,1,0,9,15148,10682,275169,4311,0,22881,46,261,1,424,-0.014,5.450,5.375,4.239,-0.030,-0.026,-0.043,0.023,0.072,0.414,0.000,,23,21,0,0
2020-02-27,BHR,ar,899,170,30,699,226,66,31,58,4,0,7,88435,24239,576219,22750,0,4254,19,286,10,584,0.028,5.366,5.356,4.317,-0.055,-0.006,-0.045,0.013,0.074,0.215,0.000,,33,10,0,0
2020-02-28,BHR,ar,570,118,13,439,70,27,37,64,0,1,8,25079,72694,822107,0,442,523267,16,182,11,361,0.074,5.541,5.456,4.245,-0.015,0.001,-0.046,0.012,0.076,0.743,1.000,,33,0,0,0
2020-02-29,BHR,ar,698,106,18,574,103,32,10,110,1,0,6,39887,4906,151052,408,0,41000,21,225,3,449,0.056,5.435,5.373,4.299,-0.035,-0.013,-0.037,-0.000,0.065,0.110,0.000,,38,5,0,0
2020-03-01,BHR,ar,582,117,26,439,88,30,4,99,2,0,11,146529,9322,174754,8863,0,80685,18,182,0,382,-0.108,5.328,5.321,4.207,-0.039,-0.029,-0.037,-0.014,0.068,0.060,0.000,,41,3,0,0
