datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,BHS,en,50,3,1,46,43,6,4,8,2,5,0,6,0,0,2,2,0,6,4,8,47499,6035,30660,47499,6035,30660,0,25,0,25,-0.008,5.232,5.236,4.224,,0.057,-0.031,0.033,0.069,0.113,0.113,,,,,
2020-01-23,BHS,en,76,14,0,62,59,6,6,14,3,7,1,5,0,1,1,2,2,5,6,13,24125,16476,41812,23956,16476,41701,0,35,0,41,-0.017,5.589,5.431,4.540,,,-0.044,-0.011,0.080,0.406,0.407,,,,,
2020-01-24,BHS,en,214,30,7,177,159,16,6,17,3,12,1,15,0,0,3,3,0,12,6,16,13903,13082,112086,12452,13082,111497,1,104,0,109,0.064,5.703,5.447,4.463,-0.075,-0.029,-0.020,-0.000,0.064,0.485,0.512,,,,,
2020-01-25,BHS,en,341,57,6,278,225,23,6,14,6,7,0,23,0,0,5,1,0,10,6,12,19760,11691,61634,15007,11691,61039,0,143,0,198,-0.131,5.629,5.451,4.318,-0.051,-0.035,-0.033,-0.008,0.048,0.372,0.438,,,,,
2020-01-26,BHS,en,285,56,7,222,229,21,11,30,7,17,0,21,0,1,7,2,1,18,10,26,28554,9846,54819,27738,9193,52858,0,106,0,179,-0.091,5.301,5.265,4.295,-0.048,-0.037,-0.041,0.002,0.069,0.256,0.249,,,,,
2020-01-27,BHS,en,274,49,9,216,228,23,12,25,11,10,1,22,0,0,8,0,4,22,12,22,109363,13344,154210,107323,13344,152446,1,132,0,141,-0.377,5.046,5.157,4.412,-0.050,-0.054,0.008,0.026,0.028,0.109,0.111,,,,,
2020-01-28,BHS,en,290,45,7,238,240,18,8,24,10,12,1,17,0,0,6,1,1,16,8,19,15142,7849,123508,9711,7849,121463,0,128,0,162,-0.255,5.136,5.258,4.243,-0.045,-0.044,-0.006,0.018,0.047,0.341,0.447,,,,,
2020-01-29,BHS,en,304,46,7,251,240,12,13,9,1,6,1,11,0,2,10,1,0,10,11,8,96381,7319,38858,94891,5903,38675,1,138,0,165,-0.176,5.184,5.102,4.475,-0.074,-0.049,-0.023,-0.005,0.063,0.071,0.059,,,,,
2020-01-30,BHS,en,428,99,11,318,362,19,9,31,13,9,0,19,0,3,3,3,0,18,5,23,18160,28214,65079,17782,25755,62738,5,210,0,213,-0.126,5.237,5.195,4.279,-0.065,-0.017,-0.046,-0.003,0.076,0.608,0.592,,,,,
2020-01-31,BHS,en,323,53,13,257,266,9,4,18,5,9,1,8,0,0,4,0,0,7,4,18,4507,2664,85328,2937,2664,85328,3,141,0,179,-0.176,5.198,5.255,4.356,-0.046,-0.037,-0.028,0.012,0.060,0.371,0.476,,,,,
2020-02-01,BHS,en,153,21,5,127,126,10,4,14,4,7,1,9,0,1,3,0,0,6,3,13,11133,6787,93027,10369,6744,92984,1,60,0,92,-0.086,5.331,5.436,4.297,-0.044,-0.001,-0.043,-0.006,0.071,0.379,0.394,,,,,
2020-02-02,BHS,en,182,33,5,144,136,6,6,7,1,6,0,6,0,1,3,2,0,4,5,6,2971,4221,6176,2443,4040,6136,1,69,0,112,-0.144,5.287,5.333,4.305,-0.035,-0.007,-0.040,0.001,0.073,0.587,0.623,,,,,
2020-02-03,BHS,en,95,26,5,64,79,2,1,7,1,5,0,2,0,0,1,0,0,2,1,6,1430,1243,17839,1430,1243,17655,0,39,0,56,-0.084,5.276,5.306,4.230,-0.001,-0.003,-0.038,-0.005,0.079,0.465,0.465,,,,,
2020-02-04,BHS,en,114,32,4,78,95,2,2,9,0,8,0,2,0,0,2,0,0,2,2,6,1501,1879,86765,1501,1879,86218,0,46,0,68,-0.212,5.081,5.100,4.404,-0.033,-0.060,-0.038,0.008,0.071,0.556,0.556,,,,,
2020-02-05,BHS,en,90,29,5,56,68,4,2,9,2,6,2,2,0,0,0,1,1,1,2,9,1803,3192,41384,1564,3192,41384,0,26,0,64,-0.179,5.029,5.157,4.350,0.044,0.050,-0.045,0.008,0.074,0.639,0.671,,,,,
2020-02-06,BHS,en,89,17,4,68,71,4,3,14,6,8,0,4,0,0,2,1,0,4,3,10,6009,3778,16028,6009,3778,10178,1,34,0,54,-0.191,4.990,5.064,4.424,-0.043,,-0.039,0.011,0.072,0.386,0.386,,,,,
2020-02-07,BHS,en,144,32,8,104,128,40,2,14,6,4,0,40,0,0,2,0,0,40,2,10,42291,3427,35631,42291,3427,32702,1,59,0,84,-0.062,5.146,5.278,4.306,-0.003,0.045,-0.053,-0.039,0.079,0.075,0.075,,,,,
2020-02-08,BHS,en,160,21,1,138,139,25,4,70,41,29,0,25,0,0,3,1,0,22,3,69,20202,4047,179612,19685,3979,179467,0,69,0,91,-0.122,4.667,5.200,4.261,-0.061,,-0.030,0.033,0.066,0.167,0.168,,,,,
2020-02-09,BHS,en,98,21,3,74,76,7,1,19,12,7,0,7,0,0,1,0,0,6,1,13,11149,3143,15850,8677,3143,14206,0,45,0,53,-0.121,5.324,5.299,4.231,-0.057,-0.061,-0.026,-0.022,0.067,0.220,0.266,,,,,
2020-02-10,BHS,en,73,16,3,54,43,1,0,17,3,13,0,1,0,0,0,0,0,0,0,6,241,0,56246,0,0,52128,0,30,0,43,-0.153,5.087,5.153,4.377,-0.084,-0.079,-0.053,-0.085,0.083,0.000,,,,,,
2020-02-11,BHS,en,90,26,7,57,77,1,7,8,1,5,0,1,0,0,4,2,1,1,6,6,3976,8087,53200,3976,7994,50504,0,50,1,39,-0.174,5.197,5.129,4.359,-0.031,,-0.040,0.005,0.077,0.670,0.668,,,,,
2020-02-12,BHS,en,68,18,5,45,55,7,4,5,2,3,1,6,0,1,3,0,0,6,4,4,23852,8673,36760,23776,8673,36591,0,32,1,35,-0.220,5.334,5.250,4.248,-0.015,-0.020,-0.055,-0.046,0.082,0.267,0.267,,,,,
2020-02-13,BHS,en,91,25,4,62,77,6,9,12,1,7,0,6,0,1,3,3,2,6,8,11,5941,16055,123862,5941,15401,123485,0,42,0,49,-0.221,5.272,5.303,4.414,-0.054,0.019,-0.025,0.017,0.072,0.730,0.722,,,,,
2020-02-14,BHS,en,84,24,5,55,68,17,2,10,0,10,0,17,0,0,1,1,0,14,2,6,31219,6411,39502,27186,6411,38616,0,29,1,54,-0.036,5.322,5.238,4.163,-0.042,-0.053,-0.048,-0.035,0.075,0.170,0.191,,,,,
2020-02-15,BHS,en,66,16,0,50,49,14,0,12,3,8,0,14,0,0,0,0,0,13,0,11,16125,0,13111,12651,0,13069,0,29,0,37,-0.088,5.563,5.323,4.276,0.008,0.001,-0.017,0.031,0.071,0.000,0.000,,,,,
2020-02-16,BHS,en,95,9,6,80,75,34,2,0,0,0,0,34,0,0,0,2,0,30,2,0,26945,2431,0,24638,2431,0,0,34,0,61,-0.145,5.181,5.172,4.382,-0.062,-0.051,-0.045,-0.032,0.072,0.083,0.090,,,,,
2020-02-17,BHS,en,68,17,4,47,52,8,2,6,1,5,0,8,0,0,2,0,0,7,2,4,18509,2933,91594,17394,2933,89722,0,25,0,43,-0.168,5.100,5.205,4.453,-0.044,-0.047,-0.041,-0.003,0.077,0.137,0.144,,,,,
2020-02-18,BHS,en,109,31,3,75,91,2,2,13,10,2,0,2,0,0,1,1,0,2,2,12,893,6685,56358,893,6685,54528,0,43,0,66,-0.199,5.333,5.313,4.316,-0.049,,-0.026,0.027,0.071,0.882,0.882,,,,,
2020-02-19,BHS,en,100,26,4,70,83,4,4,14,9,5,0,4,0,0,3,0,1,0,4,12,7620,7032,743344,0,7032,742727,0,40,0,60,-0.318,5.365,5.271,4.491,-0.041,-0.049,0.022,0.028,0.043,0.480,1.000,,,,,
2020-02-20,BHS,en,60,16,4,40,51,3,0,7,3,3,1,2,0,0,0,0,0,3,0,7,3915,0,33138,3915,0,33138,0,25,0,35,-0.168,5.147,5.217,4.242,,0.048,-0.028,0.033,0.069,0.000,0.000,,,,,
2020-02-21,BHS,en,90,15,0,75,64,7,2,4,1,3,0,7,0,0,2,0,0,5,2,3,10143,3796,3278,8503,3796,1959,0,38,0,52,-0.176,5.143,5.201,4.336,-0.041,-0.025,-0.018,0.033,0.062,0.272,0.309,,,,,
2020-02-22,BHS,en,80,14,10,56,55,13,1,7,3,4,3,10,0,0,1,0,0,11,0,5,7128,792,25527,5640,0,3258,0,28,0,52,-0.173,4.851,5.101,4.271,0.015,-0.048,-0.051,-0.021,0.076,0.100,0.000,,,,,
2020-02-23,BHS,en,157,29,3,125,113,10,1,20,7,9,1,9,0,0,0,1,0,6,1,14,10824,823,39942,7368,823,15342,0,76,0,81,-0.152,5.283,5.293,4.309,-0.044,-0.047,-0.026,-0.014,0.066,0.071,0.100,,,,,
2020-02-24,BHS,en,226,36,15,175,185,9,4,14,4,10,0,9,0,0,4,0,0,6,4,11,13748,5905,101289,9545,5905,100546,0,108,0,118,-0.123,5.242,5.330,4.274,-0.041,-0.020,-0.040,0.011,0.069,0.300,0.382,,,,,
2020-02-25,BHS,en,371,65,13,293,289,20,13,33,12,18,0,20,0,0,12,1,0,18,10,23,74314,17191,38730,73558,15610,37272,0,163,1,207,-0.159,5.329,5.379,4.279,-0.041,-0.056,-0.044,-0.008,0.070,0.188,0.175,,,,,
2020-02-26,BHS,en,397,98,10,289,276,12,12,43,28,14,0,12,0,1,9,1,1,8,10,32,31437,20124,113802,29727,17005,106627,2,151,0,244,-0.139,5.311,5.330,4.298,-0.017,-0.011,-0.043,-0.006,0.070,0.390,0.364,,,,,
2020-02-27,BHS,en,645,109,20,516,541,25,22,64,45,18,0,25,3,0,16,3,0,18,15,53,51614,42294,165487,37378,37124,141521,0,275,2,368,-0.223,5.159,5.198,4.233,-0.054,-0.028,-0.044,-0.005,0.075,0.450,0.498,,,,,
2020-02-28,BHS,en,523,101,18,404,458,17,17,25,17,7,1,16,1,1,13,1,1,12,14,19,33074,28598,58963,28464,26859,54238,0,246,0,277,-0.011,5.383,5.353,4.320,-0.023,0.015,-0.042,0.002,0.071,0.464,0.485,,,,,
2020-02-29,BHS,en,639,87,29,523,569,31,22,25,18,5,2,29,0,0,18,4,0,26,20,15,756031,67666,39570,752183,58709,25880,0,249,1,389,-0.166,5.260,5.253,4.342,-0.024,-0.010,-0.041,-0.008,0.071,0.082,0.072,,,,,
2020-03-01,BHS,en,586,87,8,491,515,17,19,36,26,4,1,16,1,1,10,7,0,12,18,30,78262,44657,35895,72599,43382,29571,2,207,1,376,-0.037,5.400,5.359,4.261,-0.028,-0.024,-0.046,-0.017,0.068,0.363,0.374,,,,,
2020-03-02,BHS,en,691,110,14,567,606,24,17,114,90,23,0,24,0,0,16,1,0,16,16,109,52395,33526,258607,44611,33429,256268,1,336,1,353,-0.124,5.424,5.318,4.295,-0.062,-0.034,-0.043,-0.017,0.068,0.390,0.428,,,,,
2020-03-03,BHS,en,627,99,21,507,531,11,8,65,41,18,0,11,0,0,8,0,0,7,6,58,19409,12028,158027,18509,10577,156123,1,249,3,374,-0.124,5.445,5.341,4.329,-0.060,-0.049,-0.052,-0.029,0.074,0.383,0.364,,,,,
2020-03-04,BHS,en,593,98,24,471,487,19,17,47,26,15,0,19,0,0,14,3,0,17,11,37,20962,46271,900812,15603,24901,851680,3,273,4,313,-0.105,5.382,5.325,4.303,-0.057,-0.039,-0.046,-0.021,0.069,0.688,0.615,,,,,
2020-03-05,BHS,en,641,138,25,478,540,25,9,72,56,13,0,25,1,0,6,2,0,22,7,64,63834,5884,140222,59550,4604,126087,1,256,3,381,-0.074,5.391,5.349,4.300,-0.055,0.009,-0.041,-0.019,0.070,0.084,0.072,,,,,
2020-03-06,BHS,en,553,116,21,416,471,25,13,54,38,14,0,25,1,0,10,2,0,19,12,49,37025,46807,150283,28662,45833,146240,0,274,0,279,-0.164,5.143,5.162,4.371,-0.029,-0.009,-0.041,-0.016,0.070,0.558,0.615,,,,,
2020-03-07,BHS,en,643,124,8,511,566,37,22,20,4,13,0,37,0,11,9,1,1,31,22,14,62913,52240,730109,57206,52240,721006,3,272,1,367,-0.207,5.138,5.171,4.414,-0.039,-0.039,-0.045,0.004,0.071,0.454,0.477,,,,,
2020-03-08,BHS,en,665,114,16,535,596,26,12,25,12,13,0,26,0,1,9,2,0,24,11,22,37660,93518,171927,29904,92236,168869,5,238,2,420,-0.125,5.390,5.335,4.289,-0.020,0.018,-0.042,-0.003,0.070,0.713,0.755,,,,,
2020-03-09,BHS,en,734,137,36,561,642,22,19,57,29,24,0,22,0,0,15,3,1,19,17,47,71125,60578,151098,66730,52574,144747,2,314,1,417,-0.083,5.392,5.354,4.259,-0.040,-0.005,-0.046,-0.008,0.075,0.460,0.441,,,,,
2020-03-10,BHS,en,739,124,17,598,653,24,16,52,19,26,0,24,0,0,16,0,0,24,15,43,792411,27621,106469,792411,27286,102677,3,298,0,438,-0.028,5.456,5.377,4.205,-0.044,-0.032,-0.042,-0.006,0.068,0.034,0.033,,,,,
2020-03-11,BHS,en,725,153,22,550,615,29,15,63,21,40,0,29,0,0,15,0,0,24,11,52,44081,40185,137845,40039,36795,130620,1,310,3,411,0.007,5.386,5.347,4.280,-0.051,-0.017,-0.036,0.006,0.065,0.477,0.479,,,,,
2020-03-12,BHS,en,979,165,17,797,884,38,15,61,40,20,1,37,0,0,13,2,0,28,12,55,128729,31465,112958,123392,28526,110359,5,385,0,589,-0.037,5.496,5.420,4.272,-0.040,-0.020,-0.046,-0.006,0.073,0.196,0.188,,,,,
2020-03-13,BHS,en,821,96,17,708,746,23,7,70,43,27,0,23,0,0,5,2,0,21,7,59,37398,12570,109754,36726,12570,102831,2,336,1,482,0.040,5.539,5.483,4.295,-0.054,-0.050,-0.044,0.002,0.072,0.252,0.255,,,,,
2020-03-14,BHS,en,625,83,9,533,553,19,7,40,17,21,0,19,0,1,3,3,0,15,5,34,27956,12835,86589,19707,9941,84498,5,252,2,366,-0.020,5.450,5.422,4.296,-0.052,-0.040,-0.049,-0.037,0.074,0.315,0.335,,,,,
2020-03-15,BHS,en,826,141,12,673,752,24,2,43,17,24,0,24,0,0,2,0,0,21,1,37,67634,2572,132540,62175,1286,128237,3,357,3,463,0.032,5.378,5.366,4.245,-0.051,-0.045,-0.041,-0.016,0.076,0.037,0.020,,,,,
2020-03-16,BHS,en,675,121,15,539,587,43,10,40,9,29,1,42,0,0,7,2,1,37,8,35,53845,34018,788721,49712,33478,786253,1,284,2,388,-0.047,5.470,5.444,4.315,-0.060,-0.036,-0.040,-0.011,0.072,0.387,0.402,,1,1,0,0
2020-03-17,BHS,en,688,125,25,538,605,36,16,46,14,23,0,36,0,0,14,1,1,33,13,40,68074,15051,122670,62629,14101,120080,5,298,3,382,-0.029,5.496,5.425,4.302,-0.070,-0.034,-0.040,0.002,0.071,0.181,0.184,,1,0,0,0
2020-03-18,BHS,en,685,137,22,526,598,41,9,45,20,24,0,41,0,0,8,1,0,37,8,35,743184,718190,49915,741378,715569,38047,4,261,4,416,-0.005,5.450,5.390,4.299,-0.044,-0.030,-0.040,-0.002,0.072,0.491,0.491,,,,,
2020-03-19,BHS,en,688,124,15,549,602,34,9,44,24,20,1,33,0,0,9,0,0,31,9,38,766778,7115,89780,766230,7115,84525,5,282,2,399,-0.044,5.366,5.328,4.338,-0.050,-0.036,-0.049,-0.015,0.078,0.009,0.009,,,,,
2020-03-20,BHS,en,669,126,16,527,599,33,18,40,21,15,0,33,0,0,18,0,0,29,16,37,32153,52680,80777,31693,45872,74826,1,292,2,374,-0.040,5.412,5.372,4.354,-0.067,-0.048,-0.044,-0.000,0.073,0.621,0.591,,3,2,0,0
2020-03-21,BHS,en,588,105,22,461,499,33,16,33,8,23,0,33,0,2,14,0,0,29,14,25,75680,16639,50614,71672,15827,38125,1,256,2,329,0.011,5.473,5.378,4.310,-0.033,-0.036,-0.042,0.012,0.072,0.180,0.181,,4,1,0,0
