datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,BIH,"bs,hr,sr",111,18,0,93,0,10,7,17,11,6,0,10,0,0,6,1,0,0,0,0,155188,56512,272626,0,0,0,2,44,0,65,0.1770,5.3610,5.2730,4.2700,0.0380,0.0470,-0.0420,0.0330,0.0770,0.2670,,,,,,
2020-01-23,BIH,"bs,hr,sr",185,35,8,142,0,16,3,28,9,17,3,13,0,0,2,1,0,0,0,0,117833,100981,472904,0,0,0,5,74,2,104,0.0670,5.8060,5.5210,4.4200,-0.0020,0.0470,-0.0410,-0.0080,0.0800,0.4610,,,,,,
2020-01-24,BIH,"bs,hr,sr",466,78,12,376,0,39,10,51,16,32,3,36,0,0,3,5,2,0,0,0,380802,198724,501145,0,0,0,1,222,3,240,0.0740,5.7790,5.5280,4.3520,-0.0180,0.0280,-0.0320,0.0040,0.0690,0.3430,,,,,,
2020-01-25,BIH,"bs,hr,sr",775,93,8,674,0,48,16,56,10,43,2,46,0,0,10,4,2,0,0,0,433701,211450,591611,0,0,0,4,265,2,504,-0.0860,5.4150,5.2900,4.2790,-0.0010,-0.0250,-0.0370,-0.0010,0.0610,0.3280,,,,,,
2020-01-26,BIH,"bs,hr,sr",736,90,17,629,0,50,16,64,12,45,0,50,0,1,8,4,3,0,0,0,138413,158663,450868,0,0,0,6,253,1,476,-0.1340,5.2100,5.1210,4.3780,-0.0500,-0.0400,-0.0440,0.0040,0.0700,0.5340,,,,,,
2020-01-27,BIH,"bs,hr,sr",484,79,12,393,0,53,11,51,7,37,8,45,0,0,8,1,2,0,0,0,114456,151871,390199,0,0,0,7,122,1,354,-0.1300,5.1810,5.1600,4.3920,-0.0530,-0.0520,-0.0400,0.0240,0.0640,0.5700,,,,,,
2020-01-28,BIH,"bs,hr,sr",453,107,15,331,0,39,17,58,9,43,9,30,0,0,13,3,1,0,0,0,99411,73472,890972,0,0,0,7,151,7,288,-0.0460,5.3270,5.3540,4.2460,-0.0460,-0.0280,-0.0190,0.0140,0.0520,0.4250,,,,,,
2020-01-29,BIH,"bs,hr,sr",448,92,24,332,0,20,3,46,13,26,1,19,0,1,2,0,0,0,0,0,22895,4501,413601,0,0,0,4,188,6,250,-0.1620,5.2080,5.1810,4.3580,-0.0080,-0.0010,-0.0440,0.0070,0.0700,0.1640,,,,,,
2020-01-30,BIH,"bs,hr,sr",860,203,15,642,0,19,28,74,22,24,4,15,2,0,23,2,1,0,0,0,16122,323091,725857,0,0,0,3,344,7,506,-0.0600,5.2300,5.2340,4.2440,-0.0560,-0.0580,-0.0370,0.0140,0.0630,0.9520,,,,,,
2020-01-31,BIH,"bs,hr,sr",571,112,19,440,0,21,12,45,11,29,3,18,0,3,5,3,1,0,0,0,72117,79352,1015336,0,0,0,6,221,6,338,-0.1100,5.1600,5.2550,4.3220,-0.0310,-0.0530,-0.0360,0.0030,0.0630,0.5240,,,,,,
2020-02-01,BIH,"bs,hr,sr",353,76,6,271,0,17,7,41,23,15,2,15,0,1,5,0,1,0,0,0,109769,105204,744424,0,0,0,6,117,0,230,-0.1510,5.1980,5.2190,4.3730,-0.0470,-0.0530,-0.0470,-0.0130,0.0750,0.4890,,,,,,
2020-02-02,BIH,"bs,hr,sr",276,69,9,198,0,13,4,37,5,28,0,13,0,2,0,2,0,0,0,0,16896,101646,848005,0,0,0,9,102,1,164,-0.1540,5.1890,5.2620,4.3070,-0.0220,-0.0400,-0.0480,0.0120,0.0740,0.8570,,,,,,
2020-02-03,BIH,"bs,hr,sr",232,55,3,174,0,8,7,23,6,15,3,5,0,0,3,3,1,0,0,0,69512,154584,501632,0,0,0,10,63,2,157,-0.2510,5.1860,5.1540,4.2720,-0.0350,-0.0060,-0.0430,0.0000,0.0820,0.6900,,,,,,
2020-02-04,BIH,"bs,hr,sr",196,52,8,136,0,12,2,26,9,10,4,8,1,0,1,0,0,0,0,0,14379,3431,273189,0,0,0,6,74,0,116,-0.2420,5.1800,5.1730,4.2900,-0.0480,-0.0490,-0.0310,-0.0110,0.0690,0.1930,,,,,,
2020-02-05,BIH,"bs,hr,sr",198,42,8,148,0,14,8,22,6,13,3,11,2,0,4,1,1,0,0,0,9560,161716,159102,0,0,0,4,51,0,143,-0.0240,5.1580,5.1430,4.4410,-0.0580,-0.0590,-0.0410,0.0020,0.0750,0.9440,,,,,,
2020-02-06,BIH,"bs,hr,sr",172,41,5,126,0,15,3,14,3,10,3,12,0,0,3,0,0,0,0,0,16821,5207,17538,0,0,0,2,43,0,127,-0.2540,5.0840,5.1030,4.3810,-0.0580,-0.0470,-0.0380,-0.0030,0.0660,0.2360,,,,,,
2020-02-07,BIH,"bs,hr,sr",233,56,10,167,0,24,4,12,4,6,1,23,0,0,4,0,0,0,0,0,71664,799,113722,0,0,0,1,54,0,178,-0.1550,5.1710,5.1460,4.3300,-0.0370,-0.0270,-0.0430,-0.0140,0.0740,0.0110,,,,,,
2020-02-08,BIH,"bs,hr,sr",316,56,6,254,0,49,6,47,12,24,0,49,0,1,4,1,0,0,0,0,489115,103916,976362,0,0,0,1,165,1,149,-0.1940,5.0400,5.1030,4.3400,-0.0230,-0.0530,-0.0400,0.0280,0.0750,0.1750,,,,,,
2020-02-09,BIH,"bs,hr,sr",328,45,5,278,0,18,4,44,30,11,0,18,0,0,1,1,2,0,0,0,318137,102959,346169,0,0,0,2,186,0,140,-0.1470,5.2440,5.2610,4.2810,-0.0380,-0.0360,-0.0480,-0.0050,0.0770,0.2450,,,,,,
2020-02-10,BIH,"bs,hr,sr",208,43,7,158,0,6,7,37,23,13,2,4,0,0,4,0,3,0,0,0,3391,159037,167381,0,0,0,1,81,3,123,-0.0580,5.2390,5.2160,4.2480,-0.0450,-0.0020,-0.0420,-0.0030,0.0730,0.9790,,,,,,
2020-02-11,BIH,"bs,hr,sr",191,51,4,136,0,16,2,16,5,9,3,13,0,0,1,0,1,0,0,0,59350,134,114075,0,0,0,1,56,0,134,-0.0540,5.1900,5.1530,4.3170,-0.0560,-0.0390,-0.0480,-0.0200,0.0750,0.0020,,,,,,
2020-02-12,BIH,"bs,hr,sr",138,36,7,95,0,4,4,16,5,11,0,4,0,0,2,0,2,0,0,0,3874,110154,71587,0,0,0,3,33,0,102,-0.0860,5.2670,5.1310,4.2970,-0.0440,-0.0530,-0.0340,0.0050,0.0730,0.9660,,,,,,
2020-02-13,BIH,"bs,hr,sr",215,59,9,147,0,19,9,20,10,6,2,17,0,1,7,1,0,0,0,0,7680,19680,21719,0,0,0,1,53,0,161,-0.1700,5.2310,5.1880,4.3120,-0.0430,-0.0520,-0.0310,0.0050,0.0660,0.7190,,,,,,
2020-02-14,BIH,"bs,hr,sr",151,26,7,118,0,11,4,11,4,7,1,10,0,0,3,1,0,0,0,0,15100,5131,302084,0,0,0,4,40,1,106,-0.1440,5.2400,5.2640,4.3270,0.0030,-0.0440,-0.0380,-0.0030,0.0720,0.2540,,,,,,
2020-02-15,BIH,"bs,hr,sr",117,25,1,91,0,18,2,10,3,6,1,17,0,0,0,0,2,0,0,0,19932,52397,94095,0,0,0,2,62,1,52,-0.1740,5.3180,5.3170,4.2060,-0.0350,-0.0520,-0.0470,-0.0090,0.0700,0.7240,,,,,,
2020-02-16,BIH,"bs,hr,sr",231,45,11,175,0,30,5,13,2,8,1,29,0,1,3,1,0,0,0,0,50074,3320,4743,0,0,0,3,112,0,116,-0.1530,5.3900,5.3100,4.2940,-0.0120,-0.0060,-0.0390,0.0150,0.0730,0.0620,,,,,,
2020-02-17,BIH,"bs,hr,sr",90,26,2,62,0,5,0,8,3,5,1,4,0,0,0,0,0,0,0,0,6149,0,252354,0,0,0,4,44,1,41,-0.0560,5.3470,5.3330,4.2920,-0.0410,-0.0490,-0.0430,0.0330,0.0770,0.0000,,,,,,
