datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,BLM,,10,1,0,9,0,2,0,2,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4890,0,2193,0,0,0,0,4,0,6,0.2002,5.3896,5.2997,4.1289,,,-0.0593,,0.0803,0.0000,,0.0000,,0.0000,,,,,
2020-01-23,BLM,,19,3,0,16,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2535,0,129,0,0,0,0,9,0,10,0.4440,5.9097,5.5747,4.3400,,,-0.0301,0.0064,0.0740,0.0000,,0.0000,,0.0000,,,,,
2020-01-24,BLM,,76,20,1,55,0,9,1,5,1,4,0,9,0,0,1,0,0,0,0,0,7,0,0,0,11727,216,903,0,0,0,0,29,0,47,0.3750,6.4918,5.8847,4.5788,-0.0858,-0.0563,-0.0090,-0.0556,0.0755,0.0181,,0.0000,,0.0000,,,,,
2020-01-25,BLM,,100,20,0,80,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,39,0,61,0.2542,5.8309,5.5162,4.2530,,,-0.0037,-0.0214,0.0706,,,,,,,,,,
2020-01-26,BLM,,79,10,3,66,0,8,1,7,1,6,0,8,0,1,0,0,0,0,0,0,8,1,0,0,8242,495,3240,0,0,0,0,28,0,51,-0.3825,5.1137,5.1755,4.5558,-0.1116,-0.0622,-0.0427,0.0093,0.0461,0.0567,,0.1111,,0.1111,,,,,
2020-01-27,BLM,,66,12,2,52,0,12,0,4,1,3,0,12,0,0,0,0,0,0,0,0,12,0,0,0,14988,0,1404,0,0,0,0,34,0,32,-0.5118,5.0519,5.2848,4.5066,-0.0407,-0.0553,-0.0327,0.0333,0.0353,0.0000,,0.0000,,0.0000,,,,,
2020-01-28,BLM,,41,9,0,32,0,0,1,5,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2445,1484,0,0,0,0,18,0,23,-0.4042,4.5777,5.1666,4.1376,-0.0489,-0.0516,-0.0359,-0.0243,0.0533,1.0000,,1.0000,,1.0000,,,,,
2020-01-29,BLM,,74,17,1,56,0,0,1,5,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,101,2897,0,0,0,0,34,0,40,-0.2928,5.0424,5.0031,4.5313,-0.0692,-0.0632,-0.0293,-0.0162,0.0640,1.0000,,1.0000,,1.0000,,,,,
2020-01-30,BLM,,79,10,1,68,0,3,0,13,4,7,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2849,0,5940,0,0,0,0,31,0,48,-0.3513,4.9475,5.1078,4.3424,-0.0404,-0.0368,-0.0476,-0.0113,0.0753,0.0000,,0.0000,,0.0000,,,,,
2020-01-31,BLM,,110,18,2,90,0,1,0,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7934,0,780,0,0,0,0,55,0,55,-0.3945,4.6531,5.0083,4.5574,-0.0536,-0.0466,-0.0424,-0.0218,0.0661,0.0000,,,,,,,,,
2020-02-01,BLM,,38,3,0,35,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082,0,0,0,0,17,0,21,-0.3689,4.7390,5.0490,4.3739,-0.0487,-0.0544,-0.0593,-0.0382,0.0830,,,,,,,,,,
2020-02-02,BLM,,28,7,1,20,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,452,600,0,0,0,0,0,12,0,16,-0.0755,5.6519,5.4705,4.2497,,,-0.0291,0.0333,0.0666,0.5703,,,,,,,,,
