datetime,iso,local_languages,info_tweets,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,BLZ,en,33,20,7,2,14,5,1,9,25355,779,28604,24963,614,27598,0,16,0,17,-0.051,5.021,4.848,4.314,-0.041,,-0.059,-0.045,0.085,0.030,0.024,,,,,
2020-01-23,BLZ,en,58,38,9,5,14,7,5,7,28623,3753,20371,28373,3753,17836,0,26,0,32,0.063,5.314,5.164,4.249,-0.014,-0.049,-0.043,0.033,0.080,0.116,0.117,,,,,
2020-01-24,BLZ,en,102,56,15,9,16,5,4,8,40757,6742,33482,23953,5762,27676,0,56,0,46,-0.062,5.586,5.437,4.490,-0.045,-0.061,-0.044,-0.058,0.071,0.142,0.194,,,,,
2020-01-25,BLZ,en,115,70,9,8,6,6,8,6,42054,18318,44963,41302,18318,44963,0,68,0,47,-0.009,5.415,5.203,4.305,-0.020,-0.049,-0.031,0.000,0.074,0.303,0.307,,,,,
2020-01-26,BLZ,en,93,70,10,5,19,8,4,16,38749,24917,52958,36088,23573,49204,0,44,0,49,-0.148,5.260,5.194,4.349,-0.055,-0.055,-0.041,-0.004,0.063,0.391,0.395,,,,,
2020-01-27,BLZ,en,77,62,9,2,21,9,2,19,60864,116,89389,60864,116,77623,1,41,0,35,-0.185,5.318,5.311,4.376,-0.058,-0.056,-0.027,-0.007,0.058,0.002,0.002,,,,,
2020-01-28,BLZ,en,93,67,5,5,23,2,4,20,13260,18235,118599,11553,17156,104178,1,44,0,48,0.042,5.321,5.299,4.208,,0.048,-0.026,0.033,0.057,0.579,0.598,,,,,
2020-01-29,BLZ,en,103,76,2,1,5,1,1,4,12127,612,6155,11931,612,2725,2,46,0,55,-0.126,5.077,5.094,4.379,-0.073,-0.055,-0.025,-0.004,0.065,0.048,0.049,,,,,
2020-01-30,BLZ,en,139,109,13,3,18,12,3,14,87514,11969,91063,86169,11969,84850,0,79,5,55,-0.055,5.285,5.249,4.247,,-0.046,-0.049,-0.012,0.071,0.120,0.122,,,,,
2020-01-31,BLZ,en,123,85,9,5,10,8,2,7,42286,13227,70582,42121,12141,68757,1,53,0,69,0.044,5.361,5.346,4.397,-0.027,-0.024,-0.045,0.009,0.077,0.238,0.224,,,,,
2020-02-01,BLZ,en,59,36,2,2,8,1,2,5,23477,489,38322,11522,489,35426,1,21,0,37,0.061,5.490,5.443,4.284,,,-0.059,,0.070,0.020,0.041,,,,,
2020-02-02,BLZ,en,60,42,2,1,4,2,1,2,3007,246,68335,3007,246,66356,0,32,0,28,-0.039,5.089,5.205,4.430,,,-0.026,0.004,0.066,0.076,0.076,,,,,
2020-02-03,BLZ,en,53,37,4,4,9,3,3,4,24463,1746,76061,23111,1119,67244,0,28,1,24,-0.014,5.172,5.248,4.309,,,-0.059,,0.083,0.067,0.046,,,,,
2020-02-04,BLZ,en,34,25,2,1,4,1,1,2,11762,11518,37667,11519,11518,33805,2,20,1,11,-0.134,5.180,5.143,4.313,,,-0.037,-0.010,0.076,0.495,0.500,,,,,
2020-02-05,BLZ,en,39,27,2,1,2,1,1,1,792,11518,664,627,11518,627,0,10,0,29,0.034,5.387,5.408,4.221,,,-0.060,,0.083,0.936,0.948,,,,,
2020-02-06,BLZ,en,47,32,7,3,4,7,1,1,72851,992,4806,72851,627,56,1,18,1,27,-0.050,5.238,5.235,4.490,0.002,,-0.036,0.033,0.057,0.013,0.009,,,,,
2020-02-07,BLZ,en,78,66,15,0,12,15,0,12,60870,0,43695,60870,0,43695,0,36,0,42,-0.259,5.197,5.114,4.311,,,-0.037,0.012,0.069,0.000,0.000,,,,,
2020-02-08,BLZ,en,55,45,10,2,9,9,2,9,44832,11748,16308,44831,11748,16308,0,15,1,39,-0.045,5.175,5.244,4.263,-0.011,0.047,-0.041,0.005,0.075,0.208,0.208,,,,,
2020-02-09,BLZ,en,49,39,3,0,9,3,0,6,2439,0,5092,2439,0,4621,0,13,0,36,-0.117,5.064,5.050,4.355,-0.013,-0.051,-0.036,0.018,0.063,0.000,0.000,,,,,
2020-02-10,BLZ,en,48,46,3,3,6,3,2,5,38989,1941,15383,38989,1637,15269,1,6,0,41,-0.121,5.415,5.320,4.295,,0.015,-0.021,0.005,0.067,0.047,0.040,,,,,
2020-02-11,BLZ,en,59,46,9,0,8,9,0,5,50963,0,27061,50963,0,25573,1,23,0,35,-0.205,5.100,5.103,4.324,,,-0.059,,0.083,0.000,0.000,,,,,
2020-02-12,BLZ,en,56,44,8,4,3,6,4,3,19890,18099,12748,17204,18099,12748,1,20,0,35,-0.059,5.107,5.177,4.336,-0.041,-0.049,-0.037,0.033,0.073,0.476,0.513,,,,,
2020-02-13,BLZ,en,73,66,7,3,16,7,3,12,36142,2412,37610,36142,2412,32085,1,26,0,46,0.038,5.349,5.244,4.502,0.003,-0.049,-0.030,0.006,0.064,0.063,0.063,,,,,
2020-02-14,BLZ,en,40,38,7,2,3,5,2,3,7117,868,23613,5551,868,23613,0,10,0,30,-0.154,5.297,5.218,4.353,,-0.056,-0.047,0.033,0.085,0.109,0.135,,,,,
2020-02-15,BLZ,en,42,33,8,0,6,8,0,6,47394,0,6919,47394,0,6919,0,14,0,28,-0.008,5.110,5.049,4.348,,,-0.036,,0.080,0.000,0.000,,,,,
2020-02-16,BLZ,en,29,26,8,1,5,7,1,5,9175,1350,4343,9120,1350,4343,0,6,0,23,-0.063,4.936,5.018,4.216,,-0.001,-0.059,-0.013,0.091,0.128,0.129,,,,,
2020-02-17,BLZ,en,40,32,5,6,3,3,6,3,14773,4087,1644,2700,4087,1644,1,11,0,28,0.053,5.207,5.241,4.302,,,-0.021,0.028,0.060,0.217,0.602,,,,,
2020-02-18,BLZ,en,51,37,4,1,5,4,1,4,14424,11494,10484,14424,11494,7012,3,22,0,26,-0.199,5.182,5.097,4.323,-0.040,,-0.008,0.033,0.062,0.443,0.443,,,,,
2020-02-19,BLZ,en,60,40,1,3,5,1,1,2,628,2253,3084,628,628,902,3,19,0,38,-0.228,5.282,5.296,4.313,,,-0.011,0.033,0.068,0.782,0.500,,,,,
2020-02-20,BLZ,en,52,42,2,2,8,1,2,5,1256,13049,12457,628,13049,4171,0,27,0,25,-0.025,5.380,5.385,4.300,0.005,-0.049,-0.035,0.018,0.064,0.912,0.954,,,,,
2020-02-21,BLZ,en,58,41,7,0,5,6,0,3,25712,0,3121,25509,0,1488,1,24,0,33,-0.140,4.969,5.001,4.342,-0.040,,-0.048,,0.077,0.000,0.000,,,,,
2020-02-22,BLZ,en,42,29,10,2,2,8,2,2,39952,15678,4193,39688,15678,4193,0,23,0,19,-0.299,4.949,5.136,4.419,-0.032,,-0.041,0.010,0.073,0.282,0.283,,,,,
2020-02-23,BLZ,en,66,50,8,1,8,7,1,6,26896,83,7344,26841,83,5938,0,20,0,46,-0.084,5.510,5.518,4.504,,,-0.044,0.013,0.076,0.003,0.003,,,,,
2020-02-24,BLZ,en,85,61,3,3,10,3,3,7,17477,13962,31529,17477,13962,27411,0,32,1,52,0.018,5.306,5.307,4.445,,,-0.042,0.013,0.078,0.444,0.444,,,,,
2020-02-25,BLZ,en,138,101,14,5,12,12,4,8,60625,17947,31635,59958,17445,18503,0,84,0,54,-0.019,5.266,5.354,4.284,,-0.046,-0.055,,0.080,0.228,0.225,,,,,
2020-02-26,BLZ,en,145,70,17,4,8,11,3,3,79012,18213,5551,75146,14394,3000,0,62,1,82,0.022,5.525,5.383,4.255,,,-0.058,-0.046,0.082,0.187,0.161,,,,,
2020-02-27,BLZ,en,176,129,12,5,15,11,3,11,43328,10216,40366,41919,7253,39344,2,86,0,88,-0.044,5.334,5.344,4.304,,,-0.046,0.009,0.073,0.191,0.148,,,,,
2020-02-28,BLZ,en,148,106,11,5,18,9,1,13,35079,14995,27748,32566,11478,24152,0,55,1,92,0.019,5.435,5.390,4.195,-0.001,0.023,-0.046,-0.032,0.076,0.299,0.261,,,,,
2020-02-29,BLZ,en,133,89,12,2,14,10,1,9,61769,656,48626,61559,636,46395,0,55,1,77,0.012,5.441,5.311,4.249,-0.044,0.001,-0.047,-0.010,0.075,0.011,0.010,,,,,
2020-03-01,BLZ,en,128,83,12,4,5,10,3,2,51158,13845,5008,51088,13682,1410,0,54,0,74,0.001,5.235,5.193,4.335,-0.011,-0.055,-0.049,-0.026,0.077,0.213,0.211,,,,,
2020-03-02,BLZ,en,131,100,7,3,18,5,1,16,19993,2958,23574,16006,1562,10417,0,61,0,70,-0.094,5.431,5.351,4.360,-0.066,-0.039,-0.036,-0.025,0.071,0.129,0.089,,,,,
2020-03-03,BLZ,en,165,123,6,4,14,2,4,13,12949,47778,41239,12158,47778,41036,0,66,0,99,-0.086,5.400,5.297,4.266,-0.074,-0.041,-0.047,-0.026,0.072,0.787,0.797,,,,,
2020-03-04,BLZ,en,155,108,9,5,13,8,4,11,40066,7307,7305,39008,3490,5892,0,81,2,72,-0.037,5.432,5.344,4.274,-0.066,-0.030,-0.047,-0.024,0.076,0.154,0.082,,,,,
2020-03-05,BLZ,en,176,144,12,6,21,12,6,16,62145,14266,26127,62145,14266,22501,0,75,1,100,-0.027,5.289,5.264,4.255,0.003,0.004,-0.047,-0.033,0.078,0.187,0.187,,,,,
2020-03-06,BLZ,en,108,88,7,0,12,5,0,11,25677,0,38295,13197,0,37998,0,41,0,67,-0.171,5.129,5.193,4.402,-0.041,-0.006,-0.050,-0.045,0.081,0.000,0.000,,,,,
2020-03-07,BLZ,en,152,114,6,13,9,5,12,6,26604,14684,9677,26285,14583,5428,2,50,0,100,-0.036,5.281,5.334,4.265,-0.048,-0.022,-0.042,-0.005,0.073,0.356,0.357,,,,,
2020-03-08,BLZ,en,110,87,4,3,3,3,2,2,17023,1278,2208,4856,679,2173,0,59,0,51,-0.091,5.250,5.242,4.331,-0.050,0.051,-0.037,-0.010,0.068,0.070,0.123,,,,,
2020-03-09,BLZ,en,147,108,11,0,8,11,0,5,21126,0,7321,21126,0,3950,0,69,0,78,0.014,5.343,5.339,4.317,0.031,,-0.045,-0.012,0.075,0.000,0.000,,,,,
2020-03-10,BLZ,en,194,135,11,4,20,9,3,14,61891,1885,57979,49060,827,51886,1,104,0,89,0.022,5.416,5.456,4.230,-0.048,0.049,-0.048,-0.002,0.075,0.030,0.017,,,,,
2020-03-11,BLZ,en,208,163,8,4,22,8,2,18,41513,23805,53042,41513,22866,35315,2,76,0,130,-0.098,5.227,5.257,4.215,-0.039,-0.031,-0.046,-0.013,0.072,0.364,0.355,,,,,
