datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_shadow,info_fact_missing,info_fact_science,info_fact_msm,info_fact_satire,info_fact_clickbait,info_fact_political,info_fact_fake,info_fact_conspiracy,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_fact_reliable_RT,info_fact_unreliable_RT,info_fact_reliable_RE,info_fact_unreliable_RE,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,info_dyn_iri_RT,info_dyn_iri_RE,info_dyn_iri,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,BRA,pt,16147,4279,593,11275,12980,779,483,4889,1186,3500,24,755,0,0,428,45,10,463,197,4297,491,366,41,6,33712561,21479754,372896548,32140329,20928528,328251511,310,6680,102,9055,0.0379,5.4438,5.2802,4.1716,-0.0414,-0.0115,-0.0507,-0.0150,0.0827,0.3892,0.3944,0.4271,0.1277,0.4115,0.0116,0,0,0,0
2020-01-23,BRA,pt,21415,5117,716,15582,15872,765,698,5407,1171,3803,66,699,0,36,514,134,14,304,253,4676,537,528,33,5,39561848,22496739,511083497,37566473,21340372,488305307,392,8737,91,12195,-0.0274,5.5317,5.3346,4.3908,-0.0300,-0.0147,-0.0464,0.0022,0.0792,0.3625,0.3623,0.4958,0.1316,0.4832,0.0096,0,0,0,0
2020-01-24,BRA,pt,22927,5802,732,16393,14742,1370,819,4960,1013,3665,37,1333,0,16,610,162,31,565,275,3960,925,603,22,13,102331405,52181548,394409055,87526236,50658094,367274869,315,9656,76,12880,0.0638,5.6795,5.4472,4.4228,-0.0508,0.0193,-0.0323,-0.0013,0.0717,0.3377,0.3666,0.3946,0.3714,0.3941,-0.0096,0,0,0,0
2020-01-25,BRA,pt,26746,5042,872,20832,15015,1531,842,4174,745,3196,44,1487,0,37,584,173,48,594,425,3154,1242,673,24,22,43277677,32479582,264424283,39750406,30283791,239558517,180,11072,51,15443,-0.0931,5.3580,5.2358,4.3010,-0.0355,-0.0017,-0.0246,0.0127,0.0626,0.4287,0.4324,0.3514,0.4783,0.3544,,0,0,0,0
2020-01-26,BRA,pt,28929,6504,1112,21313,16576,1372,1246,4984,1101,3356,41,1331,1,26,941,174,104,435,730,3654,1033,1009,35,45,43978636,42164752,331472933,39427432,37961883,314278315,214,11751,51,16913,-0.1397,5.2092,5.1517,4.3221,-0.0302,-0.0425,-0.0382,0.0128,0.0657,0.4895,0.4905,0.4941,0.5625,0.4967,,0,0,0,0
2020-01-27,BRA,pt,29252,6996,1117,21139,18580,1766,701,7397,1520,5255,58,1708,0,9,578,83,31,803,223,6062,1289,530,49,13,91065953,23828888,564613915,88532010,21669831,549540888,472,12156,107,16517,-0.0749,5.1662,5.2208,4.4816,-0.0465,-0.0521,-0.0358,0.0132,0.0586,0.2074,0.1966,0.2914,0.2097,0.2887,-0.0327,0,0,0,0
2020-01-28,BRA,pt,62275,16231,2481,43563,49972,2157,1447,13006,2760,9153,60,2097,4,14,1262,112,55,1203,734,11000,1457,1098,72,43,86517670,68671680,606596922,83447826,65149276,601454968,733,25461,230,35851,-0.0032,5.2025,5.2935,4.3438,-0.0396,-0.0456,-0.0319,0.0005,0.0673,0.4425,0.4384,0.4297,0.3739,0.4273,0.0174,0,0,0,0
2020-01-29,BRA,pt,55124,14952,1977,38195,43141,1781,652,5364,443,4679,42,1739,0,29,503,83,37,1100,347,4049,1036,428,55,12,119603096,7011681,140336933,109782378,5868506,130616279,341,22410,85,32288,-0.0695,5.2078,5.1909,4.3237,-0.0472,-0.0443,-0.0391,0.0035,0.0674,0.0554,0.0507,0.2923,0.1791,0.2874,-0.0095,0,0,0,0
2020-01-30,BRA,pt,60730,14277,1770,44683,41428,1689,695,5902,664,4582,38,1651,2,40,570,61,22,885,224,3974,1054,469,42,7,106890269,6402562,130085335,91744500,4168574,121839331,370,25111,111,35138,-0.0958,5.1195,5.1726,4.2813,-0.0448,-0.0451,-0.0439,0.0108,0.0712,0.0565,0.0435,0.3079,0.1429,0.3028,0.0013,0,0,0,0
2020-01-31,BRA,pt,41697,10111,1491,30095,25601,1004,630,3963,555,3025,22,982,2,67,412,80,69,430,221,2689,579,409,37,20,72738841,7058027,105036576,67776990,5126825,98756592,267,17032,105,24293,-0.1167,5.0714,5.1804,4.3583,-0.0426,-0.0500,-0.0411,-0.0170,0.0715,0.0884,0.0703,0.4140,0.3509,0.4105,-0.0152,0,0,0,0
2020-02-01,BRA,pt,17516,4471,1003,12042,9083,571,468,2370,379,1781,17,554,3,25,301,34,105,149,193,1509,356,287,21,51,17683937,9237206,67633383,15350527,8541372,60439487,131,7126,52,10207,-0.1249,5.0598,5.1628,4.3548,-0.0448,-0.0484,-0.0430,-0.0239,0.0787,0.3431,0.3575,0.4463,0.7083,0.4727,,0,0,0,0
2020-02-02,BRA,pt,20650,4857,920,14873,11910,744,384,2916,341,2245,16,728,1,35,295,29,24,269,154,2055,458,269,42,7,53906049,3817431,65001234,50871491,2714875,61277980,175,8331,51,12093,-0.1110,5.1738,5.2204,4.3048,-0.0223,-0.0303,-0.0413,0.0104,0.0748,0.0661,0.0507,0.3700,0.1429,0.3557,,0,0,0,0
2020-02-03,BRA,pt,15186,4719,775,9692,9160,659,249,2737,283,2250,20,639,2,14,182,36,15,341,82,1950,351,147,24,4,66018175,3954053,90909173,64385962,3191913,83877869,248,6113,54,8771,-0.0903,5.1742,5.1801,4.3694,-0.0134,-0.0229,-0.0410,0.0096,0.0781,0.0565,0.0472,0.2952,0.1429,0.2871,0.0076,0,0,0,0
2020-02-04,BRA,pt,13689,4408,712,8569,8260,447,227,2758,294,2353,13,434,0,4,155,39,29,204,71,1976,242,137,15,1,80915624,2958038,90144446,79249558,2228214,81922227,238,5597,80,7774,-0.1149,5.1302,5.1289,4.3291,-0.0268,-0.0330,-0.0402,-0.0027,0.0741,0.0353,0.0273,0.3615,0.0625,0.3494,0.0081,0,0,0,0
2020-02-05,BRA,pt,15460,4441,644,10375,10695,459,268,2349,233,2015,14,445,1,4,199,33,31,196,135,1631,249,164,13,5,58269554,5297022,84365988,57180535,4837706,80909157,244,6368,61,8787,-0.0256,5.2574,5.2373,4.3104,-0.0320,-0.0281,-0.0410,-0.0049,0.0755,0.0833,0.0780,0.3971,0.2778,0.3921,0.0040,0,0,0,0
