datetime,iso,local_languages,info_tweets,info_tweets_T,info_tweets_RE,info_tweets_RT,info_tweets_local,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_fact_reliable_local,info_fact_unreliable_local,info_fact_unknown_local,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_exposure_fact_reliable_local,info_exposure_fact_unreliable_local,info_exposure_fact_unknown_local,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_V,info_vad_A,info_vad_D,info_big_5_O,info_big_5_C,info_big_5_E,info_big_5_A,info_big_5_N,info_risk_index,info_risk_index_local,eco_close_pct,epi_confirmed,epi_confirmed_new,epi_dead,epi_dead_new
2020-01-22,BRB,en,50,6,2,42,36,5,4,6,5,4,6,4154,3676,1915,4154,3676,1915,0,24,0,26,0.035,5.291,5.177,4.227,,,-0.047,,0.080,0.469,0.469,,,,,
2020-01-23,BRB,en,84,11,0,73,59,5,4,16,5,3,15,3175,6964,27628,3175,6916,27220,0,44,0,40,-0.060,5.530,5.319,4.399,,,-0.038,0.006,0.078,0.687,0.685,,,,,
2020-01-24,BRB,en,216,42,3,171,155,10,9,21,10,8,16,38756,10394,76926,38756,10231,75265,0,99,0,117,0.116,5.815,5.534,4.392,-0.068,-0.035,-0.031,-0.019,0.079,0.211,0.209,,,,,
2020-01-25,BRB,en,377,64,4,309,250,25,7,29,19,7,25,50750,73748,38214,46445,73748,36410,1,223,1,152,-0.086,5.503,5.369,4.357,-0.054,-0.053,-0.024,0.001,0.065,0.592,0.614,,,,,
2020-01-26,BRB,en,380,54,7,319,280,17,9,24,13,9,18,11257,107713,698332,8490,107713,121537,0,169,1,210,-0.194,5.181,5.068,4.391,-0.027,-0.060,-0.047,-0.007,0.078,0.905,0.927,,,,,
2020-01-27,BRB,en,303,38,7,258,190,16,8,23,15,8,11,8910,41679,115022,8557,41679,76819,0,116,1,186,-0.148,5.219,5.252,4.479,-0.041,-0.053,-0.019,0.032,0.050,0.824,0.830,,,,,
2020-01-28,BRB,en,413,112,7,294,301,10,20,36,9,20,30,109326,164596,58273,108999,164596,55778,0,147,0,266,-0.154,5.285,5.334,4.178,-0.044,-0.049,-0.023,0.022,0.065,0.601,0.602,,,,,
2020-01-29,BRB,en,324,74,8,242,213,8,8,14,5,8,9,39129,108146,18548,38515,108146,1404,0,114,1,209,-0.045,5.237,5.199,4.439,-0.050,-0.041,-0.037,0.005,0.071,0.734,0.737,,,,,
2020-01-30,BRB,en,570,114,12,444,410,26,4,41,24,4,28,43067,4320,74199,18103,4320,69186,0,243,1,326,-0.118,5.230,5.186,4.299,-0.043,-0.049,-0.040,0.010,0.069,0.091,0.193,,,,,
2020-01-31,BRB,en,503,105,3,395,371,27,8,29,25,6,23,24471,16030,58439,23244,15683,38255,1,227,0,275,-0.199,5.172,5.275,4.353,-0.052,-0.039,-0.026,0.015,0.061,0.396,0.403,,,,,
2020-02-01,BRB,en,209,32,4,173,143,7,1,17,5,1,10,3128,1212,63548,1737,1212,53382,0,107,1,101,0.026,5.368,5.529,4.246,-0.074,-0.068,-0.047,-0.027,0.079,0.279,0.411,,,,,
2020-02-02,BRB,en,198,38,13,147,134,4,0,9,2,0,6,1339,0,20259,315,0,810,0,86,1,111,-0.037,5.329,5.389,4.279,-0.043,-0.049,-0.052,-0.006,0.076,0.000,0.000,,,,,
2020-02-03,BRB,en,248,53,7,188,172,6,1,15,2,0,10,4554,452,1209416,496,0,54439,0,118,0,130,-0.196,5.224,5.311,4.436,-0.049,-0.054,-0.032,0.033,0.064,0.090,0.000,,,,,
2020-02-04,BRB,en,161,34,4,123,124,0,2,12,0,2,9,0,73355,19757,0,73355,18717,0,75,0,86,-0.137,5.205,5.248,4.304,-0.041,-0.049,-0.032,0.015,0.060,1.000,1.000,,,,,
