datetime,info_tweets,info_fact_reliable,info_fact_unreliable,info_fact_unknown,info_exposure_fact_reliable,info_exposure_fact_unreliable,info_exposure_fact_unknown,info_risk_index,info_bot_verified,info_bot_unverified,info_human_verified,info_human_unverified,info_sentiment,info_vad_A,info_vad_D,info_vad_V,info_big_5_A,info_big_5_C,info_big_5_E,info_big_5_N,info_big_5_O,epi_confirmed,epi_recovered,epi_dead,eco_close_pct
2020-01-22,57,3,1,19,1354,613,10184,,0,27,0,30,-0.246,5.43345,4.13976,5.4631,,,,,,0,0,0,
2020-01-23,101,6,1,9,1873,13,2171,,0,34,0,67,0.23145,5.72518,4.62265,6.26223,,,,,,0,0,0,
2020-01-24,389,5,1,7,1550,128,2535,,0,158,0,231,0.20787,5.62364,4.45438,6.16659,,,,,,0,0,0,
2020-01-25,702,13,3,34,3825,8501,22630,,0,313,0,389,-0.2194,5.28442,4.21689,5.54888,,,,,,0,0,0,
2020-01-26,1103,19,8,45,6402,3470,14332,0.3515,0,436,0,667,-0.12322,5.1489,4.36716,5.37815,0.03327,-0.04913,0.03995,0.04403,-0.043,0,0,0,
2020-01-27,425,47,2,20,14150,958,7266,,0,151,0,274,-0.00461,5.16967,4.35798,5.2759,,,,,,0,0,0,
2020-01-28,292,18,7,9,6738,1612,3607,,0,115,0,177,-0.20517,5.37914,4.31048,5.36929,,,,,,0,0,0,
2020-01-29,319,19,2,38,8989,5971,12874,,0,121,0,198,-0.12654,5.21877,4.34648,5.26734,,,,,,0,0,0,
2020-01-30,367,5,3,45,1174,798,21475,,0,161,0,206,-0.14569,5.22487,4.32344,5.23106,,,,,,0,0,0,
2020-01-31,307,6,9,18,1108,1984,16417,,0,122,0,185,-0.20906,5.18095,4.35379,5.14889,,,,,,0,0,0,
2020-02-01,254,16,3,51,13193,624,55093,,0,97,0,157,-0.294,5.28511,4.29173,5.27608,-0.0525,-0.05085,-0.05934,0.03749,-0.06156,0,0,0,
2020-02-02,119,3,1,12,372,598,9936,,0,42,0,77,-0.08946,5.21629,4.3602,5.3446,,,,,,0,0,0,
2020-02-03,82,4,1,5,475,258,2146,,1,31,0,50,0.10626,5.2435,4.14492,5.2796,,,,,,0,0,0,
2020-02-04,150,7,1,13,1986,70,9685,,1,61,0,88,-0.26105,5.05883,4.36188,5.06808,,,,,,0,0,0,
